Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
Toronto Raptors,7,1,.875,-,4-0,3-1,4-0,4-0,97.3,92.0,+5.3,W6,7-1,NBA Standings Pre Season 2014-15
Houston Rockets,6,2,.750,1,4-0,2-2,3-1,5-1,97.3,94.9,+2.4,W2,6-2,NBA Standings Pre Season 2014-15
olden State Warriors,6,2,.750,1,3-0,3-2,4-0,6-1,110.9,99.9,+11.0,W2,6-2,NBA Standings Pre Season 2014-15
Cleveland Cavaliers,5,2,.714,1.5,4-1,1-1,3-0,4-0,104.9,99.1,+5.8,L1,5-2,NBA Standings Pre Season 2014-15
Detroit Pistons,5,2,.714,1.5,3-0,2-2,2-0,5-2,99.7,95.1,+4.6,W2,5-2,NBA Standings Pre Season 2014-15
Minnesota Timberwolves,5,2,.714,1.5,2-1,3-1,1-0,1-0,106.6,100.6,+6.0,W4,5-2,NBA Standings Pre Season 2014-15
ew Orleans Pelicans,5,2,.714,1.5,3-1,2-1,2-0,3-0,98.1,89.4,+8.7,W4,5-2,NBA Standings Pre Season 2014-15
Phoenix Suns,5,2,.714,1.5,3-0,2-2,1-1,4-2,104.9,96.9,+8.0,W1,5-2,NBA Standings Pre Season 2014-15
Brooklyn Nets,4,2,.667,2,3-1,1-1,1-2,1-2,102.0,98.2,+3.8,L1,4-2,NBA Standings Pre Season 2014-15
Boston Celtics,5,3,.625,2,3-2,2-1,5-3,5-3,98.5,91.9,+6.6,W3,5-3,NBA Standings Pre Season 2014-15
HUtah Jazz,5,3,.625,2,2-1,3-2,3-0,5-3,101.9,93.5,+8.4,L1,5-3,NBA Standings Pre Season 2014-15
Atlanta Hawks,4,3,.571,2.5,2-1,2-2,2-0,2-2,101.1,99.0,+2.1,W2,4-3,NBA Standings Pre Season 2014-15
Portland Trail Blazers,4,3,.571,2.5,2-1,2-2,1-2,3-3,99.4,92.4,+7.0,W1,4-3,NBA Standings Pre Season 2014-15
Orlando Magic,4,4,.500,3,2-2,2-2,1-1,3-2,96.4,96.3,+0.1,L3,4-4,NBA Standings Pre Season 2014-15
Chicago Bulls,4,4,.500,3,3-2,1-2,1-2,3-3,98.4,96.4,+2.0,L2,4-4,NBA Standings Pre Season 2014-15
Dallas Mavericks,4,4,.500,3,2-2,2-2,1-2,1-3,104.3,101.3,+3.0,W1,4-4,NBA Standings Pre Season 2014-15
Washington Wizards,4,4,.500,3,2-2,2-2,0-2,2-3,90.9,92.5,-1.6,L3,4-4,NBA Standings Pre Season 2014-15
Miami Heat,4,4,.500,3,2-4,2-0,0-2,0-3,103.6,104.5,-0.9,W4,4-4,NBA Standings Pre Season 2014-15
Sacramento Kings,3,4,.429,3.5,2-1,1-3,1-0,1-1,100.3,98.3,+2.0,W1,3-4,NBA Standings Pre Season 2014-15
Milwaukee Bucks,3,4,.429,3.5,1-2,2-2,0-3,1-3,95.3,98.4,-3.1,L1,3-4,NBA Standings Pre Season 2014-15
ew York Knicks,3,4,.429,3.5,1-2,2-2,2-3,3-4,90.3,92.4,-2.1,L1,3-4,NBA Standings Pre Season 2014-15
Indiana Pacers,3,4,.429,3.5,2-1,1-3,0-1,1-2,94.6,95.6,-1.0,W1,3-4,NBA Standings Pre Season 2014-15
Los Angeles Lakers,3,5,.375,4,3-5,0-0,0-4,3-5,94.5,104.3,-9.8,L1,3-5,NBA Standings Pre Season 2014-15
Memphis Grizzlies,3,5,.375,4,3-1,0-4,0-2,0-3,98.1,97.5,+0.6,L1,3-5,NBA Standings Pre Season 2014-15
Charlotte Hornets,3,5,.375,4,2-2,1-3,3-1,3-5,94.9,98.1,-3.2,L3,3-5,NBA Standings Pre Season 2014-15
Oklahoma City Thunder,2,5,.286,4.5,1-3,1-2,0-3,2-4,99.6,110.9,-11.3,L4,2-5,NBA Standings Pre Season 2014-15
an Antonio Spurs,2,5,.286,4.5,1-2,1-3,0-1,1-2,98.1,104.0,-5.9,L2,2-5,NBA Standings Pre Season 2014-15
Denver Nuggets,2,6,.250,5,1-1,1-5,1-1,2-5,97.5,101.9,-4.4,L2,2-6,NBA Standings Pre Season 2014-15
LA Clippers,2,6,.250,5,2-3,0-3,1-2,2-6,99.4,107.9,-8.5,L1,2-6,NBA Standings Pre Season 2014-15
Philadelphia 76ers,2,6,.250,5,2-2,0-4,0-4,2-5,93.5,99.1,-5.6,L2,2-6,NBA Standings Pre Season 2014-15
