Team Name,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Title
SASan Antonio Spurs,60,22,.732,-,33-8,27-14,17-7,0-0,95.8,90.4,+5.4,L1,8-2,NBA Standings Regular Season 2002-03
DALDallas Mavericks,60,22,.732,-,33-8,27-14,18-6,0-0,103.0,95.2,+7.8,W3,6-4,NBA Standings Regular Season 2002-03
SACSacramento Kings,59,23,.720,1,35-6,24-17,17-7,0-0,101.7,95.2,+6.5,W2,8-2,NBA Standings Regular Season 2002-03
MINMinnesota Timberwolves,51,31,.622,9,33-8,18-23,15-9,0-0,98.1,96.0,+2.1,W3,5-5,NBA Standings Regular Season 2002-03
DETDetroit Pistons,50,32,.610,10,30-11,20-21,19-9,0-0,91.4,87.7,+3.7,L1,4-6,NBA Standings Regular Season 2002-03
LALLos Angeles Lakers,50,32,.610,10,31-10,19-22,15-9,0-0,100.4,98.0,+2.4,W2,8-2,NBA Standings Regular Season 2002-03
PORPortland Trail Blazers,50,32,.610,10,27-14,23-18,15-9,0-0,95.2,92.5,+2.7,L1,5-5,NBA Standings Regular Season 2002-03
NJNew Jersey Nets,49,33,.598,11,33-8,16-25,16-8,0-0,95.4,90.1,+5.3,L2,5-5,NBA Standings Regular Season 2002-03
INDIndiana Pacers,48,34,.585,12,32-9,16-25,19-9,0-0,96.8,93.3,+3.5,W2,6-4,NBA Standings Regular Season 2002-03
PHIPhiladelphia 76ers,48,34,.585,12,25-16,23-18,17-7,0-0,96.8,94.5,+2.3,W1,5-5,NBA Standings Regular Season 2002-03
NONew Orleans Hornets,47,35,.573,13,29-12,18-23,17-11,0-0,93.9,91.8,+2.1,W5,7-3,NBA Standings Regular Season 2002-03
UTAHUtah Jazz,47,35,.573,13,29-12,18-23,15-9,0-0,94.7,92.3,+2.4,L2,4-6,NBA Standings Regular Season 2002-03
BOSBoston Celtics,44,38,.537,16,25-16,19-22,13-12,0-0,92.7,93.0,-0.3,W2,6-4,NBA Standings Regular Season 2002-03
PHXPhoenix Suns,44,38,.537,16,30-11,14-27,12-12,0-0,95.5,94.4,+1.1,L2,6-4,NBA Standings Regular Season 2002-03
Houston Rockets,43,39,.524,17,28-13,15-26,11-13,0-0,93.8,92.3,+1.5,W3,6-4,NBA Standings Regular Season 2002-03
MILMilwaukee Bucks,42,40,.512,18,25-16,17-24,16-12,0-0,99.5,99.3,+0.2,W4,8-2,NBA Standings Regular Season 2002-03
ORLOrlando Magic,42,40,.512,18,26-15,16-25,14-11,0-0,98.5,98.4,+0.1,L2,4-6,NBA Standings Regular Season 2002-03
Seattle SuperSonics,40,42,.488,20,25-16,15-26,11-13,0-0,92.1,92.3,-0.2,W1,5-5,NBA Standings Regular Season 2002-03
olden State Warriors,38,44,.463,22,24-17,14-27,8-16,0-0,102.4,103.6,-1.2,L4,3-7,NBA Standings Regular Season 2002-03
Washington Wizards,37,45,.451,23,23-18,14-27,11-13,0-0,91.5,92.5,-1.0,L3,3-7,NBA Standings Regular Season 2002-03
ew York Knicks,37,45,.451,23,24-17,13-28,9-15,0-0,95.9,97.2,-1.3,L1,5-5,NBA Standings Regular Season 2002-03
Atlanta Hawks,35,47,.427,25,26-15,9-32,14-14,0-0,94.1,97.6,-3.5,L1,6-4,NBA Standings Regular Season 2002-03
Chicago Bulls,30,52,.366,30,27-14,3-38,12-16,0-0,94.9,100.1,-5.2,W1,4-6,NBA Standings Regular Season 2002-03
Memphis Grizzlies,28,54,.341,32,20-21,8-33,5-19,0-0,97.5,100.7,-3.2,L3,2-8,NBA Standings Regular Season 2002-03
LA Clippers,27,55,.329,33,16-25,11-30,6-18,0-0,93.8,98.0,-4.2,W3,5-5,NBA Standings Regular Season 2002-03
Miami Heat,25,57,.305,35,16-25,9-32,5-19,0-0,85.6,90.6,-5.0,W1,3-7,NBA Standings Regular Season 2002-03
Toronto Raptors,24,58,.293,36,15-26,9-32,10-18,0-0,90.9,96.7,-5.8,L8,1-9,NBA Standings Regular Season 2002-03
Denver Nuggets,17,65,.207,43,13-28,4-37,3-21,0-0,84.2,92.4,-8.2,L8,1-9,NBA Standings Regular Season 2002-03
Cleveland Cavaliers,17,65,.207,43,14-27,3-38,5-23,0-0,91.4,101.0,-9.6,W1,3-7,NBA Standings Regular Season 2002-03
