Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Kareem Abdul-Jabbar,C,2.1844,102.05828325,33,LAL,80,11,United States,NBA 1980-1981 Players Information
Tom Abernethy,PF,2.0065999999999997,99.79032140000001,26,"GOS, IND",39,4,United States,NBA 1980-1981 Players Information
Alvan Adams,FC,2.0574,95.2543977,26,PHX,75,5,United States,NBA 1980-1981 Players Information
Darrell Allums,F,2.0574,99.79032140000001,22,DAL,21,0,United States,NBA 1980-1981 Players Information
Tiny Archibald,PG,1.8541999999999998,68.0388555,32,BOS,80,10,United States,NBA 1980-1981 Players Information
Dennis Awtrey,C,2.0827999999999998,106.59420695,33,SEA,47,10,United States,NBA 1980-1981 Players Information
James Bailey,FC,2.0574,99.79032140000001,23,SEA,82,1,United States,NBA 1980-1981 Players Information
Greg Ballard,F,2.0065999999999997,97.52235955,26,WAS,82,3,United States,NBA 1980-1981 Players Information
Mike Bantom,FC,2.0574,90.718474,29,IND,76,7,United States,NBA 1980-1981 Players Information
Billy Ray Bates,SG,1.9304,95.2543977,24,POR,77,2,United States,NBA 1980-1981 Players Information
Mel Bennett,F,2.0065999999999997,90.718474,26,UTA,27,3,United States,NBA 1980-1981 Players Information
Kent Benson,C,2.0827999999999998,106.59420695,26,DET,59,3,United States,NBA 1980-1981 Players Information
Henry Bibby,G,1.8541999999999998,83.91458845000001,31,SDC,73,8,United States,NBA 1980-1981 Players Information
Larry Bird,SF,2.0574,99.79032140000001,24,BOS,82,1,United States,NBA 1980-1981 Players Information
Otis Birdsong,GF,1.905,86.1825503,25,KCK,71,3,United States,NBA 1980-1981 Players Information
Norman Black,GF,1.9558,83.91458845000001,23,DET,3,0,United States,NBA 1980-1981 Players Information
Ron Boone,GF,1.8796,90.718474,34,UTA,52,4,United States,NBA 1980-1981 Players Information
Winford Boynes,SG,1.9811999999999999,83.91458845000001,23,DAL,44,2,United States,NBA 1980-1981 Players Information
Dudley Bradley,GF,1.9811999999999999,88.45051215000001,23,IND,81,1,United States,NBA 1980-1981 Players Information
Mike Bratz,G,1.8796,83.91458845000001,25,CLE,80,3,United States,NBA 1980-1981 Players Information
Jim Brewer,PF,2.0574,95.2543977,29,LAL,78,7,United States,NBA 1980-1981 Players Information
Ron Brewer,G,1.9304,81.6466266,25,"POR, SAN",75,2,United States,NBA 1980-1981 Players Information
Junior Bridgeman,GF,1.9558,95.2543977,27,MIL,77,5,United States,NBA 1980-1981 Players Information
Allan Bristow,GF,2.0065999999999997,95.2543977,29,UTA,81,7,United States,NBA 1980-1981 Players Information
Dave Britton,SG,1.9304,81.6466266,22,WAS,2,0,United States,NBA 1980-1981 Players Information
