#,Player,Pos,HT,WT,Age,Teams,YOS,Nationality,Title
5,Precious Achiuwa,SF,2.032,110.22294591,24,New York Knicks,3,Nigeria,NBA 2023-2024 Players Information
12,Steven Adams,C,2.1082,120.20197805000001,30,Houston Rockets,10,New Zealand,NBA 2023-2024 Players Information
13,Bam Adebayo,C,2.0574,115.66605435000001,26,Miami Heat,6,United States,NBA 2023-2024 Players Information
30,Ochai Agbaji,SF,1.9558,97.52235955,23,Toronto Raptors,1,United States,NBA 2023-2024 Players Information
7,Santi Aldama,C,2.1336,97.52235955,23,Memphis Grizzlies,2,Spain,NBA 2023-2024 Players Information
9,Nickeil Alexander-Walker,SG,1.9558,92.98643585,25,Minnesota Timberwolves,4,Canada,NBA 2023-2024 Players Information
8,Grayson Allen,SG,1.9304,89.81128926000001,28,Phoenix Suns,5,United States,NBA 2023-2024 Players Information
31,Jarrett Allen,C,2.0574,110.22294591,25,Cleveland Cavaliers,6,United States,NBA 2023-2024 Players Information
15,Jose Alvarado,G,1.8288,81.19303423000001,25,New Orleans Pelicans,2,United StatesPuerto Rico,NBA 2023-2024 Players Information
1,Kyle Anderson,PF,2.0574,104.32624510000001,30,Minnesota Timberwolves,9,United StatesChina,NBA 2023-2024 Players Information
34,Giannis Antetokounmpo,F,2.1082,110.22294591,29,Milwaukee Bucks,10,GreeceNigeria,NBA 2023-2024 Players Information
43,Thanasis Antetokounmpo,SF,2.0065999999999997,99.33672903,31,Milwaukee Bucks,5,GreeceNigeria,NBA 2023-2024 Players Information
50,Cole Anthony,PG,1.8796,83.91458845000001,23,Orlando Magic,3,United States,NBA 2023-2024 Players Information
8,OG Anunoby,SF,2.0065999999999997,108.8621688,26,New York Knicks,6,EnglandUnited States,NBA 2023-2024 Players Information
8,Deni Avdija,SG,2.0574,95.2543977,23,Washington Wizards,3,Israel,NBA 2023-2024 Players Information
2,Deandre Ayton,C,2.1336,112.03731539,25,Portland Trail Blazers,5,Bahamas,NBA 2023-2024 Players Information
27,Udoka Azubuike,C,2.1082,122.4699399,24,Phoenix Suns,3,Nigeria,NBA 2023-2024 Players Information
41,Ibou Badji,C,2.1336,108.8621688,21,Portland Trail Blazers,1,Senegal,NBA 2023-2024 Players Information
35,Marvin Bagley III,PF,2.0827999999999998,106.59420695,25,Washington Wizards,5,United States,NBA 2023-2024 Players Information
10,Amari Bailey,G,1.905,83.91458845000001,20,Charlotte Hornets,0,United States,NBA 2023-2024 Players Information
7,"Patrick Baldwin, Jr.",SG,2.0574,99.79032140000001,21,Washington Wizards,1,United States,NBA 2023-2024 Players Information
1,LaMelo Ball,G,2.0065999999999997,81.6466266,22,Charlotte Hornets,3,United States,NBA 2023-2024 Players Information
2,Lonzo Ball,PG,1.9811999999999999,86.1825503,26,Chicago Bulls,6,United States,NBA 2023-2024 Players Information
5,Mohamed Bamba,C,2.1336,104.77983747,25,Philadelphia Sixers,5,United States,NBA 2023-2024 Players Information
5,Paolo Banchero,C,2.0827999999999998,113.3980925,21,Orlando Magic,1,United StatesItaly,NBA 2023-2024 Players Information
22,Desmond Bane,SG,1.9558,97.52235955,25,Memphis Grizzlies,3,United States,NBA 2023-2024 Players Information
5,Dalano Banton,PG,2.032,92.53284348000001,24,Portland Trail Blazers,2,Canada,NBA 2023-2024 Players Information
26,Dominick Barlow,F,2.0574,97.52235955,20,San Antonio Spurs,1,United States,NBA 2023-2024 Players Information
40,Harrison Barnes,SF,2.032,102.05828325,31,Sacramento Kings,11,United States,NBA 2023-2024 Players Information
4,Scottie Barnes,SF,2.0065999999999997,107.50139169,22,Toronto Raptors,2,United States,NBA 2023-2024 Players Information
9,R.J. Barrett,SG,1.9811999999999999,97.06876718000001,23,Toronto Raptors,4,Canada,NBA 2023-2024 Players Information
28,Charles Bassey,PF,2.0827999999999998,104.32624510000001,23,San Antonio Spurs,2,NigeriaUnited States,NBA 2023-2024 Players Information
21,Emoni Bates,SF,2.032,77.1107029,20,Cleveland Cavaliers,0,United States,NBA 2023-2024 Players Information
13,Keita Bates-Diop,SF,2.032,103.87265273,28,Brooklyn Nets,5,United States,NBA 2023-2024 Players Information
40,Nicolas Batum,F,2.032,104.32624510000001,35,Philadelphia Sixers,15,France,NBA 2023-2024 Players Information
21,Darius Bazley,PF,2.0574,97.97595192,23,Utah Jazz,4,United States,NBA 2023-2024 Players Information
3,Bradley Beal,SG,1.9304,93.89362059,30,Phoenix Suns,11,United States,NBA 2023-2024 Players Information
5,Malik Beasley,SG,1.9304,84.82177319,27,Milwaukee Bucks,7,United States,NBA 2023-2024 Players Information
3,MarJon Beauchamp,SG,2.0065999999999997,90.26488163,23,Milwaukee Bucks,1,United States,NBA 2023-2024 Players Information
14,Jules Bernard,SG,1.9811999999999999,95.2543977,24,Washington Wizards,0,United States,NBA 2023-2024 Players Information
9,Davis Bertans,SF,2.0827999999999998,102.05828325,31,Charlotte Hornets,7,Latvia,NBA 2023-2024 Players Information
21,Patrick Beverley,PG,1.8796,81.6466266,35,Milwaukee Bucks,11,United States,NBA 2023-2024 Players Information
41,Saddiq Bey,F,2.0065999999999997,97.52235955,24,Atlanta Hawks,3,United States,NBA 2023-2024 Players Information
35,Goga Bitadze,C,2.0827999999999998,113.3980925,24,Orlando Magic,4,Georgia,NBA 2023-2024 Players Information
17,Onuralp Bitim,SG,1.9811999999999999,97.52235955,24,Chicago Bulls,0,Turkey,NBA 2023-2024 Players Information
