Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Lorenzen Wright,ATL,71,"1,988.0",881,363,811,0.448,0,2,0.0,155,216,0.718,180,355,535,87,42,63,125,232,NBA 2000-2001 Regular_Season Players Statistic
Metta World Peace,CHI,76,"2,363.0",907,327,815,0.401,43,148,0.291,210,280,0.75,59,235,294,228,152,45,159,254,NBA 2000-2001 Regular_Season Players Statistic
Ruben Wolkowyski,SEA,34,305.0,75,25,79,0.316,0,2,0.0,25,34,0.735,12,34,46,3,6,18,12,38,NBA 2000-2001 Regular_Season Players Statistic
David Wingate,SEA,1,9.0,6,3,3,1.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,1,NBA 2000-2001 Regular_Season Players Statistic
Kevin Willis,DEN,78,"1,830.0",722,304,690,0.441,1,6,0.167,113,147,0.769,177,355,532,50,57,52,87,216,NBA 2000-2001 Regular_Season Players Statistic
Corliss Williamson,DET,69,"1,686.0",801,325,647,0.502,0,2,0.0,151,237,0.637,110,211,321,61,50,21,110,185,NBA 2000-2001 Regular_Season Players Statistic
Walt Williams,HOU,72,"1,583.0",599,202,513,0.394,98,248,0.395,97,126,0.77,31,214,245,97,30,28,73,153,NBA 2000-2001 Regular_Season Players Statistic
Shammond Williams,SEA,69,"1,238.0",467,161,368,0.438,61,133,0.459,84,96,0.875,34,98,132,190,31,4,82,83,NBA 2000-2001 Regular_Season Players Statistic
Scott Williams,MIL,66,"1,272.0",403,171,361,0.474,1,4,0.25,60,70,0.857,97,267,364,35,48,32,41,178,NBA 2000-2001 Regular_Season Players Statistic
Monty Williams,ORL,82,"1,211.0",410,162,364,0.445,1,13,0.077,85,133,0.639,86,157,243,79,29,16,85,136,NBA 2000-2001 Regular_Season Players Statistic
Jerome Williams,TOR,59,"1,182.0",372,136,294,0.463,0,3,0.0,100,135,0.741,133,249,382,45,57,20,63,124,NBA 2000-2001 Regular_Season Players Statistic
Jason Williams,SAC,77,"2,290.0",720,281,690,0.407,98,311,0.315,60,76,0.789,19,166,185,416,94,9,160,114,NBA 2000-2001 Regular_Season Players Statistic
Eric Williams,BOS,81,"1,744.0",535,162,448,0.362,46,139,0.331,165,231,0.714,64,143,207,112,64,13,76,179,NBA 2000-2001 Regular_Season Players Statistic
Alvin Williams,TOR,82,"2,394.0",802,330,767,0.43,33,108,0.306,109,145,0.752,50,162,212,407,123,26,103,171,NBA 2000-2001 Regular_Season Players Statistic
Aaron Williams,NJN,82,"2,336.0",838,297,650,0.457,0,2,0.0,244,310,0.787,211,379,590,88,59,113,132,319,NBA 2000-2001 Regular_Season Players Statistic
Chris Whitney,WAS,59,"1,532.0",558,182,470,0.387,93,248,0.375,101,113,0.894,12,94,106,248,55,3,103,150,NBA 2000-2001 Regular_Season Players Statistic
Jahidi White,WAS,68,"1,609.0",583,203,408,0.498,0,1,0.0,177,312,0.567,178,343,521,20,32,111,136,211,NBA 2000-2001 Regular_Season Players Statistic
Doug West,VAN,15,171.0,28,11,38,0.289,0,2,0.0,6,7,0.857,4,11,15,14,3,4,4,21,NBA 2000-2001 Regular_Season Players Statistic
David Wesley,CHA,82,"3,106.0","1,414",523,"1,239",0.422,97,258,0.376,271,339,0.799,64,160,224,361,128,16,171,220,NBA 2000-2001 Regular_Season Players Statistic
Bonzi Wells,POR,75,"1,995.0",950,387,726,0.533,17,50,0.34,159,240,0.663,120,247,367,208,94,20,169,203,NBA 2000-2001 Regular_Season Players Statistic
Chris Webber,SAC,70,"2,836.0","1,898",786,"1,635",0.481,2,28,0.071,324,461,0.703,179,598,777,294,93,118,195,226,NBA 2000-2001 Regular_Season Players Statistic
Clarence Weatherspoon,CLE,82,"2,774.0",924,347,692,0.501,0,0,0.0,230,291,0.79,223,573,796,103,85,105,112,171,NBA 2000-2001 Regular_Season Players Statistic
Charlie Ward,NYK,61,"1,492.0",433,155,373,0.416,67,175,0.383,56,70,0.8,32,127,159,273,70,10,112,132,NBA 2000-2001 Regular_Season Players Statistic
Zhizhi Wang,DAL,5,38.0,24,8,19,0.421,0,2,0.0,8,10,0.8,1,6,7,0,0,0,1,8,NBA 2000-2001 Regular_Season Players Statistic
Rasheed Wallace,POR,77,"2,940.0","1,477",590,"1,178",0.501,52,162,0.321,245,320,0.766,147,455,602,212,90,135,158,206,NBA 2000-2001 Regular_Season Players Statistic
John Wallace,DET,40,527.0,237,100,236,0.424,2,15,0.133,35,45,0.778,25,58,83,23,13,16,36,72,NBA 2000-2001 Regular_Season Players Statistic
Ben Wallace,DET,80,"2,760.0",511,215,439,0.49,1,4,0.25,80,238,0.336,303,749,"1,052",123,107,186,117,192,NBA 2000-2001 Regular_Season Players Statistic
Samaki Walker,SAS,61,963.0,321,121,252,0.48,1,3,0.333,78,124,0.629,67,176,243,29,10,41,68,103,NBA 2000-2001 Regular_Season Players Statistic
Antoine Walker,BOS,81,"3,396.0","1,892",711,"1,720",0.413,221,603,0.367,249,348,0.716,151,568,719,445,138,49,301,251,NBA 2000-2001 Regular_Season Players Statistic
Jake Voskuhl,CHI,16,143.0,30,11,25,0.44,0,0,0.0,8,14,0.571,12,22,34,5,5,6,12,38,NBA 2000-2001 Regular_Season Players Statistic
Loy Vaught,WAS,51,549.0,168,80,169,0.473,0,0,0.0,8,10,0.8,51,122,173,23,21,7,26,74,NBA 2000-2001 Regular_Season Players Statistic
Jacque Vaughn,UTA,82,"1,620.0",498,170,393,0.433,30,78,0.385,128,164,0.78,18,132,150,323,48,3,129,145,NBA 2000-2001 Regular_Season Players Statistic
David Vanterpool,WAS,22,411.0,122,46,110,0.418,0,6,0.0,30,50,0.6,15,22,37,66,23,3,37,44,NBA 2000-2001 Regular_Season Players Statistic
Keith Van Horn,NJN,49,"1,733.0",831,308,708,0.435,65,170,0.382,150,186,0.806,78,269,347,82,40,20,103,150,NBA 2000-2001 Regular_Season Players Statistic
Nick Van Exel,DEN,71,"2,688.0","1,259",460,"1,112",0.414,135,358,0.377,204,249,0.819,44,197,241,600,61,18,165,109,NBA 2000-2001 Regular_Season Players Statistic
Hedo Turkoglu,SAC,74,"1,245.0",391,138,335,0.412,28,86,0.326,87,112,0.777,49,161,210,69,52,24,55,139,NBA 2000-2001 Regular_Season Players Statistic
Jake Tsakalidis,PHX,57,947.0,256,101,215,0.47,0,0,0.0,54,91,0.593,83,159,242,19,10,55,66,137,NBA 2000-2001 Regular_Season Players Statistic
Gary Trent,DAL,33,319.0,133,57,130,0.438,0,1,0.0,19,36,0.528,39,53,92,10,13,8,22,52,NBA 2000-2001 Regular_Season Players Statistic
Robert Traylor,CLE,70,"1,212.0",402,161,324,0.497,0,2,0.0,80,141,0.567,124,176,300,63,49,76,98,204,NBA 2000-2001 Regular_Season Players Statistic
Otis Thorpe,CHA,49,647.0,138,59,131,0.45,0,0,0.0,20,24,0.833,50,95,145,29,12,7,32,108,NBA 2000-2001 Regular_Season Players Statistic
Tim Thomas,MIL,76,"2,086.0",954,326,758,0.43,107,260,0.412,195,253,0.771,79,234,313,138,78,45,114,194,NBA 2000-2001 Regular_Season Players Statistic
Kurt Thomas,NYK,77,"2,125.0",800,314,614,0.511,1,3,0.333,171,210,0.814,172,343,515,63,61,69,99,287,NBA 2000-2001 Regular_Season Players Statistic
Kenny Thomas,HOU,74,"1,820.0",528,206,465,0.443,25,92,0.272,91,126,0.722,122,295,417,77,40,43,116,178,NBA 2000-2001 Regular_Season Players Statistic
Jamel Thomas,NJN,5,56.0,13,6,19,0.316,1,3,0.333,0,0,0.0,4,5,9,0,3,0,6,6,NBA 2000-2001 Regular_Season Players Statistic
Jason Terry,ATL,82,"3,089.0","1,619",596,"1,367",0.436,124,314,0.395,303,358,0.846,42,227,269,403,104,12,239,204,NBA 2000-2001 Regular_Season Players Statistic
Mo Taylor,HOU,69,"1,972.0",899,390,797,0.489,0,4,0.0,119,162,0.735,109,269,378,104,28,38,125,208,NBA 2000-2001 Regular_Season Players Statistic
Dragan Tarlac,CHI,43,598.0,103,39,99,0.394,0,0,0.0,25,33,0.758,37,85,122,31,7,19,38,95,NBA 2000-2001 Regular_Season Players Statistic
Zan Tabak,IND,55,777.0,216,98,186,0.527,0,0,0.0,20,47,0.426,65,148,213,33,10,30,57,125,NBA 2000-2001 Regular_Season Players Statistic
Wally Szczerbiak,MIN,82,"2,856.0","1,145",469,920,0.51,26,77,0.338,181,208,0.87,133,314,447,260,59,33,138,226,NBA 2000-2001 Regular_Season Players Statistic
Stromile Swift,VAN,80,"1,312.0",391,153,339,0.451,0,4,0.0,85,141,0.603,109,175,284,28,62,82,64,160,NBA 2000-2001 Regular_Season Players Statistic
Bob Sura,GSW,53,"1,684.0",586,202,518,0.39,47,172,0.273,135,189,0.714,54,173,227,242,54,8,160,127,NBA 2000-2001 Regular_Season Players Statistic
Bruno Sundov,IND,11,120.0,43,20,41,0.488,0,4,0.0,3,5,0.6,4,19,23,2,2,4,3,21,NBA 2000-2001 Regular_Season Players Statistic
Derek Strong,LAC,28,491.0,118,45,117,0.385,0,1,0.0,28,37,0.757,34,74,108,7,14,1,22,30,NBA 2000-2001 Regular_Season Players Statistic
Rod Strickland,POR,54,"1,371.0",498,182,429,0.424,4,17,0.235,130,173,0.751,36,104,140,303,53,5,107,76,NBA 2000-2001 Regular_Season Players Statistic
Mark Strickland,NJN,55,719.0,252,103,239,0.431,1,2,0.5,45,70,0.643,54,107,161,24,16,22,34,72,NBA 2000-2001 Regular_Season Players Statistic
Erick Strickland,VAN,50,830.0,260,81,267,0.303,30,95,0.316,68,79,0.861,18,110,128,95,44,2,48,88,NBA 2000-2001 Regular_Season Players Statistic
Damon Stoudamire,POR,82,"2,655.0","1,066",406,935,0.434,82,219,0.374,172,207,0.831,69,234,303,468,106,8,191,202,NBA 2000-2001 Regular_Season Players Statistic
Peja Stojakovic,SAC,75,"2,905.0","1,529",559,"1,189",0.47,144,360,0.4,267,312,0.856,93,341,434,164,91,13,146,144,NBA 2000-2001 Regular_Season Players Statistic
John Stockton,UTA,82,"2,397.0",944,328,651,0.504,61,132,0.462,227,278,0.817,54,173,227,713,132,21,203,194,NBA 2000-2001 Regular_Season Players Statistic
Bryant Stith,BOS,78,"2,504.0",756,245,611,0.401,91,242,0.376,175,207,0.845,65,219,284,168,93,14,90,182,NBA 2000-2001 Regular_Season Players Statistic
Michael Stewart,TOR,26,123.0,33,11,34,0.324,0,0,0.0,11,18,0.611,16,13,29,2,4,3,5,19,NBA 2000-2001 Regular_Season Players Statistic
