Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Lorenzen Wright,MEM,4,85.0,33,16,28,0.571,0,0,0.0,1,2,0.5,6,14,20,9,1,1,2,10,NBA 2004-2005 Playoffs Players Statistic
Corliss Williamson,SAC,5,40.0,26,6,16,0.375,0,1,0.0,14,18,0.778,4,2,6,3,1,2,4,11,NBA 2004-2005 Playoffs Players Statistic
Jason Williams,MEM,4,114.0,68,28,53,0.528,10,21,0.476,2,2,1.0,1,8,9,21,6,0,8,7,NBA 2004-2005 Playoffs Players Statistic
Damien Wilkins,SEA,7,136.0,39,16,36,0.444,3,11,0.273,4,9,0.444,9,9,18,3,10,1,8,17,NBA 2004-2005 Playoffs Players Statistic
Delonte West,BOS,7,115.0,29,11,21,0.524,5,11,0.455,2,4,0.5,2,7,9,4,7,1,2,17,NBA 2004-2005 Playoffs Players Statistic
David Wesley,HOU,7,280.0,57,19,54,0.352,10,21,0.476,9,13,0.692,4,17,21,23,9,1,9,20,NBA 2004-2005 Playoffs Players Statistic
Bonzi Wells,MEM,2,25.0,14,4,9,0.444,0,0,0.0,6,6,1.0,0,4,4,3,2,1,1,1,NBA 2004-2005 Playoffs Players Statistic
Chris Webber,PHI,5,186.0,95,39,95,0.411,5,14,0.357,12,16,0.75,12,17,29,14,6,1,11,20,NBA 2004-2005 Playoffs Players Statistic
Clarence Weatherspoon,HOU,1,1.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,NBA 2004-2005 Playoffs Players Statistic
Earl Watson,MEM,4,74.0,19,8,24,0.333,1,9,0.111,2,2,1.0,3,7,10,15,3,1,2,11,NBA 2004-2005 Playoffs Players Statistic
Rasheed Wallace,DET,25,826.0,341,136,310,0.439,29,86,0.337,40,54,0.741,39,134,173,32,26,44,38,95,NBA 2004-2005 Playoffs Players Statistic
Ben Wallace,DET,25,979.0,251,102,212,0.481,0,4,0.0,47,102,0.461,95,187,282,25,43,59,30,65,NBA 2004-2005 Playoffs Players Statistic
Antoine Walker,BOS,6,224.0,100,43,104,0.413,7,19,0.368,7,11,0.636,16,28,44,14,7,6,18,19,NBA 2004-2005 Playoffs Players Statistic
Dwyane Wade,MIA,14,571.0,384,136,281,0.484,1,10,0.1,111,139,0.799,23,57,80,93,22,16,62,43,NBA 2004-2005 Playoffs Players Statistic
Keith Van Horn,DAL,3,33.0,22,7,15,0.467,0,4,0.0,8,9,0.889,3,3,6,1,1,0,1,6,NBA 2004-2005 Playoffs Players Statistic
Beno Udrih,SAS,21,241.0,78,28,78,0.359,10,37,0.27,12,14,0.857,4,13,17,22,9,1,20,20,NBA 2004-2005 Playoffs Players Statistic
Jamaal Tinsley,IND,9,247.0,78,32,89,0.36,2,18,0.111,12,21,0.571,6,24,30,51,14,3,27,31,NBA 2004-2005 Playoffs Players Statistic
Kenny Thomas,SAC,5,153.0,60,23,45,0.511,0,0,0.0,14,20,0.7,17,27,44,12,4,2,8,22,NBA 2004-2005 Playoffs Players Statistic
Etan Thomas,WAS,8,127.0,48,19,29,0.655,0,0,0.0,10,22,0.455,12,24,36,2,0,7,9,23,NBA 2004-2005 Playoffs Players Statistic
Billy Thomas,NJN,2,2.0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,NBA 2004-2005 Playoffs Players Statistic
Jason Terry,DAL,13,501.0,227,81,160,0.506,27,55,0.491,38,43,0.884,9,45,54,60,17,7,30,28,NBA 2004-2005 Playoffs Players Statistic
Stromile Swift,MEM,3,48.0,28,12,20,0.6,0,0,0.0,4,7,0.571,7,7,14,1,1,0,2,3,NBA 2004-2005 Playoffs Players Statistic
Bob Sura,HOU,7,182.0,55,20,46,0.435,7,13,0.538,8,12,0.667,6,21,27,14,7,0,11,15,NBA 2004-2005 Playoffs Players Statistic
Amar'e Stoudemire,PHX,15,601.0,449,153,284,0.539,0,3,0.0,143,183,0.781,60,100,160,18,10,30,47,59,NBA 2004-2005 Playoffs Players Statistic
Peja Stojakovic,SAC,5,203.0,110,39,83,0.47,11,30,0.367,21,22,0.955,6,20,26,7,4,1,2,15,NBA 2004-2005 Playoffs Players Statistic
Jerry Stackhouse,DAL,13,403.0,209,68,176,0.386,16,40,0.4,57,66,0.864,20,33,53,30,8,3,21,22,NBA 2004-2005 Playoffs Players Statistic
Darius Songaila,SAC,5,75.0,20,8,19,0.421,0,0,0.0,4,5,0.8,6,8,14,3,2,1,2,14,NBA 2004-2005 Playoffs Players Statistic
Steve Smith,MIA,3,8.0,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,NBA 2004-2005 Playoffs Players Statistic
Jabari Smith,NJN,3,4.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,NBA 2004-2005 Playoffs Players Statistic
Brian Skinner,SAC,4,47.0,8,4,8,0.5,0,0,0.0,0,0,0.0,6,5,11,2,2,4,5,5,NBA 2004-2005 Playoffs Players Statistic
Brian Scalabrine,NJN,4,61.0,9,2,11,0.182,1,4,0.25,4,4,1.0,2,5,7,2,1,2,4,6,NBA 2004-2005 Playoffs Players Statistic
John Salmons,PHI,2,4.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,NBA 2004-2005 Playoffs Players Statistic
Bryon Russell,DEN,3,9.0,3,0,1,0.0,0,1,0.0,3,3,1.0,0,0,0,0,0,0,0,0,NBA 2004-2005 Playoffs Players Statistic
Michael Ruffin,WAS,9,156.0,23,7,10,0.7,0,0,0.0,9,16,0.563,15,22,37,9,3,3,4,33,NBA 2004-2005 Playoffs Players Statistic
Rodney Rogers,PHI,4,49.0,20,6,13,0.462,3,8,0.375,5,7,0.714,0,4,4,1,0,2,1,4,NBA 2004-2005 Playoffs Players Statistic
Glenn Robinson,SAS,13,113.0,50,16,45,0.356,3,10,0.3,15,17,0.882,2,19,21,1,3,7,6,20,NBA 2004-2005 Playoffs Players Statistic
Cliff Robinson,NJN,4,71.0,28,11,27,0.407,4,14,0.286,2,2,1.0,2,8,10,5,3,1,0,20,NBA 2004-2005 Playoffs Players Statistic
Luke Ridnour,SEA,11,378.0,107,42,107,0.393,4,17,0.235,19,20,0.95,10,26,36,47,13,8,18,23,NBA 2004-2005 Playoffs Players Statistic
Quentin Richardson,PHX,15,564.0,179,62,154,0.403,32,82,0.39,23,36,0.639,24,53,77,25,19,3,15,53,NBA 2004-2005 Playoffs Players Statistic
Jared Reiner,CHI,3,7.0,0,0,1,0.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,1,3,NBA 2004-2005 Playoffs Players Statistic
Justin Reed,BOS,6,22.0,7,2,6,0.333,0,2,0.0,3,4,0.75,0,1,1,0,0,0,2,2,NBA 2004-2005 Playoffs Players Statistic
Vladimir Radmanovic,SEA,6,122.0,32,13,35,0.371,5,21,0.238,1,2,0.5,1,17,18,3,4,3,6,9,NBA 2004-2005 Playoffs Players Statistic
Laron Profit,WAS,3,5.0,0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,NBA 2004-2005 Playoffs Players Statistic
Tayshaun Prince,DET,25,"1,024.0",336,133,307,0.433,22,60,0.367,48,60,0.8,56,102,158,83,26,9,37,50,NBA 2004-2005 Playoffs Players Statistic
Vitaly Potapenko,SEA,5,37.0,10,5,10,0.5,0,0,0.0,0,0,0.0,3,4,7,0,0,0,0,8,NBA 2004-2005 Playoffs Players Statistic
James Posey,MEM,4,100.0,39,11,25,0.44,7,15,0.467,10,13,0.769,1,12,13,4,2,1,5,14,NBA 2004-2005 Playoffs Players Statistic
Scot Pollard,IND,9,67.0,13,6,15,0.4,0,0,0.0,1,2,0.5,4,7,11,1,1,0,4,9,NBA 2004-2005 Playoffs Players Statistic
Zoran Planinic,NJN,3,3.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,NBA 2004-2005 Playoffs Players Statistic
Paul Pierce,BOS,7,277.0,160,47,93,0.505,7,27,0.259,59,68,0.868,7,47,54,32,13,10,19,18,NBA 2004-2005 Playoffs Players Statistic
Eric Piatkowski,CHI,5,65.0,23,6,19,0.316,5,13,0.385,6,7,0.857,1,8,9,3,4,1,1,3,NBA 2004-2005 Playoffs Players Statistic
Wesley Person,DEN,4,54.0,15,6,14,0.429,3,8,0.375,0,0,0.0,1,0,1,1,1,0,1,0,NBA 2004-2005 Playoffs Players Statistic
Kendrick Perkins,BOS,6,28.0,9,4,5,0.8,0,0,0.0,1,3,0.333,3,3,6,0,0,3,3,7,NBA 2004-2005 Playoffs Players Statistic
Anthony Peeler,WAS,7,43.0,4,1,9,0.111,0,3,0.0,2,2,1.0,0,7,7,3,1,0,3,4,NBA 2004-2005 Playoffs Players Statistic
Gary Payton,BOS,7,239.0,72,33,74,0.446,1,14,0.071,5,6,0.833,8,21,29,32,6,1,11,10,NBA 2004-2005 Playoffs Players Statistic
Tony Parker,SAS,23,858.0,396,166,366,0.454,9,48,0.188,55,87,0.632,13,53,66,100,17,2,71,69,NBA 2004-2005 Playoffs Players Statistic
Jannero Pargo,CHI,5,75.0,52,18,51,0.353,13,32,0.406,3,5,0.6,1,4,5,10,3,0,8,14,NBA 2004-2005 Playoffs Players Statistic
Scott Padgett,HOU,7,109.0,25,9,24,0.375,5,12,0.417,2,2,1.0,9,10,19,4,3,2,3,18,NBA 2004-2005 Playoffs Players Statistic
Bo Outlaw,PHX,1,2.0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,NBA 2004-2005 Playoffs Players Statistic
Greg Ostertag,SAC,2,26.0,6,3,3,1.0,0,0,0.0,0,0,0.0,4,5,9,0,1,2,2,4,NBA 2004-2005 Playoffs Players Statistic
Shaquille O'Neal,MIA,13,431.0,252,101,181,0.558,0,0,0.0,50,106,0.472,19,83,102,25,5,19,42,52,NBA 2004-2005 Playoffs Players Statistic
Jermaine O'Neal,IND,13,476.0,208,77,211,0.365,0,3,0.0,54,72,0.75,21,83,104,29,7,34,36,48,NBA 2004-2005 Playoffs Players Statistic
Dirk Nowitzki,DAL,13,551.0,308,103,256,0.402,10,30,0.333,92,111,0.829,25,106,131,43,18,21,33,42,NBA 2004-2005 Playoffs Players Statistic
Moochie Norris,HOU,2,7.0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,NBA 2004-2005 Playoffs Players Statistic
Andres Nocioni,CHI,6,202.0,77,27,67,0.403,6,17,0.353,17,23,0.739,8,41,49,14,1,6,11,20,NBA 2004-2005 Playoffs Players Statistic
Rasho Nesterovic,SAS,15,114.0,10,5,12,0.417,0,0,0.0,0,2,0.0,11,15,26,2,1,5,4,16,NBA 2004-2005 Playoffs Players Statistic
Maybyner Nene,DEN,5,101.0,33,9,21,0.429,0,0,0.0,15,23,0.652,9,16,25,2,2,2,5,16,NBA 2004-2005 Playoffs Players Statistic
