Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Derrick Zimmerman,NJN,5,92.0,27,12,20,0.6,0,0,0.0,3,7,0.429,4,9,13,6,5,2,10,17,NBA 2005-2006 Summer_League Players Statistic
Ray Young,GSW,4,87.0,31,12,29,0.414,1,1,1.0,6,8,0.75,1,7,8,6,6,0,4,15,NBA 2005-2006 Summer_League Players Statistic
Guillaume Yango,SAC,4,43.0,11,5,14,0.357,0,0,0.0,1,2,0.5,6,8,14,2,0,0,1,5,NBA 2005-2006 Summer_League Players Statistic
Brent Wright,NYK,5,74.0,23,7,13,0.538,0,1,0.0,9,14,0.643,1,3,4,1,5,0,0,13,NBA 2005-2006 Summer_League Players Statistic
Antoine Wright,NJN,5,175.0,82,27,75,0.36,4,14,0.286,24,37,0.649,9,5,14,9,4,1,16,18,NBA 2005-2006 Summer_League Players Statistic
Wesley Wilson,CHA,5,28.0,6,2,9,0.222,0,0,0.0,2,2,1.0,3,5,8,0,2,2,1,11,NBA 2005-2006 Summer_League Players Statistic
Marvin Williams,ATL,5,129.0,41,13,43,0.302,0,0,0.0,15,19,0.789,9,14,23,7,1,1,7,23,NBA 2005-2006 Summer_League Players Statistic
Jawad Williams,GSW,5,86.0,31,13,28,0.464,0,5,0.0,5,9,0.556,6,5,11,1,2,0,4,10,NBA 2005-2006 Summer_League Players Statistic
Ezra Williams,SEA,5,78.0,35,13,29,0.448,1,4,0.25,8,8,1.0,3,8,11,5,4,0,6,12,NBA 2005-2006 Summer_League Players Statistic
Deron Williams,UTA,6,139.0,56,21,52,0.404,2,9,0.222,12,16,0.75,2,9,11,22,10,1,19,22,NBA 2005-2006 Summer_League Players Statistic
Mike Wilkinson,UTA,6,88.0,29,9,20,0.45,0,0,0.0,11,19,0.579,6,10,16,3,5,0,7,18,NBA 2005-2006 Summer_League Players Statistic
Robert Whaley,UTA,6,123.0,46,19,41,0.463,1,1,1.0,7,14,0.5,15,16,31,8,3,2,16,23,NBA 2005-2006 Summer_League Players Statistic
Delonte West,BOS,4,86.0,29,8,21,0.381,1,4,0.25,12,14,0.857,4,8,12,6,5,0,8,19,NBA 2005-2006 Summer_League Players Statistic
David West,NOP,4,78.0,26,9,19,0.474,0,0,0.0,8,11,0.727,8,11,19,3,3,1,5,15,NBA 2005-2006 Summer_League Players Statistic
Martell Webster,POR,6,197.0,76,26,67,0.388,6,16,0.375,18,24,0.75,3,23,26,3,3,0,14,20,NBA 2005-2006 Summer_League Players Statistic
Ray Weathers,SAC,2,25.0,11,4,6,0.667,0,0,0.0,3,3,1.0,0,2,2,0,0,0,1,6,NBA 2005-2006 Summer_League Players Statistic
Jackson Vroman,NOP,5,89.0,22,7,13,0.538,0,0,0.0,8,11,0.727,4,12,16,4,3,3,5,24,NBA 2005-2006 Summer_League Players Statistic
Isiah Victor,ORL,3,48.0,17,2,5,0.4,0,0,0.0,13,14,0.929,2,6,8,2,0,1,5,10,NBA 2005-2006 Summer_League Players Statistic
Jeff Varem,CLE,6,103.0,34,13,21,0.619,0,0,0.0,8,13,0.615,12,16,28,3,3,1,5,14,NBA 2005-2006 Summer_League Players Statistic
Ime Udoka,CLE,6,97.0,37,13,24,0.542,3,4,0.75,8,12,0.667,5,11,16,5,6,0,7,6,NBA 2005-2006 Summer_League Players Statistic
Robert Tomaszek,POR,5,46.0,2,1,3,0.333,0,0,0.0,0,0,0.0,1,3,4,1,3,0,5,17,NBA 2005-2006 Summer_League Players Statistic
Lucas Tischer,PHX,6,82.0,36,15,22,0.682,0,0,0.0,6,13,0.462,9,13,22,2,0,1,9,21,NBA 2005-2006 Summer_League Players Statistic
Garrett Tien,SAC,2,4.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,NBA 2005-2006 Summer_League Players Statistic
Dijon Thompson,PHX,6,167.0,44,16,43,0.372,3,14,0.214,9,15,0.6,4,10,14,3,1,0,9,12,NBA 2005-2006 Summer_League Players Statistic
Jobey Thomas,LAC,5,60.0,26,9,18,0.5,6,8,0.75,2,2,1.0,0,1,1,0,2,0,5,11,NBA 2005-2006 Summer_League Players Statistic
James Thomas,CLE,6,70.0,15,4,8,0.5,0,0,0.0,7,11,0.636,9,17,26,4,0,1,3,8,NBA 2005-2006 Summer_League Players Statistic
Billy Thomas,SAS,4,51.0,12,4,20,0.2,2,8,0.25,2,6,0.333,0,5,5,1,1,0,2,2,NBA 2005-2006 Summer_League Players Statistic
Sebastian Telfair,POR,6,193.0,112,32,82,0.39,7,25,0.28,41,53,0.774,3,21,24,36,7,1,18,17,NBA 2005-2006 Summer_League Players Statistic
Donell Taylor,WAS,6,159.0,76,27,47,0.574,2,6,0.333,20,27,0.741,8,7,15,3,8,2,16,18,NBA 2005-2006 Summer_League Players Statistic
