Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Luka Zoric,FEN,1,19.0,11,4,6,0.667,0,0,0.0,3,4,0.75,1,6,7,0,1,0,2,4,NBA 2014-2015 Preseason Players Statistic
Iftah Ziv,MAC,1,0.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,NBA 2014-2015 Preseason Players Statistic
Tyler Zeller,BOS,8,150.3,63,21,39,0.538,0,0,0.0,21,23,0.913,11,26,37,6,2,5,11,18,NBA 2014-2015 Preseason Players Statistic
Cody Zeller,CHA,8,171.8,55,21,44,0.477,0,0,0.0,13,15,0.867,8,28,36,17,2,3,8,28,NBA 2014-2015 Preseason Players Statistic
Talib Zanna,OKC,7,121.8,31,8,20,0.4,0,0,0.0,15,22,0.682,17,18,35,2,3,3,7,25,NBA 2014-2015 Preseason Players Statistic
Thaddeus Young,MIN,7,153.9,70,30,68,0.441,6,13,0.462,4,8,0.5,4,18,22,12,13,2,10,15,NBA 2014-2015 Preseason Players Statistic
Patric Young,NOP,6,66.5,10,3,9,0.333,0,0,0.0,4,6,0.667,9,12,21,0,1,1,5,12,NBA 2014-2015 Preseason Players Statistic
James Young,BOS,2,45.4,15,5,16,0.313,2,9,0.222,3,5,0.6,0,4,4,2,2,0,1,4,NBA 2014-2015 Preseason Players Statistic
Dagan Yavzuri,MAC,2,39.9,25,9,17,0.529,7,11,0.636,0,0,0.0,0,3,3,1,1,0,4,1,NBA 2014-2015 Preseason Players Statistic
Tony Wroten,PHI,7,177.6,97,30,67,0.448,6,21,0.286,31,46,0.674,2,26,28,32,12,2,25,19,NBA 2014-2015 Preseason Players Statistic
Dorell Wright,POR,7,90.5,27,7,19,0.368,1,8,0.125,12,14,0.857,1,6,7,6,10,2,3,4,NBA 2014-2015 Preseason Players Statistic
Brandan Wright,DAL,7,89.6,49,18,26,0.692,0,0,0.0,13,17,0.765,3,16,19,2,2,4,7,9,NBA 2014-2015 Preseason Players Statistic
Nate Wolters,MIL,4,72.2,33,14,22,0.636,1,6,0.167,4,4,1.0,0,4,4,9,0,0,2,4,NBA 2014-2015 Preseason Players Statistic
Jonas Wohlfarth-Bottermann,ALB,1,13.2,4,1,3,0.333,0,0,0.0,2,2,1.0,0,1,1,0,0,0,3,0,NBA 2014-2015 Preseason Players Statistic
Jeff Withey,NOP,6,56.2,17,8,16,0.5,0,0,0.0,1,3,0.333,4,11,15,4,2,5,6,12,NBA 2014-2015 Preseason Players Statistic
Jamil Wilson,PHX,2,8.9,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,NBA 2014-2015 Preseason Players Statistic
Shawne Williams,MIA,8,202.1,72,27,60,0.45,10,23,0.435,8,9,0.889,7,31,38,9,4,7,10,20,NBA 2014-2015 Preseason Players Statistic
Mo Williams,MIN,5,110.2,64,21,37,0.568,8,12,0.667,14,15,0.933,1,12,13,26,6,0,11,12,NBA 2014-2015 Preseason Players Statistic
Marvin Williams,CHA,7,186.7,39,15,44,0.341,7,26,0.269,2,6,0.333,10,31,41,15,12,2,7,20,NBA 2014-2015 Preseason Players Statistic
Marcus E. Williams,DEN,6,53.9,20,8,20,0.4,2,5,0.4,2,4,0.5,3,9,12,5,2,1,5,6,NBA 2014-2015 Preseason Players Statistic
Lou Williams,TOR,7,151.5,90,30,70,0.429,3,15,0.2,27,35,0.771,1,10,11,15,7,0,8,9,NBA 2014-2015 Preseason Players Statistic
Elliot Williams,PHI,6,136.2,66,24,48,0.5,8,18,0.444,10,14,0.714,3,13,16,16,7,0,11,8,NBA 2014-2015 Preseason Players Statistic
Derrick Williams,SAC,6,126.2,51,16,35,0.457,3,9,0.333,16,21,0.762,2,7,9,5,2,0,5,9,NBA 2014-2015 Preseason Players Statistic
Deron Williams,BRK,5,133.4,71,26,53,0.491,7,15,0.467,12,16,0.75,0,15,15,29,8,0,10,8,NBA 2014-2015 Preseason Players Statistic
C.J. Wilcox,LAC,6,42.4,12,3,12,0.25,2,8,0.25,4,5,0.8,3,2,5,2,1,0,3,1,NBA 2014-2015 Preseason Players Statistic
Andrew Wiggins,MIN,4,112.1,47,16,39,0.41,3,5,0.6,12,19,0.632,8,7,15,6,6,3,2,7,NBA 2014-2015 Preseason Players Statistic
Shayne Whittington,IND,2,35.4,17,7,9,0.778,0,0,0.0,3,3,1.0,1,1,2,2,0,0,6,3,NBA 2014-2015 Preseason Players Statistic
Hassan Whiteside,MEM,5,39.5,17,6,12,0.5,0,0,0.0,5,9,0.556,6,9,15,1,2,5,5,4,NBA 2014-2015 Preseason Players Statistic
Russell Westbrook,OKC,6,133.7,72,24,65,0.369,1,10,0.1,23,25,0.92,4,16,20,37,11,0,25,11,NBA 2014-2015 Preseason Players Statistic
David West,IND,4,81.8,39,16,40,0.4,0,1,0.0,7,8,0.875,5,11,16,7,4,1,7,7,NBA 2014-2015 Preseason Players Statistic
Travis Wear,NYK,5,55.3,19,9,20,0.45,0,1,0.0,1,2,0.5,3,10,13,3,3,0,4,11,NBA 2014-2015 Preseason Players Statistic
David Wear,SAC,1,3.2,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,NBA 2014-2015 Preseason Players Statistic
Mitchell Watt,GSW,2,18.9,7,3,8,0.375,0,2,0.0,1,2,0.5,2,2,4,3,1,3,0,2,NBA 2014-2015 Preseason Players Statistic
C.J. Watson,IND,2,47.8,23,7,15,0.467,5,12,0.417,4,4,1.0,1,6,7,10,3,0,4,4,NBA 2014-2015 Preseason Players Statistic
Christian Watford,BOS,3,6.6,0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,NBA 2014-2015 Preseason Players Statistic
T.J. Warren,PHX,5,60.8,25,11,22,0.5,3,6,0.5,0,0,0.0,5,7,12,3,2,1,2,3,NBA 2014-2015 Preseason Players Statistic
Casper Ware,PHI,7,137.3,52,15,44,0.341,5,21,0.238,17,21,0.81,0,14,14,31,3,0,12,11,NBA 2014-2015 Preseason Players Statistic
Gerald Wallace,BOS,5,73.9,18,8,14,0.571,0,0,0.0,2,6,0.333,2,5,7,8,5,0,4,7,NBA 2014-2015 Preseason Players Statistic
John Wall,WAS,7,168.3,90,27,72,0.375,6,19,0.316,30,36,0.833,1,17,18,29,11,0,24,5,NBA 2014-2015 Preseason Players Statistic
Kemba Walker,CHA,6,158.7,80,28,64,0.438,7,22,0.318,17,18,0.944,3,22,25,33,4,3,7,9,NBA 2014-2015 Preseason Players Statistic
Dion Waiters,CLE,7,191.4,101,39,89,0.438,15,33,0.455,8,10,0.8,4,13,17,16,5,4,17,21,NBA 2014-2015 Preseason Players Statistic
Moe Wagner,ALB,1,1.2,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,NBA 2014-2015 Preseason Players Statistic
Dwyane Wade,MIA,7,170.4,97,38,75,0.507,6,14,0.429,15,21,0.714,3,13,16,28,7,3,16,13,NBA 2014-2015 Preseason Players Statistic
Nikola Vucevic,ORL,7,176.6,98,45,80,0.563,0,0,0.0,8,11,0.727,15,41,56,7,4,9,13,16,NBA 2014-2015 Preseason Players Statistic
Noah Vonleh,CHA,1,18.7,4,2,5,0.4,0,1,0.0,0,0,0.0,2,2,4,0,2,0,3,4,NBA 2014-2015 Preseason Players Statistic
Marquinhos Vinicius,FLA,3,95.3,30,12,34,0.353,4,10,0.4,2,2,1.0,5,7,12,8,3,0,9,8,NBA 2014-2015 Preseason Players Statistic
Charlie Villanueva,DAL,8,85.0,63,22,52,0.423,12,34,0.353,7,9,0.778,3,17,20,2,3,2,5,10,NBA 2014-2015 Preseason Players Statistic
Chupeta Vieira,FLA,2,5.6,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,NBA 2014-2015 Preseason Players Statistic
Jan Vesely,FEN,1,23.3,9,4,6,0.667,0,0,0.0,1,1,1.0,1,5,6,3,0,1,0,3,NBA 2014-2015 Preseason Players Statistic
Greivis Vasquez,TOR,7,146.2,62,20,59,0.339,7,23,0.304,15,16,0.938,1,17,18,21,3,1,15,10,NBA 2014-2015 Preseason Players Statistic
Akeem Vargas,ALB,1,17.6,2,1,4,0.25,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,0,NBA 2014-2015 Preseason Players Statistic
Anderson Varejao,CLE,6,122.7,57,24,41,0.585,0,0,0.0,9,12,0.75,16,22,38,7,8,3,11,13,NBA 2014-2015 Preseason Players Statistic
Jonas Valanciunas,TOR,7,131.1,65,22,37,0.595,0,0,0.0,21,28,0.75,9,24,33,2,1,8,13,17,NBA 2014-2015 Preseason Players Statistic
Beno Udrih,MEM,6,93.3,38,11,28,0.393,4,7,0.571,12,13,0.923,2,8,10,12,4,0,13,3,NBA 2014-2015 Preseason Players Statistic
Ekpe Udoh,LAC,4,23.6,2,0,5,0.0,0,0,0.0,2,4,0.5,5,5,10,1,0,0,3,9,NBA 2014-2015 Preseason Players Statistic
Alexey Tzubrevitch,MAC,4,82.9,25,8,20,0.4,0,0,0.0,9,12,0.75,6,13,19,7,2,1,9,15,NBA 2014-2015 Preseason Players Statistic
Alex Tyus,MTA,1,32.3,13,5,11,0.455,0,0,0.0,3,4,0.75,0,6,6,0,1,5,2,5,NBA 2014-2015 Preseason Players Statistic
Jeremy Tyler,LAL,3,28.2,8,3,11,0.273,0,0,0.0,2,4,0.5,4,6,10,2,1,3,2,9,NBA 2014-2015 Preseason Players Statistic
Evan Turner,BOS,8,201.4,75,24,62,0.387,5,12,0.417,22,28,0.786,6,34,40,35,9,1,24,16,NBA 2014-2015 Preseason Players Statistic
Hedo Turkoglu,LAC,5,63.4,27,10,19,0.526,7,12,0.583,0,2,0.0,0,7,7,2,5,0,4,9,NBA 2014-2015 Preseason Players Statistic
