DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
19/4, Miami ,Smith,Smith,Bibby,A,Atlanta Hawks 2008-09 Postseason NBA Schedule,W,,,90,64
22/4, Miami ,Bibby,Horford,Horford,A,Atlanta Hawks 2008-09 Postseason NBA Schedule,L,,,108,93
25/4,Miami ,Smith,Smith,Bibby,H,Atlanta Hawks 2008-09 Postseason NBA Schedule,L,,,107,78
27/4,Miami ,Bibby,Pachulia,Johnson,H,Atlanta Hawks 2008-09 Postseason NBA Schedule,W,,,81,71
29/4, Miami ,Johnson,Smith,Johnson,A,Atlanta Hawks 2008-09 Postseason NBA Schedule,W,,,106,91
1/5,Miami ,Bibby,Smith,Bibby,H,Atlanta Hawks 2008-09 Postseason NBA Schedule,L,,,98,72
3/5, Miami ,Johnson,Smith,Bibby,A,Atlanta Hawks 2008-09 Postseason NBA Schedule,W,,,91,78
5/5,Cleveland ,Smith,Horford,Bibby,H,Atlanta Hawks 2008-09 Postseason NBA Schedule,L,,,99,72
7/5,Cleveland ,Evans,Pachulia,Evans,H,Atlanta Hawks 2008-09 Postseason NBA Schedule,L,,,105,85
9/5, Cleveland ,Johnson,Johnson,Bibby,A,Atlanta Hawks 2008-09 Postseason NBA Schedule,L,,,97,82
11/5, Cleveland ,Smith,Smith,Johnson,A,Atlanta Hawks 2008-09 Postseason NBA Schedule,L,,,84,74
