DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
18/10,Dallas ,Schroder,Prince,Schroder,H,Atlanta Hawks 2017-18 Regular Season NBA Schedule,W,1,0,117,111
20/10,Charlotte ,Schroder,Dedmon,Schroder,H,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,1,1,109,91
22/10,Brooklyn ,Belinelli,Collins,Schroder,H,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,1,2,116,104
23/10,Miami ,Prince,Collins,Bazemore,H,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,1,3,104,93
26/10,Chicago ,Belinelli,Muscala,Muscala,H,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,1,4,91,86
27/10, Denver ,Schroder,Dedmon,Schroder,A,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,1,5,105,100
29/10, Milwaukee ,Schroder,Collins,Schroder,A,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,1,6,117,106
1/11,Philadelphia ,Schroder,Prince,Schroder,H,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,1,7,119,109
3/11, Houston ,Bazemore,Collins,Taylor,A,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,1,8,119,104
5/11,Cleveland ,Schroder,Collins,Schroder,H,Atlanta Hawks 2017-18 Regular Season NBA Schedule,W,2,8,117,115
6/11, Boston ,Schroder,Dedmon,Schroder,A,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,2,9,110,107
10/11,Detroit ,Bazemore,Dedmon,Schroder,H,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,2,10,111,104
11/11,Washington ,Prince,Dedmon,Schroder,H,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,2,11,113,94
13/11,New Orleans ,Bazemore,Cavanaugh,Bazemore,H,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,2,12,106,105
15/11, Sacramento ,Schroder,Dedmon,Schroder,A,Atlanta Hawks 2017-18 Regular Season NBA Schedule,W,3,12,126,80
18/11, Boston ,Schroder,Dedmon,Schroder,A,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,3,13,110,99
20/11,San Antonio ,Collins,Collins,Schroder,H,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,3,14,96,85
22/11, LA ,Belinelli,Collins,Schroder,A,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,3,15,116,103
24/11, New York ,Schroder,Prince,Schroder,A,Atlanta Hawks 2017-18 Regular Season NBA Schedule,W,4,15,116,104
25/11, Toronto ,Schroder,Schroder,Magette,A,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,4,16,112,78
30/11, Cleveland ,Schroder,Collins,Bazemore,A,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,4,17,121,114
2/12,Brooklyn ,Schroder,Ilyasova,Schroder,H,Atlanta Hawks 2017-18 Regular Season NBA Schedule,W,5,17,114,102
4/12, Brooklyn ,Schroder,Plumlee,Schroder,A,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,5,18,110,90
6/12,Orlando ,Schroder,Belinelli,Schroder,H,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,5,19,110,106
9/12, Orlando ,Ilyasova,Cavanaugh,Bazemore,A,Atlanta Hawks 2017-18 Regular Season NBA Schedule,W,6,19,117,110
10/12,New York ,Schroder,Prince,Prince,H,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,6,20,111,107
12/12,Cleveland ,Prince,Cavanaugh,Prince,H,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,6,21,123,114
14/12, Detroit ,Ilyasova,Collins,Schroder,A,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,6,22,105,91
15/12,Memphis ,Bazemore,Collins,Schroder,H,Atlanta Hawks 2017-18 Regular Season NBA Schedule,L,6,23,96,94
