DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
29/4,Atlanta ,Garnett,Garnett,Rondo,H,Boston Celtics 2011-12 Postseason NBA Schedule,L,,,83,74
1/5,Atlanta ,Pierce,Pierce,Garnett,H,Boston Celtics 2011-12 Postseason NBA Schedule,W,,,87,80
4/5, Atlanta ,Pierce,Rondo,Rondo,A,Boston Celtics 2011-12 Postseason NBA Schedule,W,,,90,84
6/5, Atlanta ,Pierce,Garnett,Rondo,A,Boston Celtics 2011-12 Postseason NBA Schedule,W,,,101,79
8/5,Atlanta ,Garnett,Garnett,Rondo,H,Boston Celtics 2011-12 Postseason NBA Schedule,L,,,87,86
10/5, Atlanta ,Garnett,Garnett,Rondo,A,Boston Celtics 2011-12 Postseason NBA Schedule,W,,,83,80
12/5, Philadelphia ,Garnett,Rondo,Rondo,A,Boston Celtics 2011-12 Postseason NBA Schedule,W,,,92,91
14/5, Philadelphia ,Allen,Garnett,Rondo,A,Boston Celtics 2011-12 Postseason NBA Schedule,L,,,82,81
16/5,Philadelphia ,Garnett,Garnett,Rondo,H,Boston Celtics 2011-12 Postseason NBA Schedule,W,,,107,91
18/5,Philadelphia ,Pierce,Garnett,Rondo,H,Boston Celtics 2011-12 Postseason NBA Schedule,L,,,92,83
21/5, Philadelphia ,Bass,Bass,Rondo,A,Boston Celtics 2011-12 Postseason NBA Schedule,W,,,101,85
23/5,Philadelphia ,Pierce,Garnett,Rondo,H,Boston Celtics 2011-12 Postseason NBA Schedule,L,,,82,75
26/5, Philadelphia ,Garnett,Garnett,Rondo,A,Boston Celtics 2011-12 Postseason NBA Schedule,W,,,85,75
28/5,Miami ,Garnett,Garnett,Rondo,H,Boston Celtics 2011-12 Postseason NBA Schedule,L,,,93,79
30/5,Miami ,Rondo,Bass,Rondo,H,Boston Celtics 2011-12 Postseason NBA Schedule,L,,,115,111
1/6, Miami ,Garnett,Garnett,Rondo,A,Boston Celtics 2011-12 Postseason NBA Schedule,W,,,101,91
3/6, Miami ,Pierce,Garnett,Rondo,A,Boston Celtics 2011-12 Postseason NBA Schedule,W,,,93,91
5/6,Miami ,Garnett,Garnett,Rondo,H,Boston Celtics 2011-12 Postseason NBA Schedule,W,,,94,90
7/6, Miami ,Rondo,Bass,Rondo,A,Boston Celtics 2011-12 Postseason NBA Schedule,L,,,98,79
9/6,Miami ,Rondo,Rondo,Rondo,H,Boston Celtics 2011-12 Postseason NBA Schedule,L,,,101,88
