DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
23/12, Milwaukee ,Brown,Thompson,Smart,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,1,0,122,121
25/12, Brooklyn ,Brown,Brown,Smart,A,Boston Celtics 2020-21 Regular Season NBA Schedule,L,1,1,123,95
27/12,Indiana ,Tatum,Tatum,Smart,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,1,2,108,107
29/12,Indiana ,Tatum,Tatum,Smart,H,Boston Celtics 2020-21 Regular Season NBA Schedule,W,2,2,116,111
30/12, Memphis ,Brown,Williams,Brown,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,3,2,126,107
1/1,Detroit ,Tatum,Brown,Smart,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,3,3,96,93
3/1,Detroit ,Brown,Thompson,Tatum,H,Boston Celtics 2020-21 Regular Season NBA Schedule,W,4,3,122,120
4/1,Toronto ,Tatum,Williams,Pritchard,H,Boston Celtics 2020-21 Regular Season NBA Schedule,W,5,3,126,114
6/1,Miami ,Tatum,Brown,Smart,H,Boston Celtics 2020-21 Regular Season NBA Schedule,W,6,3,107,105
8/1, Washington ,Tatum,Brown,Brown,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,7,3,116,107
15/1, Orlando ,Brown,Thompson,Brown,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,8,3,124,97
17/1, New York ,Brown,Theis,Walker,A,Boston Celtics 2020-21 Regular Season NBA Schedule,L,8,4,105,75
20/1,Philadelphia ,Brown,Theis,Walker,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,8,5,117,109
22/1,Philadelphia ,Brown,Brown,Smart,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,8,6,122,110
24/1, Cleveland ,Brown,Thompson,Smart,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,9,6,141,103
25/1,Chicago ,Brown,Thompson,Smart,H,Boston Celtics 2020-21 Regular Season NBA Schedule,W,10,6,119,103
27/1,San Antonio ,Tatum,Thompson,Brown,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,10,7,110,106
30/1, Los Angeles ,Tatum,Tatum,Smart,A,Boston Celtics 2020-21 Regular Season NBA Schedule,L,10,8,96,95
2/2,Golden State ,Tatum,Theis,Walker,H,Boston Celtics 2020-21 Regular Season NBA Schedule,W,11,8,111,107
3/2,Sacramento ,Tatum,Thompson,Tatum,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,11,9,116,111
5/2,LA ,Tatum,Tatum,Walker,H,Boston Celtics 2020-21 Regular Season NBA Schedule,W,12,9,119,115
7/2,Phoenix ,Tatum,Thompson,Tatum,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,12,10,100,91
9/2,Utah ,Brown,Brown,Walker,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,12,11,122,108
11/2, Toronto ,Ojeleye,Thompson,Brown,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,13,11,120,106
12/2, Detroit ,Tatum,Tatum,Tatum,A,Boston Celtics 2020-21 Regular Season NBA Schedule,L,13,12,108,102
14/2,Washington ,Walker,Tatum,Tatum,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,13,13,104,91
16/2, Denver ,Brown,Thompson,Tatum,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,14,13,112,99
17/2, Atlanta ,Tatum,Thompson,Brown,A,Boston Celtics 2020-21 Regular Season NBA Schedule,L,14,14,122,114
19/2, Atlanta ,Walker,Tatum,Walker,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,15,14,121,109
21/2,New Orleans ,Tatum,Williams,Brown,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,15,15,120,115
23/2,Dallas ,Brown,Thompson,Brown,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,15,16,110,107
24/2,Atlanta ,Brown,Thompson,Brown,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,15,17,127,112
26/2, Indiana ,Walker,Williams,Walker,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,16,17,118,112
28/2, Washington ,Tatum,Thompson,Walker,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,17,17,111,110
2/3, LA ,Walker,Thompson,Walker,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,18,17,117,112
4/3, Toronto ,Tatum,Tatum,Walker,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,19,17,132,125
11/3,Brooklyn ,Tatum,Theis,Brown,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,19,18,121,109
14/3,Houston ,Brown,Williams,Tatum,H,Boston Celtics 2020-21 Regular Season NBA Schedule,W,20,18,134,107
16/3, Utah ,Tatum,Theis,Brown,A,Boston Celtics 2020-21 Regular Season NBA Schedule,L,20,19,117,109
17/3,Cleveland ,Tatum,Williams,Theis,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,20,20,117,110
19/3, Sacramento ,Brown,Brown,Walker,A,Boston Celtics 2020-21 Regular Season NBA Schedule,L,20,21,107,96
21/3, Orlando ,Brown,Theis,Smart,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,21,21,112,96
22/3,Memphis ,Brown,Brown,Teague,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,21,22,132,126
24/3,Milwaukee ,Brown,Brown,Walker,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,21,23,121,119
26/3,Milwaukee ,Tatum,Williams,Tatum,H,Boston Celtics 2020-21 Regular Season NBA Schedule,W,22,23,122,114
27/3,Oklahoma City ,Tatum,Williams,Smart,H,Boston Celtics 2020-21 Regular Season NBA Schedule,W,23,23,111,94
29/3, New Orleans ,Tatum,Williams,Tatum,A,Boston Celtics 2020-21 Regular Season NBA Schedule,L,23,24,115,109
31/3, Dallas ,Tatum,Tatum,Smart,A,Boston Celtics 2020-21 Regular Season NBA Schedule,L,23,25,113,108
2/4, Houston ,Tatum,Brown,Smart,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,24,25,118,102
4/4, Charlotte ,Tatum,Tatum,Fournier,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,25,25,116,86
6/4, Philadelphia ,Tatum,Williams,Walker,A,Boston Celtics 2020-21 Regular Season NBA Schedule,L,25,26,106,96
7/4, New York ,Brown,Brown,Smart,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,26,26,101,99
9/4, Minnesota ,Tatum,Tatum,Walker,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,27,26,145,136
11/4,Denver ,Tatum,Tatum,Walker,H,Boston Celtics 2020-21 Regular Season NBA Schedule,W,28,26,105,87
13/4,Portland ,Tatum,Tatum,Walker,H,Boston Celtics 2020-21 Regular Season NBA Schedule,W,29,26,116,115
15/4,Los Angeles ,Brown,Brown,Walker,H,Boston Celtics 2020-21 Regular Season NBA Schedule,W,30,26,121,113
17/4, Golden State ,Tatum,Tatum,Smart,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,31,26,119,114
19/4, Chicago ,Brown,Tatum,Tatum,A,Boston Celtics 2020-21 Regular Season NBA Schedule,L,31,27,102,96
22/4, Phoenix ,Walker,Thompson,Tatum,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,32,27,99,86
23/4,Brooklyn ,Tatum,Tatum,Fournier,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,32,28,109,104
25/4,Charlotte ,Brown,Tatum,Walker,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,32,29,125,104
27/4, Oklahoma City ,Brown,Brown,Smart,A,Boston Celtics 2020-21 Regular Season NBA Schedule,L,32,30,119,115
28/4, Charlotte ,Brown,Thompson,Tatum,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,33,30,120,111
30/4, San Antonio ,Tatum,Thompson,Smart,A,Boston Celtics 2020-21 Regular Season NBA Schedule,W,34,30,143,140
2/5, Portland ,Tatum,Brown,Smart,A,Boston Celtics 2020-21 Regular Season NBA Schedule,L,34,31,129,119
5/5,Orlando ,Walker,Tatum,Smart,H,Boston Celtics 2020-21 Regular Season NBA Schedule,W,35,31,132,96
7/5,Chicago ,Walker,Thompson,Smart,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,35,32,121,99
9/5, Miami ,Fournier,Thompson,Fournier,A,Boston Celtics 2020-21 Regular Season NBA Schedule,L,35,33,130,124
11/5, Miami ,Walker,Tatum,Fournier,A,Boston Celtics 2020-21 Regular Season NBA Schedule,L,35,34,129,121
12/5,Cleveland ,Tatum,Tatum,Pritchard,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,35,35,102,94
15/5,Minnesota ,Tatum,Tatum,Waters,H,Boston Celtics 2020-21 Regular Season NBA Schedule,W,36,35,124,108
16/5,New York ,Parker,Fall,Pritchard,H,Boston Celtics 2020-21 Regular Season NBA Schedule,L,36,36,96,92
