DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
19/4,Toronto ,Johnson,Johnson,Johnson,H,Brooklyn Nets 2013-14 Postseason NBA Schedule,W,,,94,87
22/4,Toronto ,Johnson,Pierce,Williams,H,Brooklyn Nets 2013-14 Postseason NBA Schedule,L,,,100,95
25/4, Toronto ,Johnson,Livingston,Williams,A,Brooklyn Nets 2013-14 Postseason NBA Schedule,W,,,102,98
27/4, Toronto ,Pierce,Blatche,Williams,A,Brooklyn Nets 2013-14 Postseason NBA Schedule,L,,,87,79
30/4,Toronto ,Johnson,Teletovic,Williams,H,Brooklyn Nets 2013-14 Postseason NBA Schedule,L,,,115,113
2/5, Toronto ,Williams,Anderson,Williams,A,Brooklyn Nets 2013-14 Postseason NBA Schedule,W,,,97,83
4/5,Toronto ,Johnson,Garnett,Johnson,H,Brooklyn Nets 2013-14 Postseason NBA Schedule,W,,,104,103
6/5,Miami ,Johnson,Pierce,Williams,H,Brooklyn Nets 2013-14 Postseason NBA Schedule,L,,,107,86
8/5,Miami ,Teletovic,Garnett,Williams,H,Brooklyn Nets 2013-14 Postseason NBA Schedule,L,,,94,82
10/5, Miami ,Johnson,Blatche,Williams,A,Brooklyn Nets 2013-14 Postseason NBA Schedule,W,,,104,90
12/5, Miami ,Johnson,Blatche,Williams,A,Brooklyn Nets 2013-14 Postseason NBA Schedule,L,,,102,96
14/5,Miami ,Johnson,Garnett,Williams,H,Brooklyn Nets 2013-14 Postseason NBA Schedule,L,,,96,94
