DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
25/10, Cleveland ,Thomas,Simmons,Simmons,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,0,1,114,113
27/10,Dallas ,Thomas,O'Neale,Dinwiddie,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,0,2,125,120
30/10,Charlotte ,Thomas,Simmons,Simmons,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,W,1,2,133,121
1/11,Miami ,Bridges,Simmons,Bridges,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,W,2,2,109,105
3/11,Chicago ,Finney-Smith,Sharpe,Dinwiddie,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,W,3,2,109,107
4/11, Boston ,Thomas,Finney-Smith,Dinwiddie,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,3,3,124,114
6/11, Milwaukee ,Thomas,Simmons,Bridges,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,3,4,129,125
8/11, LA ,Walker,O'Neale,Bridges,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,W,4,4,100,93
10/11,Boston ,Walker,Walker,Smith,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,4,5,121,107
12/11, Washington ,Bridges,Bridges,Smith,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,W,5,5,102,94
14/11, Orlando ,Dinwiddie,Sharpe,Dinwiddie,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,W,6,5,124,104
16/11,Miami ,Bridges,Bridges,Dinwiddie,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,6,6,122,115
19/11, Philadelphia ,Walker,Claxton,Dinwiddie,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,6,7,121,99
22/11,Atlanta ,Bridges,Claxton,Dinwiddie,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,6,8,147,145
25/11, Miami ,Bridges,Johnson,Dinwiddie,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,W,7,8,112,97
26/11, Chicago ,Dinwiddie,O'Neale,Dinwiddie,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,W,8,8,118,109
28/11, Toronto ,Dinwiddie,Bridges,Dinwiddie,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,W,9,8,115,103
30/11, Charlotte ,Thomas,Claxton,Dinwiddie,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,9,9,129,128
2/12, Orlando ,Bridges,Smith,O'Neale,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,W,10,9,129,101
6/12,Atlanta ,Bridges,Sharpe,Bridges,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,W,11,9,114,113
8/12, Washington ,Bridges,Claxton,Dinwiddie,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,W,12,9,124,97
11/12,Sacramento ,Bridges,Claxton,Dinwiddie,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,12,10,131,118
13/12,Phoenix ,Thomas,Dinwiddie,Dinwiddie,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,W,13,10,116,112
14/12,Denver ,Dinwiddie,Sharpe,Dinwiddie,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,13,11,124,101
16/12,Golden State ,Thomas,Claxton,Dinwiddie,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,13,12,124,120
18/12,Utah ,Thomas,Dinwiddie,Dinwiddie,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,13,13,125,108
20/12, New York ,Johnson,Sharpe,O'Neale,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,13,14,121,102
22/12, Denver ,Thomas,Claxton,Bridges,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,13,15,122,117
23/12, Detroit ,Bridges,Claxton,Bridges,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,W,14,15,126,115
26/12,Detroit ,Johnson,Sharpe,Dinwiddie,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,W,15,15,118,112
27/12, Milwaukee ,Wilson,Wilson,Smith,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,15,16,144,122
29/12,Washington ,Bridges,Claxton,Dinwiddie,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,15,17,110,104
31/12,Oklahoma City ,Bridges,Claxton,Bridges,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,15,18,124,108
2/1,New Orleans ,Johnson,Sharpe,O'Neale,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,15,19,112,85
3/1,Houston ,Johnson,Claxton,Johnson,H,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,15,20,112,101
5/1, Oklahoma City ,Claxton,Claxton,Smith,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,W,16,20,124,115
7/1, Portland ,Bridges,Claxton,Smith,A,Brooklyn Nets 2023-24 Regular Season NBA Schedule,L,16,21,134,127
