DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
25/10, Atlanta ,Washington,Williams,Ball,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,W,1,0,116,110
27/10, Detroit ,Ball,Ball,Ball,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,1,1,111,99
30/10, Brooklyn ,Rozier,Washington,Rozier,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,1,2,133,121
1/11,Houston ,Washington,Richards,Rozier,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,1,3,128,119
4/11,Indiana ,Williams,Richards,Ball,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,W,2,3,125,124
5/11,Dallas ,Ball,Ball,Ball,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,2,4,124,118
8/11, Washington ,Ball,Hayward,Ball,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,2,5,132,116
10/11,Washington ,Hayward,Williams,Hayward,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,W,3,5,124,117
12/11,New York ,Ball,Ball,Ball,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,3,6,129,107
14/11, Miami ,Washington,Richards,Ball,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,3,7,111,105
17/11, Milwaukee ,Ball,Williams,Ball,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,3,8,130,99
18/11, New York ,Ball,Williams,Ball,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,3,9,122,108
20/11, Boston ,Ball,Williams,Ball,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,W,4,9,121,118
22/11, Washington ,Ball,Williams,Ball,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,W,5,9,117,114
26/11,Orlando ,Bridges,Bridges,Rozier,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,5,10,130,117
28/11,New York ,Miller,Williams,Hayward,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,5,11,115,91
30/11,Brooklyn ,Rozier,Williams,Rozier,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,W,6,11,129,128
2/12, Minnesota ,Rozier,Washington,Rozier,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,6,12,123,117
6/12,Chicago ,Hayward,Richards,Rozier,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,6,13,111,100
8/12, Toronto ,Hayward,Bridges,Rozier,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,W,7,13,119,116
11/12, Miami ,Rozier,Washington,Rozier,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,7,14,116,114
13/12,Miami ,Rozier,Richards,Rozier,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,7,15,115,104
15/12, New Orleans ,Rozier,Bridges,Rozier,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,7,16,112,107
16/12, Philadelphia ,Miller,Bridges,Miller,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,7,17,135,82
18/12,Toronto ,Rozier,Richards,Rozier,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,7,18,114,99
20/12,Indiana ,Rozier,Rozier,Rozier,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,7,19,144,113
23/12, Denver ,Bridges,Richards,Smith,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,7,20,102,95
26/12,LA ,Bridges,Bridges,Rozier,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,7,21,113,104
28/12,Los Angeles ,Bridges,Richards,Rozier,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,7,22,133,112
29/12,Phoenix ,Rozier,Bridges,Rozier,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,7,23,133,119
1/1,Denver ,Bridges,Bridges,Martin,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,7,24,111,93
2/1,Sacramento ,Rozier,Richards,Rozier,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,W,8,24,111,104
5/1,Chicago ,Bridges,Richards,Rozier,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,8,25,104,91
8/1, Chicago ,Rozier,Bridges,Rozier,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,8,26,119,112
10/1, Sacramento ,Bridges,Richards,Bridges,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,8,27,123,98
12/1,San Antonio ,Ball,Bridges,Smith,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,8,28,135,99
14/1,Miami ,Rozier,Ball,Rozier,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,8,29,104,87
17/1,New Orleans ,Ball,Richards,Ball,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,8,30,132,112
19/1, San Antonio ,Ball,Miller,Ball,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,W,9,30,124,120
20/1, Philadelphia ,Bridges,Bridges,Rozier,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,9,31,97,89
22/1,Minnesota ,Bridges,Washington,Ball,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,W,10,31,128,125
24/1,Detroit ,Miller,Richards,Ball,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,10,32,113,106
26/1, Houston ,Bridges,Bridges,Ball,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,10,33,138,104
27/1, Utah ,Washington,Richards,Smith,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,10,34,134,122
29/1, New York ,Miller,Bridges,Martin,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,10,35,113,92
31/1, Chicago ,Bridges,Bridges,Martin,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,10,36,117,110
2/2,Oklahoma City ,Miller,Richards,Miller,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,10,37,126,106
4/2, Indiana ,Miller,Richards,Smith,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,10,38,115,99
5/2, Los Angeles ,Bridges,Richards,Smith,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,10,39,124,118
7/2, Toronto ,Bridges,Bridges,Martin,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,10,40,123,117
9/2,Milwaukee ,Richards,Richards,Martin,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,10,41,120,84
10/2, Memphis ,Bridges,Williams,Micic,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,W,11,41,115,106
12/2, Indiana ,Williams,Bridges,Bridges,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,W,12,41,111,102
14/2, Atlanta ,Miller,Williams,Mann,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,W,13,41,122,99
22/2,Utah ,Bridges,Bridges,Micic,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,W,14,41,115,107
23/2,Golden State ,Bridges,Richards,Miller,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,14,42,97,84
25/2,Portland ,Richards,Richards,Martin,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,W,15,42,93,80
27/2,Milwaukee ,Bridges,Richards,Martin,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,15,43,123,85
29/02, Milwaukee ,Miller,Bridges,Micic,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,15,44,111,99
1/3,Philadelphia ,Bridges,Bridges,Micic,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,15,45,121,114
3/3,Toronto ,Miller,Williams,Micic,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,15,46,111,106
5/3, Orlando ,Micic,Mann,Micic,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,15,47,101,89
8/3,Washington ,Bridges,Richards,Williams,H,Charlotte Hornets 2023-24 Regular Season NBA Schedule,L,15,48,112,100
9/3, Brooklyn ,Bridges,Richards,Micic,A,Charlotte Hornets 2023-24 Regular Season NBA Schedule,W,16,48,110,99
