DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
31/10,New Jersey ,Gordon,Deng,Duhon,H,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,0,1,112,103
2/11, Philadelphia ,Gordon,Thomas,Hinrich,A,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,0,2,96,85
3/11,Milwaukee ,Gordon,Smith,Duhon,H,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,0,3,78,72
6/11, LA ,Deng,Deng,Thomas,A,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,0,4,97,91
8/11, Detroit ,Thomas,Thomas,Hinrich,A,Chicago Bulls 2007-08 Regular Season NBA Schedule,W,1,4,97,93
10/11, Toronto ,Nocioni,Sefolosha,Sefolosha,A,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,1,5,101,71
15/11,Phoenix ,Gordon,Wallace,Hinrich,H,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,1,6,112,102
17/11,LA ,Gordon,Wallace,Gordon,H,Chicago Bulls 2007-08 Regular Season NBA Schedule,W,2,6,92,73
18/11,Los Angeles ,Gordon,Wallace,Hinrich,H,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,2,7,106,78
20/11,Denver ,Noah,Wallace,Duhon,H,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,2,8,112,91
24/11,New York ,Nocioni,Wallace,Hinrich,H,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,2,9,85,78
25/11,Toronto ,Deng,Deng,Hinrich,H,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,2,10,93,78
27/11, Atlanta ,Deng,Thomas,Duhon,A,Chicago Bulls 2007-08 Regular Season NBA Schedule,W,3,10,90,78
1/12, Charlotte ,Gordon,Wallace,Hinrich,A,Chicago Bulls 2007-08 Regular Season NBA Schedule,W,4,10,111,95
3/12, Dallas ,Nocioni,Duhon,Hinrich,A,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,4,11,103,98
5/12,Charlotte ,Deng,Nocioni,Duhon,H,Chicago Bulls 2007-08 Regular Season NBA Schedule,W,5,11,91,82
7/12,Detroit ,Nocioni,Smith,Hinrich,H,Chicago Bulls 2007-08 Regular Season NBA Schedule,W,6,11,98,91
8/12, Boston ,Nocioni,Wallace,Hinrich,A,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,6,12,92,81
11/12, Seattle ,Gordon,Thomas,Hinrich,A,Chicago Bulls 2007-08 Regular Season NBA Schedule,W,7,12,123,96
12/12,Indiana ,Gordon,Deng,Hinrich,H,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,7,13,117,102
14/12, New York ,Deng,Hinrich,Hinrich,A,Chicago Bulls 2007-08 Regular Season NBA Schedule,W,8,13,101,96
18/12, Los Angeles ,Deng,Deng,Hinrich,A,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,8,14,103,91
19/12,Washington ,Gordon,Gray,Gordon,H,Chicago Bulls 2007-08 Regular Season NBA Schedule,W,9,14,95,84
21/12,Boston ,Gordon,Thomas,Duhon,H,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,9,15,107,82
22/12, Houston ,Hinrich,Deng,Deng,A,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,9,16,116,98
26/12,San Antonio ,Smith,Smith,Hinrich,H,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,9,17,94,79
28/12, Milwaukee ,Gordon,Deng,Hinrich,A,Chicago Bulls 2007-08 Regular Season NBA Schedule,W,10,17,103,99
30/12,New York ,Gordon,Wallace,Hinrich,H,Chicago Bulls 2007-08 Regular Season NBA Schedule,W,11,17,100,83
31/12, Orlando ,Gordon,Wallace,Hinrich,A,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,11,18,112,110
2/1,Charlotte ,Gordon,Deng,Deng,H,Chicago Bulls 2007-08 Regular Season NBA Schedule,W,12,18,109,97
3/1, Portland ,Gordon,Wallace,Hinrich,A,Chicago Bulls 2007-08 Regular Season NBA Schedule,L,12,19,115,109
5/1, Sacramento ,Nocioni,Wallace,Duhon,A,Chicago Bulls 2007-08 Regular Season NBA Schedule,W,13,19,94,93
