DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
18/4, Milwaukee ,Butler,Gasol,Rose,A,Chicago Bulls 2014-15 Postseason NBA Schedule,W,,,103,91
20/4, Milwaukee ,Butler,Noah,Rose,A,Chicago Bulls 2014-15 Postseason NBA Schedule,W,,,91,82
23/4,Milwaukee ,Rose,Gasol,Rose,H,Chicago Bulls 2014-15 Postseason NBA Schedule,W,,,113,106
25/4,Milwaukee ,Butler,Gasol,Rose,H,Chicago Bulls 2014-15 Postseason NBA Schedule,L,,,92,90
27/4, Milwaukee ,Gasol,Noah,Butler,A,Chicago Bulls 2014-15 Postseason NBA Schedule,L,,,94,88
30/4,Milwaukee ,Dunleavy,Noah,Rose,H,Chicago Bulls 2014-15 Postseason NBA Schedule,W,,,120,66
4/5,Cleveland ,Rose,Gasol,Butler,H,Chicago Bulls 2014-15 Postseason NBA Schedule,W,,,99,92
6/5,Cleveland ,Butler,Rose,Rose,H,Chicago Bulls 2014-15 Postseason NBA Schedule,L,,,106,91
8/5, Cleveland ,Rose,Noah,Rose,A,Chicago Bulls 2014-15 Postseason NBA Schedule,W,,,99,96
10/5, Cleveland ,Rose,Noah,Rose,A,Chicago Bulls 2014-15 Postseason NBA Schedule,L,,,86,84
12/5,Cleveland ,Butler,Butler,Rose,H,Chicago Bulls 2014-15 Postseason NBA Schedule,L,,,106,101
14/5, Cleveland ,Butler,Noah,Rose,A,Chicago Bulls 2014-15 Postseason NBA Schedule,L,,,94,73
