DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
18/4, Detroit ,James,Ilgauskas,James,A,Cleveland Cavaliers 2008-09 Postseason NBA Schedule,W,,,102,84
21/4, Detroit ,James,James,Williams,A,Cleveland Cavaliers 2008-09 Postseason NBA Schedule,W,,,94,82
24/4,Detroit ,James,James,James,H,Cleveland Cavaliers 2008-09 Postseason NBA Schedule,W,,,79,68
26/4,Detroit ,James,James,James,H,Cleveland Cavaliers 2008-09 Postseason NBA Schedule,W,,,99,78
5/5, Atlanta ,James,James,West,A,Cleveland Cavaliers 2008-09 Postseason NBA Schedule,W,,,99,72
7/5, Atlanta ,James,Varejao,James,A,Cleveland Cavaliers 2008-09 Postseason NBA Schedule,W,,,105,85
9/5,Atlanta ,James,James,James,H,Cleveland Cavaliers 2008-09 Postseason NBA Schedule,W,,,97,82
11/5,Atlanta ,James,Varejao,James,H,Cleveland Cavaliers 2008-09 Postseason NBA Schedule,W,,,84,74
20/5, Orlando ,James,Ilgauskas,James,A,Cleveland Cavaliers 2008-09 Postseason NBA Schedule,L,,,107,106
22/5, Orlando ,James,Ilgauskas,James,A,Cleveland Cavaliers 2008-09 Postseason NBA Schedule,W,,,96,95
24/5,Orlando ,James,Ilgauskas,James,H,Cleveland Cavaliers 2008-09 Postseason NBA Schedule,L,,,99,89
26/5,Orlando ,James,James,James,H,Cleveland Cavaliers 2008-09 Postseason NBA Schedule,L,,,116,114
28/5, Orlando ,James,James,James,A,Cleveland Cavaliers 2008-09 Postseason NBA Schedule,W,,,112,102
30/5,Orlando ,James,Varejao,James,H,Cleveland Cavaliers 2008-09 Postseason NBA Schedule,L,,,103,90
