DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
30/10, Washington ,Irving,Varejao,Varejao,A,Cleveland Cavaliers 2012-13 Regular Season NBA Schedule,W,1,0,94,84
2/11, Chicago ,Irving,Varejao,Sloan,A,Cleveland Cavaliers 2012-13 Regular Season NBA Schedule,L,1,1,115,86
3/11,Milwaukee ,Irving,Varejao,Irving,H,Cleveland Cavaliers 2012-13 Regular Season NBA Schedule,L,1,2,105,102
5/11,LA ,Waiters,Varejao,Irving,H,Cleveland Cavaliers 2012-13 Regular Season NBA Schedule,W,2,2,108,101
7/11,Golden State ,Irving,Thompson,Irving,H,Cleveland Cavaliers 2012-13 Regular Season NBA Schedule,L,2,3,106,96
9/11,Phoenix ,Waiters,Varejao,Irving,H,Cleveland Cavaliers 2012-13 Regular Season NBA Schedule,L,2,4,107,105
11/11,Oklahoma City ,Irving,Thompson,Varejao,H,Cleveland Cavaliers 2012-13 Regular Season NBA Schedule,L,2,5,106,91
13/11,Brooklyn ,Varejao,Varejao,Irving,H,Cleveland Cavaliers 2012-13 Regular Season NBA Schedule,L,2,6,114,101
17/11, Dallas ,Irving,Thompson,Gibson,A,Cleveland Cavaliers 2012-13 Regular Season NBA Schedule,L,2,7,103,95
18/11,Philadelphia ,Gee,Varejao,Irving,H,Cleveland Cavaliers 2012-13 Regular Season NBA Schedule,L,2,8,86,79
21/11, Philadelphia ,Pargo,Varejao,Waiters,A,Cleveland Cavaliers 2012-13 Regular Season NBA Schedule,W,3,8,92,83
23/11,Orlando ,Waiters,Varejao,Gibson,H,Cleveland Cavaliers 2012-13 Regular Season NBA Schedule,L,3,9,108,104
24/11,Miami ,Pargo,Varejao,Pargo,H,Cleveland Cavaliers 2012-13 Regular Season NBA Schedule,L,3,10,110,108
26/11,Memphis ,Varejao,Varejao,Varejao,H,Cleveland Cavaliers 2012-13 Regular Season NBA Schedule,L,3,11,84,78
