DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
19/4, Portland ,Nowitzki,Nowitzki,Nash,A,Dallas Mavericks 2002-03 Postseason NBA Schedule,W,,,96,86
23/4, Portland ,Nash,Nowitzki,Nash,A,Dallas Mavericks 2002-03 Postseason NBA Schedule,W,,,103,99
25/4,Portland ,Nowitzki,Nowitzki,Nash,H,Dallas Mavericks 2002-03 Postseason NBA Schedule,W,,,115,103
27/4,Portland ,Nowitzki,Nowitzki,Van,H,Dallas Mavericks 2002-03 Postseason NBA Schedule,L,,,98,79
30/4, Portland ,Nowitzki,Nowitzki,Nash,A,Dallas Mavericks 2002-03 Postseason NBA Schedule,L,,,103,99
2/5,Portland ,Nash,Griffin,Nash,H,Dallas Mavericks 2002-03 Postseason NBA Schedule,L,,,125,103
4/5, Portland ,Nowitzki,Nowitzki,Nash,A,Dallas Mavericks 2002-03 Postseason NBA Schedule,W,,,107,95
6/5, Sacramento ,Finley,Nowitzki,Nash,A,Dallas Mavericks 2002-03 Postseason NBA Schedule,L,,,124,113
8/5, Sacramento ,Van,Nowitzki,Nash,A,Dallas Mavericks 2002-03 Postseason NBA Schedule,W,,,132,110
10/5,Sacramento ,Van,Nowitzki,Nash,H,Dallas Mavericks 2002-03 Postseason NBA Schedule,W,,,141,137
11/5,Sacramento ,Finley,Nowitzki,Nash,H,Dallas Mavericks 2002-03 Postseason NBA Schedule,L,,,99,83
13/5, Sacramento ,Nash,Nowitzki,Nowitzki,A,Dallas Mavericks 2002-03 Postseason NBA Schedule,W,,,112,93
15/5,Sacramento ,Van,Nowitzki,Finley,H,Dallas Mavericks 2002-03 Postseason NBA Schedule,L,,,115,109
17/5, Sacramento ,Nowitzki,Nowitzki,Nash,A,Dallas Mavericks 2002-03 Postseason NBA Schedule,W,,,112,99
19/5,San Antonio ,Nowitzki,Nowitzki,Nash,H,Dallas Mavericks 2002-03 Postseason NBA Schedule,W,,,113,110
21/5,San Antonio ,Finley,Finley,Nash,H,Dallas Mavericks 2002-03 Postseason NBA Schedule,L,,,119,106
23/5, San Antonio ,Van,Nowitzki,Nash,A,Dallas Mavericks 2002-03 Postseason NBA Schedule,L,,,96,83
25/5, San Antonio ,Finley,Van,Van,A,Dallas Mavericks 2002-03 Postseason NBA Schedule,L,,,102,95
27/5,San Antonio ,Finley,Finley,Nash,H,Dallas Mavericks 2002-03 Postseason NBA Schedule,W,,,103,91
29/5, San Antonio ,Van,LaFrentz,Nash,A,Dallas Mavericks 2002-03 Postseason NBA Schedule,L,,,90,78
