DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
28/10,Phoenix ,Felton,Pachulia,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,1,0,111,95
29/10,LA ,Jenkins,Powell,Barea,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,1,1,104,88
1/11,Los Angeles ,Nowitzki,Pachulia,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,2,1,103,93
3/11, Toronto ,Nowitzki,Powell,Barea,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,2,2,102,91
5/11, Charlotte ,Williams,Pachulia,Barea,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,2,3,108,94
7/11, New Orleans ,Williams,Pachulia,Harris,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,3,3,107,98
10/11,New Orleans ,Nowitzki,Villanueva,Barea,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,3,4,120,105
11/11, LA ,Nowitzki,Nowitzki,Barea,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,4,4,118,108
13/11, Los Angeles ,Pachulia,Pachulia,Williams,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,5,4,90,82
14/11,Houston ,Felton,Powell,Barea,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,6,4,110,98
16/11,Philadelphia ,Nowitzki,Powell,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,7,4,92,86
18/11,Boston ,Nowitzki,Pachulia,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,8,4,106,102
20/11, Utah ,Williams,Pachulia,Williams,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,9,4,102,93
22/11,Oklahoma City ,Williams,Pachulia,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,9,5,117,114
24/11,Memphis ,Felton,Nowitzki,Barea,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,9,6,110,96
25/11,San Antonio ,Matthews,Nowitzki,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,9,7,88,83
28/11, Denver ,Williams,Pachulia,Williams,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,10,7,92,81
30/11,Sacramento ,Parsons,Pachulia,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,10,8,112,98
1/12,Portland ,Williams,Pachulia,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,11,8,115,112
4/12, Houston ,Williams,Pachulia,Williams,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,11,9,100,96
6/12,Washington ,Matthews,Felton,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,12,9,116,104
7/12,New York ,Nowitzki,Pachulia,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,13,9,104,97
9/12, Atlanta ,Williams,Pachulia,Williams,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,13,10,98,95
12/12, Washington ,Matthews,Pachulia,Felton,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,13,11,114,111
14/12, Phoenix ,Williams,Pachulia,Felton,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,14,11,104,94
16/12,Indiana ,Felton,Pachulia,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,14,12,107,81
18/12, Memphis ,Nowitzki,Pachulia,Parsons,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,15,12,97,88
22/12,Toronto ,Nowitzki,Nowitzki,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,15,13,103,99
23/12,Brooklyn ,Barea,Parsons,Barea,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,16,13,119,118
26/12, Chicago ,Barea,Pachulia,Barea,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,17,13,118,111
28/12, Milwaukee ,Matthews,Pachulia,Barea,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,18,13,103,93
30/12, Golden State ,Barea,Pachulia,Barea,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,19,13,114,91
1/1,Miami ,Pachulia,Pachulia,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,19,14,106,82
2/1, New Orleans ,Nowitzki,Pachulia,Barea,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,19,15,105,98
5/1, Sacramento ,Williams,Pachulia,Williams,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,20,15,117,116
6/1,New Orleans ,Felton,Powell,Felton,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,21,15,100,91
8/1,Milwaukee ,Nowitzki,Pachulia,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,21,16,96,95
10/1,Minnesota ,Nowitzki,Pachulia,Barea,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,22,16,93,87
12/1, Cleveland ,Parsons,Pachulia,Williams,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,22,17,110,107
13/1,Oklahoma City ,Barea,Mejri,Barea,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,22,18,108,89
15/1,Chicago ,Nowitzki,Pachulia,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,23,18,83,77
17/1,San Antonio ,Powell,McGee,Barea,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,23,19,112,83
18/1, Boston ,Nowitzki,Pachulia,Williams,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,24,19,118,113
20/1, Minnesota ,Parsons,Parsons,Matthews,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,25,19,106,94
22/1, Oklahoma City ,Parsons,Pachulia,Williams,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,25,20,109,106
24/1,Houston ,Parsons,Mejri,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,25,21,115,104
26/1,Los Angeles ,Barea,Parsons,Matthews,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,26,21,92,90
27/1,Golden State ,Parsons,Parsons,Barea,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,26,22,127,107
29/1, Brooklyn ,Parsons,Pachulia,Williams,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,27,22,91,79
31/1, Phoenix ,Williams,Pachulia,Felton,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,28,22,91,78
1/2,Atlanta ,Parsons,Pachulia,Barea,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,28,23,112,97
3/2, Miami ,Nowitzki,Pachulia,Barea,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,28,24,93,90
5/2, San Antonio ,Villanueva,Nowitzki,Felton,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,28,25,116,90
6/2,Memphis ,Parsons,Parsons,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,29,25,114,110
9/2, Utah ,Parsons,Pachulia,Barea,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,29,26,121,119
19/2,Orlando ,Williams,Pachulia,Williams,H,Dallas Mavericks 2015-16 Regular Season NBA Schedule,L,29,27,110,104
21/2, Philadelphia ,Matthews,Pachulia,Williams,A,Dallas Mavericks 2015-16 Regular Season NBA Schedule,W,30,27,129,103
