DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
1/11,San Antonio ,Anthony,Camby,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,0,1,102,91
2/11, Los Angeles ,Camby,Camby,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,0,2,99,97
4/11, Portland ,Camby,Camby,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,1,2,107,68
6/11,Los Angeles ,Anthony,Camby,Boykins,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,1,3,112,92
9/11, Sacramento ,Camby,Camby,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,2,3,107,91
11/11,Sacramento ,Camby,Camby,Anthony,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,2,4,101,85
13/11, Minnesota ,Anthony,Camby,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,3,4,102,91
15/11,Dallas ,Anthony,Najera,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,3,5,83,80
16/11,"NO/Oklahoma City
 ",Anthony,Camby,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,4,5,91,81
18/11, New York ,Anthony,Camby,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,5,5,95,86
20/11, Memphis ,Camby,Camby,Watson,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,6,5,99,83
22/11,Washington ,Anthony,Camby,Boykins,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,7,5,108,105
23/11,Detroit ,Camby,Camby,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,7,6,114,89
25/11, LA ,Anthony,Anthony,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,8,6,105,95
28/11, New Jersey ,Martin,Miller,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,8,7,101,92
30/11," NO/Oklahoma City
 ",Miller,Camby,Boykins,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,8,8,102,95
2/12,Phoenix ,Camby,Camby,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,8,9,102,97
3/12, Miami ,Anthony,Camby,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,9,9,101,99
6/12, Atlanta ,Anthony,Camby,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,10,9,125,116
9/12,Miami ,Anthony,Camby,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,11,9,100,92
10/12,Orlando ,Anthony,Camby,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,11,10,94,83
13/12,Charlotte ,Anthony,Anthony,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,12,10,101,85
15/12,Cleveland ,Anthony,Najera,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,12,11,94,85
16/12,New Jersey ,Miller,Martin,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,12,12,115,106
18/12,Atlanta ,Anthony,Elson,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,12,13,110,107
21/12, Washington ,Anthony,Camby,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,12,14,116,110
23/12, Houston ,Anthony,Camby,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,13,14,108,86
26/12,Golden State ,Anthony,Camby,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,14,14,118,112
27/12, Philadelphia ,Anthony,Najera,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,14,15,108,106
29/12, Seattle ,Anthony,Elson,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,14,16,112,105
31/12, San Antonio ,Anthony,Martin,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,14,17,98,88
2/1, Boston ,Martin,Najera,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,15,17,120,110
4/1, Indiana ,Anthony,Najera,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,16,17,106,86
6/1, Dallas ,Anthony,Najera,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,16,18,114,112
8/1,Houston ,Watson,Anthony,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,17,18,92,90
10/1, Phoenix ,Anthony,Anthony,Boykins,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,18,18,139,137
13/1,Minnesota ,Anthony,Elson,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,18,19,103,89
14/1,Milwaukee ,Anthony,Najera,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,19,19,100,93
16/1,Chicago ,Anthony,Martin,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,20,19,97,94
18/1, Cleveland ,Boykins,Martin,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,21,19,90,89
20/1, Utah ,Anthony,Kleiza,Watson,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,22,19,113,83
22/1,San Antonio ,Anthony,Anthony,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,23,19,89,85
23/1, Toronto ,Anthony,Martin,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,24,19,107,101
25/1,Portland ,Anthony,Anthony,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,25,19,97,94
27/1, LA ,Anthony,Camby,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,25,20,105,87
28/1,LA ,Anthony,Camby,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,25,21,112,79
31/1,Sacramento ,Anthony,Camby,Boykins,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,25,22,98,91
1/2,Utah ,Anthony,Martin,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,25,23,103,90
4/2, Portland ,Anthony,Camby,Anthony,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,26,23,105,104
6/2,Golden State ,Anthony,Camby,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,26,24,122,114
8/2, Chicago ,Anthony,Camby,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,26,25,110,107
10/2, Dallas ,Martin,Martin,Anthony,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,27,25,113,104
12/2,Seattle ,Anthony,Martin,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,28,25,120,112
15/2, Phoenix ,Anthony,Camby,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,28,26,116,101
21/2, Charlotte ,Anthony,Camby,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,29,26,100,84
24/2,Minnesota ,Anthony,Martin,Miller,H,Denver Nuggets 2005-06 Regular Season NBA Schedule,W,30,26,102,101
27/2, Milwaukee ,Anthony,Camby,Miller,A,Denver Nuggets 2005-06 Regular Season NBA Schedule,L,30,27,110,89
