DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
17/8, Utah ,Murray,Jokic,Murray,A,Denver Nuggets 2019-20 Postseason NBA Schedule,W,,,135,125
19/8, Utah ,Jokic,Jokic,Jokic,A,Denver Nuggets 2019-20 Postseason NBA Schedule,L,,,124,105
21/8,Utah ,Jokic,Dozier,Jokic,H,Denver Nuggets 2019-20 Postseason NBA Schedule,L,,,124,87
23/8,Utah ,Murray,Murray,Murray,H,Denver Nuggets 2019-20 Postseason NBA Schedule,L,,,129,127
25/8, Utah ,Murray,Murray,Murray,A,Denver Nuggets 2019-20 Postseason NBA Schedule,W,,,117,107
30/8,Utah ,Murray,Porter,Jokic,H,Denver Nuggets 2019-20 Postseason NBA Schedule,W,,,119,107
1/9, Utah ,Jokic,Jokic,Morris,A,Denver Nuggets 2019-20 Postseason NBA Schedule,W,,,80,78
3/9,LA ,Jokic,Millsap,Murray,H,Denver Nuggets 2019-20 Postseason NBA Schedule,L,,,120,97
5/9,LA ,Murray,Jokic,Murray,H,Denver Nuggets 2019-20 Postseason NBA Schedule,W,,,110,101
7/9, LA ,Jokic,Jokic,Murray,A,Denver Nuggets 2019-20 Postseason NBA Schedule,L,,,113,107
9/9, LA ,Jokic,Jokic,Murray,A,Denver Nuggets 2019-20 Postseason NBA Schedule,L,,,96,85
11/9,LA ,Murray,Jokic,Murray,H,Denver Nuggets 2019-20 Postseason NBA Schedule,W,,,111,105
13/9, LA ,Jokic,Jokic,Jokic,A,Denver Nuggets 2019-20 Postseason NBA Schedule,W,,,111,98
15/9,LA ,Murray,Jokic,Jokic,H,Denver Nuggets 2019-20 Postseason NBA Schedule,W,,,104,89
18/9,Los Angeles ,Jokic,Porter,Murray,H,Denver Nuggets 2019-20 Postseason NBA Schedule,L,,,126,114
20/9,Los Angeles ,Jokic,Millsap,Jokic,H,Denver Nuggets 2019-20 Postseason NBA Schedule,L,,,105,103
22/9, Los Angeles ,Murray,Jokic,Murray,A,Denver Nuggets 2019-20 Postseason NBA Schedule,W,,,114,106
24/9, Los Angeles ,Murray,Porter,Murray,A,Denver Nuggets 2019-20 Postseason NBA Schedule,L,,,114,108
26/9,Los Angeles ,Grant,Grant,Murray,H,Denver Nuggets 2019-20 Postseason NBA Schedule,L,,,117,107
