DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
20/4, Philadelphia ,Wallace,Maxiell,Billups,A,Detroit Pistons 2007-08 Postseason NBA Schedule,L,,,90,86
23/4, Philadelphia ,Hamilton,McDyess,Hamilton,A,Detroit Pistons 2007-08 Postseason NBA Schedule,W,,,105,88
25/4,Philadelphia ,Hamilton,Hamilton,Stuckey,H,Detroit Pistons 2007-08 Postseason NBA Schedule,L,,,95,75
27/4,Philadelphia ,Prince,Wallace,Billups,H,Detroit Pistons 2007-08 Postseason NBA Schedule,W,,,93,84
29/4, Philadelphia ,Billups,Maxiell,Billups,A,Detroit Pistons 2007-08 Postseason NBA Schedule,W,,,98,81
1/5,Philadelphia ,Hamilton,Prince,Billups,H,Detroit Pistons 2007-08 Postseason NBA Schedule,W,,,100,77
3/5, Orlando ,Billups,Maxiell,Billups,A,Detroit Pistons 2007-08 Postseason NBA Schedule,W,,,91,72
5/5, Orlando ,Billups,Prince,Prince,A,Detroit Pistons 2007-08 Postseason NBA Schedule,W,,,100,93
7/5,Orlando ,Hamilton,Prince,Hamilton,H,Detroit Pistons 2007-08 Postseason NBA Schedule,L,,,111,86
10/5,Orlando ,Hamilton,McDyess,Prince,H,Detroit Pistons 2007-08 Postseason NBA Schedule,W,,,90,89
13/5, Orlando ,Hamilton,McDyess,Stuckey,A,Detroit Pistons 2007-08 Postseason NBA Schedule,W,,,91,86
20/5,Boston ,Prince,McDyess,Wallace,H,Detroit Pistons 2007-08 Postseason NBA Schedule,L,,,88,79
22/5,Boston ,Hamilton,Wallace,Billups,H,Detroit Pistons 2007-08 Postseason NBA Schedule,W,,,103,97
24/5, Boston ,Hamilton,Wallace,Stuckey,A,Detroit Pistons 2007-08 Postseason NBA Schedule,L,,,94,80
26/5, Boston ,McDyess,McDyess,Hamilton,A,Detroit Pistons 2007-08 Postseason NBA Schedule,W,,,94,75
28/5,Boston ,Billups,Billups,Billups,H,Detroit Pistons 2007-08 Postseason NBA Schedule,L,,,106,102
30/5, Boston ,Billups,Wallace,Billups,A,Detroit Pistons 2007-08 Postseason NBA Schedule,L,,,89,81
