DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
17/10, Brooklyn ,Griffin,Drummond,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,1,0,103,100
20/10,Chicago ,Griffin,Drummond,Jackson,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,2,0,118,116
23/10, Philadelphia ,Griffin,Drummond,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,3,0,133,132
25/10, Cleveland ,Drummond,Drummond,Bullock,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,4,0,110,103
27/10, Boston ,Drummond,Drummond,Jackson,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,4,1,109,89
30/10,Boston ,Griffin,Griffin,Johnson,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,4,2,108,105
31/10,Brooklyn ,Griffin,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,4,3,120,119
3/11,Philadelphia ,Griffin,Griffin,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,4,4,109,99
5/11, Miami ,Drummond,Drummond,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,4,5,120,115
7/11,Orlando ,Drummond,Drummond,Jackson,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,5,5,103,96
9/11,Atlanta ,Drummond,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,6,5,124,109
11/11, Charlotte ,Drummond,Drummond,Jackson,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,6,6,113,103
14/11,Toronto ,Griffin,Griffin,Jackson,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,7,6,106,104
19/11, Cleveland ,Drummond,Drummond,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,8,6,113,102
21/11,Houston ,Griffin,Griffin,Bullock,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,8,7,126,124
23/11, Houston ,Griffin,Drummond,Jackson,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,9,7,116,111
25/11, Phoenix ,Drummond,Drummond,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,10,7,118,107
27/11, New York ,Griffin,Drummond,Smith,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,11,7,115,108
30/11, Chicago ,Griffin,Drummond,Bullock,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,12,7,107,88
1/12, Golden State ,Griffin,Drummond,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,13,7,111,102
3/12, Oklahoma City ,Griffin,Drummond,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,13,8,110,83
5/12,Milwaukee ,Griffin,Johnson,Jackson,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,13,9,115,92
7/12, Philadelphia ,Griffin,Griffin,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,13,10,117,111
9/12, New Orleans ,Griffin,Drummond,Calderon,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,13,11,116,108
10/12,Philadelphia ,Kennard,Drummond,Jackson,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,13,12,116,102
12/12,Charlotte ,Griffin,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,13,13,108,107
15/12, Boston ,Griffin,Drummond,Calderon,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,14,13,113,104
17/12, Milwaukee ,Bullock,Drummond,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,14,14,107,104
19/12,Minnesota ,Griffin,Drummond,Calderon,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,15,14,129,123
21/12,Charlotte ,Griffin,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,15,15,98,86
23/12, Atlanta ,Galloway,Drummond,Jackson,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,15,16,98,95
26/12, Washington ,Griffin,Drummond,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,16,16,106,95
28/12,Indiana ,Griffin,Drummond,Calderon,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,16,17,125,88
30/12,Orlando ,Kennard,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,16,18,109,107
1/1,Milwaukee ,Griffin,Griffin,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,16,19,121,98
2/1,Memphis ,Griffin,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,17,19,101,94
5/1, Utah ,Griffin,Drummond,Brown,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,17,20,110,105
7/1, San Antonio ,Griffin,Drummond,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,17,21,119,107
9/1,Los Angeles ,Griffin,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,17,22,113,100
10/1,Sacramento ,Johnson,Drummond,Bullock,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,17,23,112,102
12/1,LA ,Griffin,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,18,23,109,104
14/1,Utah ,Griffin,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,18,24,100,94
16/1, Orlando ,Griffin,Drummond,Bullock,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,19,24,120,115
18/1, Miami ,Griffin,Griffin,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,20,24,98,93
19/1, Sacramento ,Griffin,Pachulia,Brown,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,20,25,103,101
21/1,Washington ,Griffin,Griffin,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,20,26,101,87
23/1,New Orleans ,Griffin,Pachulia,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,21,26,98,94
25/1,Dallas ,Griffin,Drummond,Jackson,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,21,27,106,101
29/1, Milwaukee ,Jackson,Drummond,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,21,28,115,105
31/1, Dallas ,Drummond,Drummond,Jackson,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,22,28,93,89
2/2, LA ,Jackson,Griffin,Jackson,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,22,29,111,101
4/2, Denver ,Drummond,Drummond,Smith,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,23,29,129,103
5/2,New York ,Griffin,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,24,29,105,92
8/2, New York ,Drummond,Drummond,Jackson,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,25,29,120,103
11/2, Washington ,Drummond,Drummond,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,26,29,121,112
13/2,Boston ,Griffin,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,26,30,118,110
22/2,Atlanta ,Jackson,Drummond,Jackson,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,27,30,125,122
23/2,Miami ,Smith,Drummond,Smith,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,28,30,119,96
25/2, Indiana ,Drummond,Drummond,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,29,30,113,109
27/2,San Antonio ,Jackson,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,29,31,105,93
2/3,Cleveland ,Kennard,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,30,31,129,93
3/3, Toronto ,Griffin,Drummond,Smith,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,31,31,112,107
6/3, Minnesota ,Drummond,Drummond,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,32,31,131,114
8/3,Chicago ,Griffin,Drummond,Smith,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,33,31,112,104
10/3, Chicago ,Griffin,Drummond,Jackson,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,34,31,131,108
11/3,Brooklyn ,Drummond,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,34,32,103,75
13/3,Miami ,Griffin,Drummond,Kennard,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,34,33,108,74
15/3, Los Angeles ,Galloway,Drummond,Griffin,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,35,33,111,97
17/3, Toronto ,Griffin,Drummond,Smith,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,36,33,110,107
18/3,Cleveland ,Ellington,Drummond,Drummond,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,36,34,126,119
21/3,Phoenix ,Ellington,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,37,34,118,98
23/3,Portland ,Griffin,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,37,35,117,112
24/3,Golden State ,Griffin,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,37,36,121,114
26/3,Denver ,Griffin,Drummond,Griffin,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,37,37,95,92
28/3, Orlando ,Ellington,Drummond,Smith,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,38,37,115,98
30/3, Portland ,Jackson,Drummond,Jackson,A,Detroit Pistons 2018-19 Regular Season NBA Schedule,W,39,37,99,90
1/4,Indiana ,Ellington,Drummond,Drummond,H,Detroit Pistons 2018-19 Regular Season NBA Schedule,L,39,38,111,102
