DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
29/10, New Orleans ,Maggette,Biedrins,Jackson,A,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,0,1,108,103
31/10,Toronto ,Harrington,Biedrins,Jackson,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,0,2,112,108
1/11,New Jersey ,Biedrins,Biedrins,Jackson,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,W,1,2,105,97
3/11,Memphis ,Jackson,Biedrins,Jackson,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,1,3,90,79
5/11, Denver ,Jackson,Wright,Jackson,A,Golden State Warriors 2008-09 Regular Season NBA Schedule,W,2,3,111,101
7/11, Memphis ,Jackson,Biedrins,Watson,A,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,2,4,109,104
9/11,Sacramento ,Biedrins,Biedrins,Jackson,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,2,5,115,98
11/11, Minnesota ,Jackson,Biedrins,Jackson,A,Golden State Warriors 2008-09 Regular Season NBA Schedule,W,3,5,113,110
13/11, Detroit ,Biedrins,Biedrins,Jackson,A,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,3,6,107,102
15/11,LA ,Morrow,Biedrins,Jackson,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,W,4,6,121,103
18/11, Portland ,Morrow,Biedrins,Jackson,A,Golden State Warriors 2008-09 Regular Season NBA Schedule,W,5,6,111,106
21/11, Chicago ,Jackson,Biedrins,Jackson,A,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,5,7,115,110
23/11,Philadelphia ,Azubuike,Biedrins,Jackson,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,5,8,89,81
25/11,Washington ,Maggette,Biedrins,Jackson,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,5,9,124,100
26/11,Boston ,Maggette,Biedrins,Jackson,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,5,10,119,111
28/11,Cleveland ,Watson,Biedrins,Crawford,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,5,11,112,97
29/11,New York ,Maggette,Maggette,Watson,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,5,12,138,125
1/12, Miami ,Crawford,Biedrins,Jackson,A,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,5,13,130,129
5/12,Houston ,Jackson,Maggette,Jackson,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,5,14,131,112
6/12,San Antonio ,Wright,Biedrins,Turiaf,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,5,15,123,88
8/12,Oklahoma City ,Crawford,Biedrins,Crawford,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,W,6,15,112,102
10/12, Milwaukee ,Jackson,Biedrins,Jackson,A,Golden State Warriors 2008-09 Regular Season NBA Schedule,W,7,15,119,96
12/12, Houston ,Biedrins,Biedrins,Jackson,A,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,7,16,119,108
13/12,Denver ,Crawford,Kurz,Jackson,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,7,17,123,105
15/12, Orlando ,Biedrins,Azubuike,Belinelli,A,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,7,18,109,98
17/12,Indiana ,Crawford,Biedrins,Crawford,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,7,19,127,120
19/12,Atlanta ,Belinelli,Biedrins,Belinelli,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,7,20,115,99
20/12,Charlotte ,Crawford,Azubuike,Crawford,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,W,8,20,110,103
22/12,Orlando ,Crawford,Randolph,Biedrins,H,Golden State Warriors 2008-09 Regular Season NBA Schedule,L,8,21,113,81
