DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
16/4, Houston ,Curry,Green,Iguodala,A,Golden State Warriors 2015-16 Postseason NBA Schedule,W,,,104,78
18/4, Houston ,Thompson,Green,Green,A,Golden State Warriors 2015-16 Postseason NBA Schedule,W,,,115,106
21/4,Houston ,Speights,Thompson,Green,H,Golden State Warriors 2015-16 Postseason NBA Schedule,L,,,97,96
24/4,Houston ,Thompson,Green,Livingston,H,Golden State Warriors 2015-16 Postseason NBA Schedule,W,,,121,94
27/4, Houston ,Thompson,Green,Green,A,Golden State Warriors 2015-16 Postseason NBA Schedule,W,,,114,81
1/5, Portland ,Thompson,Green,Green,A,Golden State Warriors 2015-16 Postseason NBA Schedule,W,,,118,106
3/5, Portland ,Thompson,Green,Green,A,Golden State Warriors 2015-16 Postseason NBA Schedule,W,,,110,99
7/5,Portland ,Green,Green,Livingston,H,Golden State Warriors 2015-16 Postseason NBA Schedule,L,,,120,108
9/5,Portland ,Curry,Curry,Curry,H,Golden State Warriors 2015-16 Postseason NBA Schedule,W,,,132,125
11/5, Portland ,Thompson,Green,Curry,A,Golden State Warriors 2015-16 Postseason NBA Schedule,W,,,125,121
16/5, Oklahoma City ,Curry,Curry,Curry,A,Golden State Warriors 2015-16 Postseason NBA Schedule,L,,,108,102
18/5, Oklahoma City ,Curry,Green,Green,A,Golden State Warriors 2015-16 Postseason NBA Schedule,W,,,118,91
22/5,Oklahoma City ,Curry,Rush,Curry,H,Golden State Warriors 2015-16 Postseason NBA Schedule,L,,,133,105
24/5,Oklahoma City ,Thompson,Green,Curry,H,Golden State Warriors 2015-16 Postseason NBA Schedule,L,,,118,94
26/5, Oklahoma City ,Curry,Bogut,Iguodala,A,Golden State Warriors 2015-16 Postseason NBA Schedule,W,,,120,111
28/5,Oklahoma City ,Thompson,Green,Curry,H,Golden State Warriors 2015-16 Postseason NBA Schedule,W,,,108,101
30/5, Oklahoma City ,Curry,Green,Curry,A,Golden State Warriors 2015-16 Postseason NBA Schedule,W,,,96,88
2/6, Cleveland ,Livingston,Green,Green,A,Golden State Warriors 2015-16 Postseason NBA Schedule,W,,,104,89
5/6, Cleveland ,Green,Curry,Green,A,Golden State Warriors 2015-16 Postseason NBA Schedule,W,,,110,77
8/6,Cleveland ,Curry,Barnes,Green,H,Golden State Warriors 2015-16 Postseason NBA Schedule,L,,,120,90
10/6,Cleveland ,Curry,Green,Iguodala,H,Golden State Warriors 2015-16 Postseason NBA Schedule,W,,,108,97
13/6, Cleveland ,Thompson,Iguodala,Iguodala,A,Golden State Warriors 2015-16 Postseason NBA Schedule,L,,,112,97
16/6,Cleveland ,Curry,Green,Green,H,Golden State Warriors 2015-16 Postseason NBA Schedule,L,,,115,101
19/6, Cleveland ,Green,Green,Green,A,Golden State Warriors 2015-16 Postseason NBA Schedule,L,,,93,89
