DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
31/10,Detroit ,Harden,Asik,Harden,H,Houston Rockets 2012-13 Regular Season NBA Schedule,W,1,0,105,96
2/11,Atlanta ,Harden,Asik,Lin,H,Houston Rockets 2012-13 Regular Season NBA Schedule,W,2,0,109,102
3/11, Portland ,Harden,Asik,Lin,A,Houston Rockets 2012-13 Regular Season NBA Schedule,L,2,1,95,85
7/11, Denver ,Delfino,Asik,Lin,A,Houston Rockets 2012-13 Regular Season NBA Schedule,L,2,2,93,87
9/11,Memphis ,Parsons,Asik,Harden,H,Houston Rockets 2012-13 Regular Season NBA Schedule,L,2,3,93,85
10/11, Detroit ,Harden,Asik,Lin,A,Houston Rockets 2012-13 Regular Season NBA Schedule,W,3,3,96,82
12/11, Miami ,Parsons,Asik,Lin,A,Houston Rockets 2012-13 Regular Season NBA Schedule,L,3,4,113,110
14/11, New Orleans ,Harden,Asik,Harden,A,Houston Rockets 2012-13 Regular Season NBA Schedule,W,4,4,100,96
16/11,Portland ,Harden,Asik,Lin,H,Houston Rockets 2012-13 Regular Season NBA Schedule,L,4,5,119,117
18/11,Los Angeles ,Parsons,Asik,Lin,H,Houston Rockets 2012-13 Regular Season NBA Schedule,L,4,6,119,108
19/11,Utah ,Patterson,Parsons,Parsons,H,Houston Rockets 2012-13 Regular Season NBA Schedule,L,4,7,102,91
21/11, Chicago ,Harden,Parsons,Harden,A,Houston Rockets 2012-13 Regular Season NBA Schedule,W,5,7,93,89
23/11, New York ,Harden,Asik,Harden,A,Houston Rockets 2012-13 Regular Season NBA Schedule,W,6,7,131,103
27/11, Toronto ,Harden,Asik,Harden,A,Houston Rockets 2012-13 Regular Season NBA Schedule,W,7,7,117,101
28/11,Oklahoma City ,Patterson,Asik,Lin,H,Houston Rockets 2012-13 Regular Season NBA Schedule,L,7,8,120,98
1/12, Utah ,Patterson,Asik,Lin,A,Houston Rockets 2012-13 Regular Season NBA Schedule,W,8,8,124,116
4/12, Los Angeles ,Douglas,Harden,Harden,A,Houston Rockets 2012-13 Regular Season NBA Schedule,W,9,8,107,105
