DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
18/8, Oklahoma City ,Harden,Harden,House,A,Houston Rockets 2019-20 Postseason NBA Schedule,W,,,123,108
20/8, Oklahoma City ,Harden,House,Harden,A,Houston Rockets 2019-20 Postseason NBA Schedule,W,,,111,98
22/8,Oklahoma City ,Harden,House,Harden,H,Houston Rockets 2019-20 Postseason NBA Schedule,L,,,119,107
24/8,Oklahoma City ,Harden,Tucker,Harden,H,Houston Rockets 2019-20 Postseason NBA Schedule,L,,,117,114
29/8, Oklahoma City ,Harden,Green,Westbrook,A,Houston Rockets 2019-20 Postseason NBA Schedule,W,,,114,80
31/8,Oklahoma City ,Harden,Tucker,Harden,H,Houston Rockets 2019-20 Postseason NBA Schedule,L,,,104,100
2/9, Oklahoma City ,Covington,Covington,Harden,A,Houston Rockets 2019-20 Postseason NBA Schedule,W,,,104,102
4/9,Los Angeles ,Harden,Westbrook,Westbrook,H,Houston Rockets 2019-20 Postseason NBA Schedule,W,,,112,97
6/9,Los Angeles ,Harden,Westbrook,Harden,H,Houston Rockets 2019-20 Postseason NBA Schedule,L,,,117,109
8/9, Los Angeles ,Harden,Harden,Harden,A,Houston Rockets 2019-20 Postseason NBA Schedule,L,,,112,102
10/9, Los Angeles ,Westbrook,Green,Harden,A,Houston Rockets 2019-20 Postseason NBA Schedule,L,,,110,100
12/9,Los Angeles ,Harden,Harden,Westbrook,H,Houston Rockets 2019-20 Postseason NBA Schedule,L,,,119,96
