DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
17/4, Boston ,O'Neal,O'Neal,Tinsley,A,Indiana Pacers 2003-04 Postseason NBA Schedule,W,,,104,88
20/4, Boston ,O'Neal,Harrington,Miller,A,Indiana Pacers 2003-04 Postseason NBA Schedule,W,,,103,90
23/4,Boston ,Harrington,Harrington,World,H,Indiana Pacers 2003-04 Postseason NBA Schedule,W,,,108,85
25/4,Boston ,World,Harrington,Tinsley,H,Indiana Pacers 2003-04 Postseason NBA Schedule,W,,,90,75
6/5, Miami ,World,Foster,Tinsley,A,Indiana Pacers 2003-04 Postseason NBA Schedule,W,,,94,81
8/5, Miami ,World,O'Neal,Tinsley,A,Indiana Pacers 2003-04 Postseason NBA Schedule,W,,,91,80
10/5,Miami ,O'Neal,O'Neal,Tinsley,H,Indiana Pacers 2003-04 Postseason NBA Schedule,L,,,94,87
12/5,Miami ,O'Neal,World,Tinsley,H,Indiana Pacers 2003-04 Postseason NBA Schedule,L,,,100,88
15/5, Miami ,O'Neal,Foster,Tinsley,A,Indiana Pacers 2003-04 Postseason NBA Schedule,W,,,94,83
18/5,Miami ,World,O'Neal,Tinsley,H,Indiana Pacers 2003-04 Postseason NBA Schedule,W,,,73,70
22/5, Detroit ,O'Neal,O'Neal,Tinsley,A,Indiana Pacers 2003-04 Postseason NBA Schedule,W,,,78,74
24/5, Detroit ,Miller,Foster,Johnson,A,Indiana Pacers 2003-04 Postseason NBA Schedule,L,,,72,67
26/5,Detroit ,O'Neal,O'Neal,Tinsley,H,Indiana Pacers 2003-04 Postseason NBA Schedule,L,,,85,78
28/5,Detroit ,World,O'Neal,Tinsley,H,Indiana Pacers 2003-04 Postseason NBA Schedule,W,,,83,68
30/5, Detroit ,World,World,Tinsley,A,Indiana Pacers 2003-04 Postseason NBA Schedule,L,,,83,65
1/6,Detroit ,O'Neal,O'Neal,Johnson,H,Indiana Pacers 2003-04 Postseason NBA Schedule,L,,,69,65
