DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
2/11,Orlando ,O'Neal,O'Neal,World,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,1,0,90,78
3/11,Miami ,O'Neal,O'Neal,Tinsley,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,2,0,105,102
5/11, Philadelphia ,O'Neal,O'Neal,Tinsley,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,2,1,111,109
9/11, Miami ,World,World,Tinsley,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,3,1,95,90
11/11, New Jersey ,World,O'Neal,Jackson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,4,1,102,90
12/11,Milwaukee ,O'Neal,O'Neal,Jones,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,4,2,103,102
16/11,Charlotte ,World,O'Neal,Tinsley,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,4,3,122,90
18/11, Charlotte ,O'Neal,O'Neal,Tinsley,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,5,3,93,85
20/11, Houston ,World,O'Neal,Tinsley,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,6,3,85,74
24/11, Cleveland ,World,O'Neal,Tinsley,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,7,3,98,76
25/11, Atlanta ,O'Neal,Croshere,Jasikevicius,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,7,4,87,85
27/11,LA ,World,O'Neal,Tinsley,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,8,4,97,92
29/11,Utah ,O'Neal,O'Neal,O'Neal,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,9,4,84,60
30/11,Phoenix ,O'Neal,O'Neal,Tinsley,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,9,5,109,91
2/12,Portland ,O'Neal,O'Neal,O'Neal,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,10,5,98,78
4/12,Seattle ,World,Jasikevicius,Jasikevicius,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,10,6,107,102
6/12, Dallas ,O'Neal,O'Neal,O'Neal,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,10,7,84,75
8/12, Washington ,Jackson,O'Neal,Johnson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,11,7,111,87
10/12, Memphis ,O'Neal,O'Neal,Jasikevicius,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,12,7,80,66
14/12,Boston ,Jackson,O'Neal,Jasikevicius,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,12,8,85,71
16/12, Utah ,O'Neal,O'Neal,Johnson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,13,8,93,83
17/12,New York ,O'Neal,Croshere,Tinsley,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,14,8,102,96
21/12, LA ,Jackson,O'Neal,Tinsley,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,15,8,97,75
23/12,Cleveland ,O'Neal,O'Neal,Jasikevicius,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,15,9,94,89
26/12,Dallas ,O'Neal,Croshere,Tinsley,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,15,10,102,80
27/12,San Antonio ,O'Neal,Jackson,Tinsley,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,15,11,99,86
30/12, Toronto ,Jackson,Foster,Jones,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,15,12,99,97
2/1, Seattle ,Jones,Croshere,Johnson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,16,12,115,96
4/1,Denver ,Jackson,Foster,Johnson,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,16,13,106,86
5/1,Golden State ,Jackson,Foster,Johnson,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,17,13,99,89
8/1,Sacramento ,Jackson,Foster,Johnson,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,18,13,108,83
9/1,Los Angeles ,O'Neal,O'Neal,Jasikevicius,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,18,14,96,90
11/1, Milwaukee ,Jackson,Foster,Johnson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,19,14,112,88
13/1, Washington ,O'Neal,Foster,Jasikevicius,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,19,15,94,85
14/1,Chicago ,Jackson,Granger,Johnson,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,20,15,91,89
16/1,New Jersey ,Croshere,Croshere,Jasikevicius,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,20,16,97,92
18/1, Charlotte ,Johnson,Johnson,Johnson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,21,16,98,92
20/1,Minnesota ,Jones,Foster,Johnson,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,21,17,90,85
21/1, Chicago ,Jackson,O'Neal,Johnson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,21,18,101,89
23/1,Atlanta ,O'Neal,O'Neal,Jackson,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,21,19,104,94
24/1,Cleveland ,Jackson,O'Neal,Jasikevicius,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,21,20,96,66
27/1, Cleveland ,Granger,Granger,Johnson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,21,21,93,89
31/1,Washington ,Stojakovic,Pollard,Jackson,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,21,22,84,79
1/2, Los Angeles ,Stojakovic,Stojakovic,Johnson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,22,22,105,79
4/2, Detroit ,Jackson,Pollard,Johnson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,23,22,93,85
8/2, Portland ,Jackson,Pollard,Jasikevicius,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,24,22,101,69
10/2, Golden State ,Jackson,Stojakovic,Johnson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,25,22,107,95
12/2, San Antonio ,Jackson,Stojakovic,Jackson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,25,23,92,88
15/2, Milwaukee ,Johnson,Foster,Jasikevicius,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,26,23,88,77
21/2," NO/Oklahoma City
 ",Granger,Granger,Jackson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,27,23,97,75
23/2,Detroit ,Jackson,Pollard,Johnson,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,27,24,88,83
24/2, Atlanta ,Stojakovic,Foster,Johnson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,27,25,117,112
26/2,New Jersey ,Jones,Foster,Johnson,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,28,25,101,91
1/3,Washington ,Jackson,Foster,Jasikevicius,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,29,25,99,93
3/3,Boston ,Stojakovic,Foster,Jackson,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,29,26,99,98
5/3,Philadelphia ,Johnson,Foster,Jackson,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,30,26,94,93
7/3, New York ,Stojakovic,Pollard,Johnson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,30,27,107,92
8/3,Houston ,Stojakovic,Foster,Stojakovic,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,30,28,103,99
10/3,"NO/Oklahoma City
 ",Stojakovic,Foster,Jackson,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,31,28,92,90
12/3,Toronto ,Jackson,Foster,Johnson,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,31,29,93,89
13/3, Orlando ,Granger,Granger,Tinsley,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,32,29,97,83
15/3, Denver ,Stojakovic,Foster,Tinsley,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,32,30,101,99
17/3, Sacramento ,Granger,Foster,Johnson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,33,30,98,93
19/3, Boston ,Stojakovic,Foster,Johnson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,33,31,103,88
21/3,Memphis ,Foster,Stojakovic,Stojakovic,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,33,32,105,75
22/3, Chicago ,Jackson,Foster,Johnson,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,34,32,95,85
24/3, Detroit ,Harrison,Foster,Tinsley,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,34,33,75,72
26/3, Philadelphia ,Jackson,Foster,Tinsley,A,Indiana Pacers 2005-06 Regular Season NBA Schedule,W,35,33,92,79
27/3,Miami ,Jackson,O'Neal,O'Neal,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,35,34,96,91
29/3,Atlanta ,Stojakovic,Foster,Jones,H,Indiana Pacers 2005-06 Regular Season NBA Schedule,L,35,35,94,93
