DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
19/4, San Antonio ,Paul,Jordan,Paul,A,LA Clippers 2014-15 Postseason NBA Schedule,W,,,107,92
22/4, San Antonio ,Griffin,Jordan,Griffin,A,LA Clippers 2014-15 Postseason NBA Schedule,L,,,111,107
24/4,San Antonio ,Griffin,Griffin,Griffin,H,LA Clippers 2014-15 Postseason NBA Schedule,L,,,100,73
26/4,San Antonio ,Paul,Griffin,Paul,H,LA Clippers 2014-15 Postseason NBA Schedule,W,,,114,105
28/4, San Antonio ,Griffin,Griffin,Paul,A,LA Clippers 2014-15 Postseason NBA Schedule,L,,,111,107
30/4,San Antonio ,Griffin,Jordan,Paul,H,LA Clippers 2014-15 Postseason NBA Schedule,W,,,102,96
2/5, San Antonio ,Paul,Jordan,Griffin,A,LA Clippers 2014-15 Postseason NBA Schedule,W,,,111,109
4/5,Houston ,Griffin,Griffin,Griffin,H,LA Clippers 2014-15 Postseason NBA Schedule,W,,,117,101
6/5,Houston ,Griffin,Griffin,Crawford,H,LA Clippers 2014-15 Postseason NBA Schedule,L,,,115,109
8/5, Houston ,Redick,Jordan,Paul,A,LA Clippers 2014-15 Postseason NBA Schedule,W,,,124,99
10/5, Houston ,Jordan,Jordan,Paul,A,LA Clippers 2014-15 Postseason NBA Schedule,W,,,128,95
12/5,Houston ,Griffin,Griffin,Paul,H,LA Clippers 2014-15 Postseason NBA Schedule,L,,,124,103
14/5, Houston ,Paul,Barnes,Paul,A,LA Clippers 2014-15 Postseason NBA Schedule,L,,,119,107
17/5,Houston ,Griffin,Jordan,Paul,H,LA Clippers 2014-15 Postseason NBA Schedule,L,,,113,100
