DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
27/10, LA ,Bryant,Bynum,Odom,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,1,0,99,92
30/10, Dallas ,Bryant,Bynum,Odom,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,L,1,1,94,80
1/11, Atlanta ,Bryant,Odom,Odom,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,2,1,118,110
3/11,Oklahoma City ,Bryant,Bynum,World,H,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,3,1,101,98
4/11,Houston ,Bryant,Bynum,Bynum,H,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,4,1,103,102
6/11, Memphis ,Bryant,Ilunga-Mbenga,World,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,5,1,114,98
8/11, New Orleans ,Bryant,Ilunga-Mbenga,World,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,6,1,104,88
12/11, Phoenix ,Bryant,Bynum,Farmar,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,7,1,121,102
13/11,Denver ,Bynum,Bynum,World,H,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,L,7,2,105,79
15/11, Houston ,World,Bynum,Odom,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,L,7,3,101,91
17/11, Detroit ,Bryant,Bynum,Odom,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,8,3,106,93
19/11, Chicago ,Gasol,Gasol,Bryant,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,9,3,108,93
22/11, Oklahoma City ,Bryant,Bynum,Bryant,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,10,3,101,85
24/11, New York ,Bryant,Gasol,Odom,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,11,3,100,90
28/11,Golden State ,Gasol,Gasol,Bryant,H,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,12,3,130,97
29/11, New Jersey ,Bryant,Gasol,Bryant,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,13,3,106,87
1/12, New Orleans ,Bynum,Bynum,Fisher,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,14,3,110,99
4/12, Miami ,Bryant,Gasol,World,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,15,3,108,107
6/12, Phoenix ,Bryant,Odom,World,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,16,3,108,88
9/12, Utah ,Bryant,Gasol,Bryant,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,17,3,101,77
11/12, Minnesota ,Bryant,Gasol,Gasol,A,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,W,18,3,104,92
12/12,Utah ,Gasol,Gasol,Gasol,H,Los Angeles Lakers 2009-10 Regular Season NBA Schedule,L,18,4,102,94
