DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
18/8, Portland ,Davis,James,James,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule,L,,,100,93
20/8, Portland ,Davis,Davis,James,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule,W,,,111,88
22/8,Portland ,James,James,James,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule,W,,,116,108
24/8,Portland ,James,Howard,James,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule,W,,,135,115
29/8, Portland ,Davis,James,James,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule,W,,,131,122
4/9, Houston ,Davis,Davis,James,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule,L,,,112,97
6/9, Houston ,Davis,James,James,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule,W,,,117,109
8/9,Houston ,James,Davis,Rondo,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule,W,,,112,102
10/9,Houston ,Davis,James,James,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule,W,,,110,100
12/9, Houston ,James,James,James,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule,W,,,119,96
18/9, Denver ,Davis,Davis,James,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule,W,,,126,114
20/9, Denver ,Davis,James,Rondo,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule,W,,,105,103
22/9,Denver ,James,James,James,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule,L,,,114,106
24/9,Denver ,Davis,Howard,James,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule,W,,,114,108
26/9, Denver ,James,James,James,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule,W,,,117,107
30/9, Miami ,Davis,James,James,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule,W,,,116,98
2/10, Miami ,James,Davis,Rondo,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule,W,,,124,114
4/10,Miami ,James,James,James,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule,L,,,115,104
6/10,Miami ,James,James,James,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule,W,,,102,96
9/10, Miami ,James,James,James,A,Los Angeles Lakers 2019-20 Postseason NBA Schedule,L,,,111,108
11/10,Miami ,James,Davis,James,H,Los Angeles Lakers 2019-20 Postseason NBA Schedule,W,,,106,93
