DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
26/12,San Antonio ,Gay,Gay,Conley,H,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,L,0,1,95,82
28/12, Oklahoma City ,Randolph,Randolph,Pargo,A,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,L,0,2,98,95
30/12, Houston ,Randolph,Randolph,Selby,A,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,W,1,2,113,93
1/1,Chicago ,Davis,Gasol,Mayo,H,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,L,1,3,104,64
3/1, Sacramento ,Gay,Gasol,Conley,A,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,W,2,3,113,96
4/1,Minnesota ,Allen,Gasol,Conley,H,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,W,3,3,90,86
6/1,Utah ,Gasol,Gasol,Conley,H,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,L,3,4,94,85
8/1,Los Angeles ,Gay,Gasol,Conley,H,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,L,3,5,90,82
10/1, Oklahoma City ,Gasol,Gasol,Conley,A,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,L,3,6,100,95
12/1, New York ,Gay,Gasol,Conley,A,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,W,4,6,94,83
14/1, New Orleans ,Gay,Gasol,Conley,A,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,W,5,6,108,99
16/1, Chicago ,Gay,Speights,Conley,A,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,W,6,6,102,86
18/1,New Orleans ,Gasol,Gasol,Conley,H,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,W,7,6,93,87
20/1,Detroit ,Gay,Gasol,Conley,H,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,W,8,6,98,81
21/1, Sacramento ,Gay,Speights,Conley,A,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,W,9,6,128,95
23/1,Golden State ,Gay,Gasol,Conley,H,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,W,10,6,91,90
24/1,Portland ,Mayo,Speights,Conley,H,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,L,10,7,97,84
26/1,LA ,Gay,Gasol,Conley,H,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,L,10,8,98,91
28/1,Phoenix ,Gasol,Gasol,Conley,H,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,L,10,9,86,84
30/1, San Antonio ,Mayo,Gasol,Conley,A,Memphis Grizzlies 2011-12 Regular Season NBA Schedule,L,10,10,83,73
