DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
16/4, Minnesota ,Morant,Clarke,Morant,A,Memphis Grizzlies 2021-22 Postseason NBA Schedule,L,,,130,117
19/4, Minnesota ,Morant,Morant,Morant,A,Memphis Grizzlies 2021-22 Postseason NBA Schedule,W,,,124,96
21/4,Minnesota ,Bane,Morant,Morant,H,Memphis Grizzlies 2021-22 Postseason NBA Schedule,W,,,104,95
23/4,Minnesota ,Bane,Morant,Morant,H,Memphis Grizzlies 2021-22 Postseason NBA Schedule,L,,,119,118
26/4, Minnesota ,Morant,Clarke,Morant,A,Memphis Grizzlies 2021-22 Postseason NBA Schedule,W,,,111,109
29/4,Minnesota ,Bane,Jackson,Morant,H,Memphis Grizzlies 2021-22 Postseason NBA Schedule,W,,,114,106
1/5, Golden State ,Morant,Jackson,Morant,A,Memphis Grizzlies 2021-22 Postseason NBA Schedule,L,,,117,116
3/5, Golden State ,Morant,Morant,Morant,A,Memphis Grizzlies 2021-22 Postseason NBA Schedule,W,,,106,101
7/5,Golden State ,Morant,Bane,Morant,H,Memphis Grizzlies 2021-22 Postseason NBA Schedule,L,,,142,112
9/5,Golden State ,Jackson,Adams,Brooks,H,Memphis Grizzlies 2021-22 Postseason NBA Schedule,L,,,101,98
11/5, Golden State ,Jackson,Adams,Jones,A,Memphis Grizzlies 2021-22 Postseason NBA Schedule,W,,,134,95
13/5,Golden State ,Brooks,Adams,Jones,H,Memphis Grizzlies 2021-22 Postseason NBA Schedule,L,,,110,96
