DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
2/11,Memphis ,Walker,Walker,Wade,H,Miami Heat 2005-06 Regular Season NBA Schedule,W,1,0,97,78
3/11, Indiana ,Wade,Haslem,Wade,A,Miami Heat 2005-06 Regular Season NBA Schedule,L,1,1,105,102
5/11,Milwaukee ,Wade,Mourning,Wade,H,Miami Heat 2005-06 Regular Season NBA Schedule,L,1,2,105,100
7/11, New Jersey ,Wade,Mourning,Wade,A,Miami Heat 2005-06 Regular Season NBA Schedule,W,2,2,90,89
9/11,Indiana ,Wade,Wade,Wade,H,Miami Heat 2005-06 Regular Season NBA Schedule,L,2,3,95,90
10/11, Houston ,Wade,Mourning,Wade,A,Miami Heat 2005-06 Regular Season NBA Schedule,W,3,3,88,84
12/11, Charlotte ,Williams,Haslem,Williams,A,Miami Heat 2005-06 Regular Season NBA Schedule,W,4,3,108,99
15/11," NO/Oklahoma City
 ",Wade,Mourning,Wade,A,Miami Heat 2005-06 Regular Season NBA Schedule,W,5,3,109,102
18/11, Philadelphia ,Wade,Haslem,Wade,A,Miami Heat 2005-06 Regular Season NBA Schedule,W,6,3,106,96
20/11,Toronto ,Wade,Wade,Wade,H,Miami Heat 2005-06 Regular Season NBA Schedule,L,6,4,107,94
23/11, Portland ,Wade,Wade,Wade,A,Miami Heat 2005-06 Regular Season NBA Schedule,W,7,4,100,79
25/11, Dallas ,Williams,Haslem,Williams,A,Miami Heat 2005-06 Regular Season NBA Schedule,L,7,5,103,90
26/11,Orlando ,Wade,Mourning,Wade,H,Miami Heat 2005-06 Regular Season NBA Schedule,L,7,6,80,77
28/11, New York ,Wade,Haslem,Williams,A,Miami Heat 2005-06 Regular Season NBA Schedule,W,8,6,107,94
30/11,Atlanta ,Williams,Mourning,Williams,H,Miami Heat 2005-06 Regular Season NBA Schedule,W,9,6,96,74
2/12,Sacramento ,Wade,Haslem,Williams,H,Miami Heat 2005-06 Regular Season NBA Schedule,W,10,6,98,87
3/12,Denver ,Wade,Posey,Wade,H,Miami Heat 2005-06 Regular Season NBA Schedule,L,10,7,101,99
5/12,LA ,Wade,Mourning,Williams,H,Miami Heat 2005-06 Regular Season NBA Schedule,L,10,8,99,89
7/12,San Antonio ,Wade,Mourning,Wade,H,Miami Heat 2005-06 Regular Season NBA Schedule,L,10,9,98,84
9/12, Denver ,Wade,Wade,Walker,A,Miami Heat 2005-06 Regular Season NBA Schedule,L,10,10,100,92
11/12, Washington ,Wade,O'Neal,Wade,A,Miami Heat 2005-06 Regular Season NBA Schedule,W,11,10,104,101
13/12,Chicago ,O'Neal,Mourning,Wade,H,Miami Heat 2005-06 Regular Season NBA Schedule,W,12,10,100,97
14/12,Milwaukee ,Wade,Haslem,Wade,H,Miami Heat 2005-06 Regular Season NBA Schedule,W,13,10,100,83
16/12,Philadelphia ,Wade,O'Neal,Payton,H,Miami Heat 2005-06 Regular Season NBA Schedule,W,14,10,112,105
17/12,Cleveland ,Wade,Walker,Wade,H,Miami Heat 2005-06 Regular Season NBA Schedule,L,14,11,115,107
20/12, Atlanta ,O'Neal,O'Neal,Payton,A,Miami Heat 2005-06 Regular Season NBA Schedule,W,15,11,111,92
23/12, New Jersey ,O'Neal,O'Neal,Wade,A,Miami Heat 2005-06 Regular Season NBA Schedule,L,15,12,95,88
25/12, Los Angeles ,Payton,O'Neal,Wade,A,Miami Heat 2005-06 Regular Season NBA Schedule,W,16,12,97,92
27/12, Milwaukee ,Wade,O'Neal,Wade,A,Miami Heat 2005-06 Regular Season NBA Schedule,W,17,12,109,98
29/12,Detroit ,Wade,Haslem,Wade,H,Miami Heat 2005-06 Regular Season NBA Schedule,L,17,13,106,101
30/12,Washington ,Wade,Walker,Payton,H,Miami Heat 2005-06 Regular Season NBA Schedule,W,18,13,128,113
1/1, Minnesota ,Wade,Mourning,Wade,A,Miami Heat 2005-06 Regular Season NBA Schedule,W,19,13,97,70
4/1,"NO/Oklahoma City
 ",Wade,Wade,Wade,H,Miami Heat 2005-06 Regular Season NBA Schedule,L,19,14,107,92
6/1,Phoenix ,Walker,O'Neal,Fitch,H,Miami Heat 2005-06 Regular Season NBA Schedule,L,19,15,111,93
8/1,Portland ,Wade,Posey,Williams,H,Miami Heat 2005-06 Regular Season NBA Schedule,W,20,15,118,89
