DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
28/4, New York ,James,Haslem,Chalmers,A,Miami Heat 2011-12 Postseason NBA Schedule,W,,,100,67
30/4, New York ,Wade,Haslem,James,A,Miami Heat 2011-12 Postseason NBA Schedule,W,,,104,94
3/5,New York ,James,Bosh,James,H,Miami Heat 2011-12 Postseason NBA Schedule,W,,,87,70
6/5,New York ,James,Bosh,Wade,H,Miami Heat 2011-12 Postseason NBA Schedule,L,,,89,87
9/5, New York ,James,James,James,A,Miami Heat 2011-12 Postseason NBA Schedule,W,,,106,94
13/5, Indiana ,James,James,James,A,Miami Heat 2011-12 Postseason NBA Schedule,W,,,95,86
15/5, Indiana ,James,James,James,A,Miami Heat 2011-12 Postseason NBA Schedule,L,,,78,75
17/5,Indiana ,Chalmers,Turiaf,Chalmers,H,Miami Heat 2011-12 Postseason NBA Schedule,L,,,94,75
20/5,Indiana ,James,James,James,H,Miami Heat 2011-12 Postseason NBA Schedule,W,,,101,93
22/5, Indiana ,James,Chalmers,James,A,Miami Heat 2011-12 Postseason NBA Schedule,W,,,115,83
24/5,Indiana ,Wade,Wade,James,H,Miami Heat 2011-12 Postseason NBA Schedule,W,,,105,93
28/5, Boston ,James,James,Wade,A,Miami Heat 2011-12 Postseason NBA Schedule,W,,,93,79
30/5, Boston ,James,Haslem,James,A,Miami Heat 2011-12 Postseason NBA Schedule,W,,,115,111
1/6,Boston ,James,James,Chalmers,H,Miami Heat 2011-12 Postseason NBA Schedule,L,,,101,91
3/6,Boston ,James,Haslem,Wade,H,Miami Heat 2011-12 Postseason NBA Schedule,L,,,93,91
5/6, Boston ,James,Haslem,Wade,A,Miami Heat 2011-12 Postseason NBA Schedule,L,,,94,90
7/6,Boston ,James,James,James,H,Miami Heat 2011-12 Postseason NBA Schedule,W,,,98,79
9/6, Boston ,James,James,Chalmers,A,Miami Heat 2011-12 Postseason NBA Schedule,W,,,101,88
12/6,Oklahoma City ,James,Haslem,Wade,H,Miami Heat 2011-12 Postseason NBA Schedule,L,,,105,94
14/6,Oklahoma City ,James,Bosh,James,H,Miami Heat 2011-12 Postseason NBA Schedule,W,,,100,96
17/6, Oklahoma City ,James,James,Wade,A,Miami Heat 2011-12 Postseason NBA Schedule,W,,,91,85
19/6, Oklahoma City ,James,James,James,A,Miami Heat 2011-12 Postseason NBA Schedule,W,,,104,98
21/6, Oklahoma City ,James,James,James,A,Miami Heat 2011-12 Postseason NBA Schedule,W,,,121,106
