DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
26/10, Charlotte ,Antetokounmpo,Monroe,Antetokounmpo,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,0,1,107,96
29/10, Brooklyn ,Vaughn,Henson,Dellavedova,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,1,1,110,108
30/10,Detroit ,Antetokounmpo,Antetokounmpo,Antetokounmpo,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,1,2,98,83
1/11,New Orleans ,Antetokounmpo,Monroe,Dellavedova,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,2,2,117,113
3/11, Indiana ,Parker,Monroe,Antetokounmpo,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,3,2,125,107
5/11, Sacramento ,Teletovic,Antetokounmpo,Antetokounmpo,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,4,2,117,91
6/11,Dallas ,Parker,Monroe,Dellavedova,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,4,3,86,75
10/11, New Orleans ,Parker,Antetokounmpo,Dellavedova,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,4,4,112,106
12/11, Memphis ,Antetokounmpo,Henson,Antetokounmpo,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,5,4,106,96
16/11,Atlanta ,Antetokounmpo,Antetokounmpo,Antetokounmpo,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,5,5,107,100
17/11,Miami ,Antetokounmpo,Beasley,Dellavedova,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,5,6,96,73
19/11, Golden State ,Antetokounmpo,Snell,Antetokounmpo,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,5,7,124,121
21/11, Orlando ,Parker,Antetokounmpo,Antetokounmpo,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,6,7,93,89
25/11, Toronto ,Antetokounmpo,Monroe,Antetokounmpo,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,6,8,105,99
27/11,Orlando ,Henson,Antetokounmpo,Dellavedova,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,7,8,104,96
29/11, Cleveland ,Antetokounmpo,Antetokounmpo,Dellavedova,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,8,8,118,101
1/12,Brooklyn ,Antetokounmpo,Antetokounmpo,Antetokounmpo,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,9,8,111,93
3/12, Brooklyn ,Henson,Antetokounmpo,Dellavedova,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,10,8,112,103
5/12, San Antonio ,Parker,Monroe,Brogdon,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,10,9,97,96
7/12, Portland ,Parker,Antetokounmpo,Antetokounmpo,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,11,9,115,107
9/12, Atlanta ,Parker,Monroe,Monroe,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,11,10,114,110
10/12,Washington ,Antetokounmpo,Antetokounmpo,Antetokounmpo,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,11,11,110,105
12/12,Toronto ,Antetokounmpo,Antetokounmpo,Dellavedova,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,11,12,122,100
15/12, Chicago ,Antetokounmpo,Antetokounmpo,Dellavedova,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,12,12,108,97
16/12,Chicago ,Antetokounmpo,Monroe,Antetokounmpo,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,13,12,95,69
20/12, Cleveland ,Parker,Antetokounmpo,Dellavedova,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,13,13,114,108
21/12,Cleveland ,Antetokounmpo,Henson,Brogdon,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,13,14,113,102
23/12, Washington ,Antetokounmpo,Monroe,Brogdon,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,14,14,123,96
26/12,Washington ,Antetokounmpo,Antetokounmpo,Dellavedova,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,14,15,107,102
28/12,Detroit ,Parker,Parker,Antetokounmpo,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,15,15,119,94
30/12,Minnesota ,Antetokounmpo,Antetokounmpo,Antetokounmpo,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,15,16,116,99
31/12,Chicago ,Antetokounmpo,Monroe,Brogdon,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,16,16,116,96
2/1, Oklahoma City ,Antetokounmpo,Antetokounmpo,Antetokounmpo,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,17,16,98,94
4/1,New York ,Antetokounmpo,Antetokounmpo,Brogdon,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,18,16,105,104
6/1, New York ,Antetokounmpo,Monroe,Parker,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,18,17,116,111
8/1, Washington ,Parker,Monroe,Parker,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,L,18,18,107,101
10/1,San Antonio ,Beasley,Monroe,Brogdon,H,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,19,18,109,107
13/1, Miami ,Parker,Monroe,Dellavedova,A,Milwaukee Bucks 2016-17 Regular Season NBA Schedule,W,20,18,116,108
