DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
17/4, Chicago ,Antetokounmpo,Antetokounmpo,Holiday,A,Milwaukee Bucks 2021-22 Postseason NBA Schedule,W,,,93,86
20/4, Chicago ,Antetokounmpo,Antetokounmpo,Antetokounmpo,A,Milwaukee Bucks 2021-22 Postseason NBA Schedule,L,,,114,110
22/4,Chicago ,Allen,Portis,Antetokounmpo,H,Milwaukee Bucks 2021-22 Postseason NBA Schedule,W,,,111,81
24/4,Chicago ,Antetokounmpo,Antetokounmpo,Antetokounmpo,H,Milwaukee Bucks 2021-22 Postseason NBA Schedule,W,,,119,95
27/4, Chicago ,Antetokounmpo,Portis,Holiday,A,Milwaukee Bucks 2021-22 Postseason NBA Schedule,W,,,116,100
1/5,Boston ,Holiday,Antetokounmpo,Antetokounmpo,H,Milwaukee Bucks 2021-22 Postseason NBA Schedule,W,,,101,89
3/5,Boston ,Antetokounmpo,Antetokounmpo,Antetokounmpo,H,Milwaukee Bucks 2021-22 Postseason NBA Schedule,L,,,109,86
7/5, Boston ,Antetokounmpo,Antetokounmpo,Antetokounmpo,A,Milwaukee Bucks 2021-22 Postseason NBA Schedule,W,,,103,101
9/5, Boston ,Antetokounmpo,Antetokounmpo,Holiday,A,Milwaukee Bucks 2021-22 Postseason NBA Schedule,L,,,116,108
11/5,Boston ,Antetokounmpo,Portis,Holiday,H,Milwaukee Bucks 2021-22 Postseason NBA Schedule,W,,,110,107
13/5, Boston ,Antetokounmpo,Antetokounmpo,Antetokounmpo,A,Milwaukee Bucks 2021-22 Postseason NBA Schedule,L,,,108,95
15/5,Boston ,Antetokounmpo,Antetokounmpo,Antetokounmpo,H,Milwaukee Bucks 2021-22 Postseason NBA Schedule,L,,,109,81
