DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
28/10,Los Angeles ,Rubio,Towns,Rubio,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,W,1,0,112,111
30/10,Denver ,Towns,Towns,Rubio,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,W,2,0,95,78
2/11, Portland ,Martin,Rubio,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,2,1,106,101
5/11, Miami ,Muhammad,Bjelica,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,2,2,96,84
7/11,Chicago ,Wiggins,Towns,Rubio,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,W,3,2,102,93
9/11,Atlanta ,Wiggins,Towns,Rubio,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,W,4,2,117,107
10/11, Charlotte ,LaVine,Towns,LaVine,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,4,3,104,95
12/11, Golden State ,Wiggins,Towns,Martin,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,4,4,129,116
13/11,Indiana ,LaVine,Towns,Miller,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,4,5,107,103
15/11, Memphis ,LaVine,Towns,Miller,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,4,6,114,106
17/11,Miami ,Wiggins,Towns,LaVine,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,W,5,6,103,91
18/11,Orlando ,Wiggins,Towns,Rubio,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,5,7,104,101
20/11, Detroit ,Wiggins,Towns,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,5,8,96,86
23/11, Philadelphia ,Wiggins,Garnett,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,W,6,8,100,95
25/11, Atlanta ,LaVine,Dieng,LaVine,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,W,7,8,99,95
27/11,Sacramento ,Wiggins,LaVine,LaVine,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,W,8,8,101,91
29/11,LA ,Wiggins,Dieng,LaVine,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,8,9,107,99
1/12, Orlando ,Wiggins,Garnett,LaVine,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,8,10,96,93
5/12, Portland ,Towns,Towns,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,8,11,109,103
7/12, LA ,LaVine,Muhammad,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,8,12,110,106
9/12, Los Angeles ,Martin,Towns,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,W,9,12,123,122
11/12,Denver ,Martin,Towns,Rubio,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,9,13,111,108
13/12,Phoenix ,LaVine,Towns,Rubio,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,9,14,108,101
15/12, Denver ,Wiggins,Dieng,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,9,15,112,100
16/12,New York ,Towns,Towns,Rubio,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,9,16,107,102
18/12, Sacramento ,Wiggins,Dieng,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,W,10,16,99,95
20/12,Brooklyn ,Towns,Towns,Rubio,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,W,11,16,100,85
21/12,Boston ,Wiggins,Towns,Rubio,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,11,17,113,99
23/12, San Antonio ,LaVine,Towns,LaVine,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,11,18,108,83
26/12, Indiana ,Towns,Towns,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,11,19,102,88
28/12,San Antonio ,Wiggins,Towns,Rubio,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,11,20,101,95
30/12, Utah ,Towns,Towns,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,W,12,20,94,80
31/12,Detroit ,Towns,Towns,Rubio,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,12,21,115,90
2/1, Milwaukee ,Wiggins,Towns,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,12,22,95,85
4/1,Philadelphia ,Muhammad,Dieng,Rubio,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,12,23,109,99
6/1, Denver ,Towns,Towns,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,12,24,78,74
8/1, Cleveland ,Wiggins,Towns,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,12,25,125,99
10/1, Dallas ,Wiggins,Wiggins,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,12,26,93,87
12/1, Oklahoma City ,Wiggins,Towns,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,12,27,101,96
13/1,Houston ,Wiggins,Towns,Rubio,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,12,28,107,104
15/1,Oklahoma City ,Wiggins,Towns,Bjelica,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,12,29,113,93
17/1, Phoenix ,Wiggins,Towns,Wiggins,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,W,13,29,117,87
19/1,New Orleans ,Wiggins,Towns,Rubio,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,13,30,114,99
20/1,Dallas ,Towns,Towns,Rubio,H,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,L,13,31,106,94
23/1, Memphis ,Muhammad,Towns,Rubio,A,Minnesota Timberwolves 2015-16 Regular Season NBA Schedule,W,14,31,106,101
