DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
19/4, Dallas ,Paul,Chandler,Paul,A,New Orleans Pelicans 2007-08 Postseason NBA Schedule,W,,,104,92
22/4, Dallas ,Paul,Chandler,Paul,A,New Orleans Pelicans 2007-08 Postseason NBA Schedule,W,,,127,103
25/4,Dallas ,Pargo,Chandler,Paul,H,New Orleans Pelicans 2007-08 Postseason NBA Schedule,L,,,97,87
27/4,Dallas ,West,West,Paul,H,New Orleans Pelicans 2007-08 Postseason NBA Schedule,W,,,97,84
29/4, Dallas ,West,Chandler,Paul,A,New Orleans Pelicans 2007-08 Postseason NBA Schedule,W,,,99,94
3/5, San Antonio ,West,Chandler,Paul,A,New Orleans Pelicans 2007-08 Postseason NBA Schedule,W,,,101,82
5/5, San Antonio ,Paul,Chandler,Paul,A,New Orleans Pelicans 2007-08 Postseason NBA Schedule,W,,,102,84
8/5,San Antonio ,Paul,West,Paul,H,New Orleans Pelicans 2007-08 Postseason NBA Schedule,L,,,110,99
11/5,San Antonio ,Paul,Paul,Paul,H,New Orleans Pelicans 2007-08 Postseason NBA Schedule,L,,,100,80
13/5, San Antonio ,West,West,Paul,A,New Orleans Pelicans 2007-08 Postseason NBA Schedule,W,,,101,79
15/5,San Antonio ,Paul,Paul,Paul,H,New Orleans Pelicans 2007-08 Postseason NBA Schedule,L,,,99,80
19/5, San Antonio ,West,Chandler,Paul,A,New Orleans Pelicans 2007-08 Postseason NBA Schedule,L,,,91,82
