DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
27/10, Milwaukee ,West,Okafor,Paul,A,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,W,1,0,95,91
29/10, Denver ,Paul,Okafor,Paul,A,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,W,2,0,101,95
30/10,San Antonio ,Paul,Paul,Paul,H,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,W,3,0,99,90
3/11,Houston ,Paul,Okafor,Paul,H,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,W,4,0,107,99
5/11, Miami ,Okafor,Okafor,Paul,A,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,W,5,0,96,93
6/11,Milwaukee ,West,Paul,Paul,H,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,W,6,0,87,81
9/11, LA ,Green,Okafor,Bayless,A,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,W,7,0,101,82
13/11, Portland ,West,Okafor,Paul,A,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,W,8,0,107,87
15/11,Dallas ,Paul,Okafor,Paul,H,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,L,8,1,98,95
17/11, Dallas ,Paul,Okafor,Paul,A,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,W,9,1,99,97
19/11, Cleveland ,West,West,Paul,A,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,W,10,1,108,101
21/11,Sacramento ,West,Okafor,Paul,H,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,W,11,1,75,71
22/11,LA ,West,Okafor,Paul,H,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,L,11,2,99,95
24/11,Utah ,Paul,Okafor,Paul,H,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,L,11,3,105,87
26/11,Portland ,Green,Okafor,Paul,H,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,W,12,3,97,78
28/11, San Antonio ,West,West,Paul,A,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,L,12,4,109,95
29/11,Oklahoma City ,West,Okafor,Paul,H,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,L,12,5,95,89
1/12, Charlotte ,West,Okafor,Paul,A,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,W,13,5,89,73
3/12, New York ,Ariza,Okafor,Paul,A,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,L,13,6,100,92
5/12,San Antonio ,Paul,Paul,Paul,H,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,L,13,7,109,84
8/12, Detroit ,West,Ariza,Paul,A,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,W,14,7,93,74
10/12, Oklahoma City ,West,West,Paul,A,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,L,14,8,97,92
12/12,Philadelphia ,Paul,Ariza,Paul,H,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,L,14,9,88,70
13/12,Miami ,West,West,Paul,H,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,L,14,10,96,84
15/12, Sacramento ,Paul,West,Paul,A,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,W,15,10,94,91
17/12, Utah ,West,Okafor,Paul,A,New Orleans Pelicans 2010-11 Regular Season NBA Schedule,W,16,10,100,71
