DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
30/10,Detroit ,Houston,Thomas,Eisley,H,New York Knicks 2002-03 Regular Season NBA Schedule,L,0,1,86,77
1/11,Philadelphia ,Thomas,Weatherspoon,Eisley,H,New York Knicks 2002-03 Regular Season NBA Schedule,L,0,2,98,86
2/11, Boston ,Houston,Thomas,Ward,A,New York Knicks 2002-03 Regular Season NBA Schedule,L,0,3,117,107
4/11, Milwaukee ,Houston,Thomas,Eisley,A,New York Knicks 2002-03 Regular Season NBA Schedule,L,0,4,97,88
6/11, Sacramento ,Houston,Harrington,Houston,A,New York Knicks 2002-03 Regular Season NBA Schedule,W,1,4,95,88
8/11,Indiana ,Thomas,Thomas,Thomas,H,New York Knicks 2002-03 Regular Season NBA Schedule,L,1,5,107,94
10/11, New Orleans ,Houston,Thomas,Eisley,A,New York Knicks 2002-03 Regular Season NBA Schedule,L,1,6,97,91
12/11, Utah ,Weatherspoon,Weatherspoon,Eisley,A,New York Knicks 2002-03 Regular Season NBA Schedule,L,1,7,108,87
16/11, Philadelphia ,Eisley,Eisley,Eisley,A,New York Knicks 2002-03 Regular Season NBA Schedule,L,1,8,93,92
18/11, Detroit ,Houston,Weatherspoon,Eisley,A,New York Knicks 2002-03 Regular Season NBA Schedule,W,2,8,94,91
22/11,New Orleans ,Sprewell,Weatherspoon,Eisley,H,New York Knicks 2002-03 Regular Season NBA Schedule,L,2,9,105,97
24/11, Minnesota ,Houston,Thomas,Eisley,A,New York Knicks 2002-03 Regular Season NBA Schedule,L,2,10,106,88
27/11,Toronto ,Houston,Harrington,Eisley,H,New York Knicks 2002-03 Regular Season NBA Schedule,W,3,10,87,81
30/11, New Orleans ,Houston,Harrington,Eisley,A,New York Knicks 2002-03 Regular Season NBA Schedule,W,4,10,92,86
2/12, Cleveland ,Houston,Weatherspoon,Sprewell,A,New York Knicks 2002-03 Regular Season NBA Schedule,W,5,10,125,93
4/12, Orlando ,Houston,Thomas,Eisley,A,New York Knicks 2002-03 Regular Season NBA Schedule,L,5,11,87,85
6/12,Boston ,Sprewell,Harrington,Sprewell,H,New York Knicks 2002-03 Regular Season NBA Schedule,L,5,12,91,80
7/12,Washington ,Thomas,Harrington,Eisley,H,New York Knicks 2002-03 Regular Season NBA Schedule,L,5,13,100,97
10/12, Seattle ,Houston,Harrington,Sprewell,A,New York Knicks 2002-03 Regular Season NBA Schedule,W,6,13,97,80
13/12,Miami ,Sprewell,Thomas,Sprewell,H,New York Knicks 2002-03 Regular Season NBA Schedule,W,7,13,97,92
14/12, Boston ,Houston,Weatherspoon,Houston,A,New York Knicks 2002-03 Regular Season NBA Schedule,L,7,14,113,90
17/12, New Jersey ,Houston,Weatherspoon,Eisley,A,New York Knicks 2002-03 Regular Season NBA Schedule,W,8,14,101,99
21/12,Milwaukee ,Houston,Thomas,Sprewell,H,New York Knicks 2002-03 Regular Season NBA Schedule,L,8,15,94,90
22/12, Miami ,Eisley,Weatherspoon,Sprewell,A,New York Knicks 2002-03 Regular Season NBA Schedule,L,8,16,92,84
27/12,Houston ,Sprewell,Weatherspoon,Ward,H,New York Knicks 2002-03 Regular Season NBA Schedule,W,9,16,99,83
28/12,Dallas ,Sprewell,Harrington,Ward,H,New York Knicks 2002-03 Regular Season NBA Schedule,L,9,17,107,82
30/12, San Antonio ,Houston,Doleac,Ward,A,New York Knicks 2002-03 Regular Season NBA Schedule,W,10,17,96,95
1/1, Toronto ,Thomas,Thomas,Ward,A,New York Knicks 2002-03 Regular Season NBA Schedule,W,11,17,95,75
3/1, Indiana ,Sprewell,Harrington,Sprewell,A,New York Knicks 2002-03 Regular Season NBA Schedule,W,12,17,98,96
5/1, Portland ,Houston,Weatherspoon,Ward,A,New York Knicks 2002-03 Regular Season NBA Schedule,L,12,18,92,89
6/1,Orlando ,Sprewell,Thomas,Ward,H,New York Knicks 2002-03 Regular Season NBA Schedule,L,12,19,103,100
8/1,Indiana ,Thomas,Harrington,Sprewell,H,New York Knicks 2002-03 Regular Season NBA Schedule,L,12,20,89,87
10/1,Philadelphia ,Houston,Harrington,Sprewell,H,New York Knicks 2002-03 Regular Season NBA Schedule,W,13,20,114,112
11/1, Washington ,Houston,Thomas,Ward,A,New York Knicks 2002-03 Regular Season NBA Schedule,L,13,21,89,84
13/1,Chicago ,Houston,Thomas,Ward,H,New York Knicks 2002-03 Regular Season NBA Schedule,L,13,22,101,94
14/1, Chicago ,Houston,Thomas,Eisley,A,New York Knicks 2002-03 Regular Season NBA Schedule,W,14,22,98,86
17/1,Detroit ,Thomas,Harrington,Anderson,H,New York Knicks 2002-03 Regular Season NBA Schedule,L,14,23,99,82
18/1,Atlanta ,Houston,Harrington,Eisley,H,New York Knicks 2002-03 Regular Season NBA Schedule,W,15,23,95,92
20/1, Miami ,Sprewell,Weatherspoon,Sprewell,A,New York Knicks 2002-03 Regular Season NBA Schedule,W,16,23,72,65
22/1, Denver ,Houston,Weatherspoon,Houston,A,New York Knicks 2002-03 Regular Season NBA Schedule,W,17,23,97,88
24/1, Dallas ,Sprewell,Thomas,Eisley,A,New York Knicks 2002-03 Regular Season NBA Schedule,L,17,24,101,90
