DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
20/4, Boston ,Anthony,Martin,Felton,A,New York Knicks 2012-13 Postseason NBA Schedule,W,,,85,78
23/4, Boston ,Anthony,Martin,Prigioni,A,New York Knicks 2012-13 Postseason NBA Schedule,W,,,87,71
26/4,Boston ,Anthony,Chandler,Felton,H,New York Knicks 2012-13 Postseason NBA Schedule,W,,,90,76
28/4,Boston ,Anthony,Shumpert,Felton,H,New York Knicks 2012-13 Postseason NBA Schedule,L,,,97,90
1/5, Boston ,Anthony,Chandler,Felton,A,New York Knicks 2012-13 Postseason NBA Schedule,L,,,92,86
3/5,Boston ,Anthony,Chandler,Felton,H,New York Knicks 2012-13 Postseason NBA Schedule,W,,,88,80
5/5, Indiana ,Anthony,Anthony,Prigioni,A,New York Knicks 2012-13 Postseason NBA Schedule,L,,,102,95
7/5, Indiana ,Anthony,Anthony,Prigioni,A,New York Knicks 2012-13 Postseason NBA Schedule,W,,,105,79
11/5,Indiana ,Anthony,Shumpert,Prigioni,H,New York Knicks 2012-13 Postseason NBA Schedule,L,,,82,71
14/5,Indiana ,Anthony,Chandler,Felton,H,New York Knicks 2012-13 Postseason NBA Schedule,L,,,93,82
16/5, Indiana ,Anthony,Chandler,Felton,A,New York Knicks 2012-13 Postseason NBA Schedule,W,,,85,75
18/5,Indiana ,Anthony,Smith,Prigioni,H,New York Knicks 2012-13 Postseason NBA Schedule,L,,,106,99
