DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
23/4, Sacramento ,Allen,James,Daniels,A,Oklahoma City Thunder 2004-05 Postseason NBA Schedule,W,,,87,82
26/4, Sacramento ,Allen,James,Allen,A,Oklahoma City Thunder 2004-05 Postseason NBA Schedule,W,,,105,93
29/4,Sacramento ,Allen,James,Allen,H,Oklahoma City Thunder 2004-05 Postseason NBA Schedule,L,,,116,104
1/5,Sacramento ,Allen,Lewis,Allen,H,Oklahoma City Thunder 2004-05 Postseason NBA Schedule,W,,,115,102
3/5, Sacramento ,Allen,Collison,Daniels,A,Oklahoma City Thunder 2004-05 Postseason NBA Schedule,W,,,122,118
8/5,San Antonio ,Lewis,Collison,Ridnour,H,Oklahoma City Thunder 2004-05 Postseason NBA Schedule,L,,,103,81
10/5,San Antonio ,Allen,Evans,Daniels,H,Oklahoma City Thunder 2004-05 Postseason NBA Schedule,L,,,108,91
12/5, San Antonio ,Allen,Lewis,Allen,A,Oklahoma City Thunder 2004-05 Postseason NBA Schedule,W,,,92,91
15/5, San Antonio ,Allen,Wilkins,Daniels,A,Oklahoma City Thunder 2004-05 Postseason NBA Schedule,W,,,101,89
17/5,San Antonio ,Allen,Fortson,Allen,H,Oklahoma City Thunder 2004-05 Postseason NBA Schedule,L,,,103,90
19/5, San Antonio ,Allen,Evans,Daniels,A,Oklahoma City Thunder 2004-05 Postseason NBA Schedule,L,,,98,96
