DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
2/11, LA ,Allen,Lewis,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,0,1,101,93
4/11, Minnesota ,Allen,Allen,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,1,1,107,102
8/11,Memphis ,Allen,Evans,Allen,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,1,2,94,69
9/11,Cleveland ,Allen,Fortson,Allen,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,1,3,112,85
11/11,Washington ,Lewis,Evans,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,1,4,137,96
13/11,Toronto ,Lewis,Collison,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,2,4,126,121
15/11,New Jersey ,Lewis,Collison,Allen,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,2,5,109,99
16/11,Boston ,Allen,Collison,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,3,5,113,100
18/11, Chicago ,Allen,Allen,Allen,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,4,5,98,84
20/11, Sacramento ,Allen,Collison,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,5,5,106,104
22/11, Utah ,Lewis,Lewis,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,5,6,93,87
24/11,Los Angeles ,Lewis,Evans,Cleaves,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,5,7,108,96
26/11," NO/Oklahoma City
 ",Lewis,Evans,Collison,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,5,8,105,99
30/11, Charlotte ,Allen,Evans,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,6,8,104,94
2/12, Cleveland ,Lewis,Collison,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,7,8,115,108
4/12, Indiana ,Allen,Allen,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,8,8,107,102
6/12, New York ,Allen,Evans,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,8,9,104,101
9/12,Utah ,Lewis,Evans,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,9,9,106,90
10/12, Sacramento ,Allen,Wilkins,Allen,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,9,10,123,104
13/12, Golden State ,Allen,Evans,Allen,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,9,11,110,107
15/12, Houston ,Allen,Fortson,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,9,12,104,98
16/12,Portland ,Lewis,Lewis,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,10,12,111,99
19/12, Washington ,Lewis,Potapenko,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,11,12,111,101
20/12,Phoenix ,Allen,Evans,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,11,13,111,83
23/12, Dallas ,Radmanovic,Lewis,Lewis,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,11,14,101,98
26/12, Boston ,Murray,Collison,Allen,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,12,14,118,111
28/12,Minnesota ,Allen,Evans,Lewis,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,12,15,108,95
29/12,Denver ,Allen,Evans,Wilkins,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,13,15,112,105
31/12, Memphis ,Allen,Evans,Lewis,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,13,16,100,96
2/1,Indiana ,Allen,Evans,Murray,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,13,17,115,96
4/1,Chicago ,Lewis,Collison,Collison,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,14,17,101,97
6/1,Detroit ,Lewis,Lewis,Murray,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,14,18,97,85
8/1,New York ,Allen,Petro,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,14,19,120,116
9/1,Philadelphia ,Allen,Radmanovic,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,14,20,107,98
11/1, Orlando ,Lewis,Radmanovic,Radmanovic,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,15,20,113,104
13/1, Miami ,Lewis,Swift,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,15,21,117,104
14/1,LA ,Lewis,Wilkins,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,15,22,98,72
16/1,Golden State ,Ridnour,Ridnour,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,15,23,109,93
20/1, Toronto ,Lewis,Evans,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,15,24,121,113
22/1,Phoenix ,Allen,Radmanovic,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,16,24,152,149
25/1,Utah ,Allen,Swift,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,17,24,113,94
26/1, Dallas ,Lewis,Lewis,Murray,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,17,25,104,97
28/1, New Jersey ,Allen,Swift,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,18,25,113,104
30/1, Portland ,Lewis,Swift,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,18,26,116,111
1/2, Golden State ,Allen,Radmanovic,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,19,26,111,107
3/2,Houston ,Allen,Swift,Allen,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,19,27,100,77
4/2,Dallas ,Allen,Swift,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,19,28,110,91
6/2,Charlotte ,Allen,Evans,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,19,29,119,106
8/2,"NO/Oklahoma City
 ",Lewis,Collison,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,19,30,109,102
10/2, Atlanta ,Wilkins,Collison,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,20,30,99,91
12/2, Denver ,Allen,Wilkins,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,20,31,120,112
14/2,Milwaukee ,Lewis,Swift,Lewis,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,20,32,106,91
15/2,Minnesota ,Allen,Swift,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,20,33,102,92
21/2,San Antonio ,Allen,Collison,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,20,34,103,78
22/2,Atlanta ,Allen,Lewis,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,21,34,114,109
24/2,Orlando ,Wilkins,Petro,Wilkins,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,21,35,102,89
25/2,Miami ,Lewis,Lewis,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,21,36,115,106
28/2," NO/Oklahoma City
 ",Allen,Collison,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,22,36,114,104
3/3, Detroit ,Allen,Allen,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,22,37,98,96
5/3, Utah ,Lewis,Swift,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,23,37,113,81
8/3, Memphis ,Allen,Petro,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,23,38,99,74
10/3, Minnesota ,Allen,Moore,Watson,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,24,38,107,96
12/3,Los Angeles ,Lewis,Allen,Watson,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,25,38,120,113
14/3, Phoenix ,Allen,Petro,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,25,39,129,120
16/3, Philadelphia ,Allen,Petro,Allen,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,26,39,102,98
21/3,Sacramento ,Allen,Wilcox,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,26,40,105,96
22/3, Milwaukee ,Wilcox,Wilcox,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,27,40,114,105
24/3,Denver ,Ridnour,Swift,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,27,41,117,104
26/3, San Antonio ,Allen,Wilcox,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,28,41,106,102
28/3,Memphis ,Allen,Lewis,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,29,41,98,97
29/3,Houston ,Watson,Wilcox,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,29,42,115,87
31/3, Los Angeles ,Allen,Allen,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,29,43,106,93
2/4, Portland ,Allen,Wilcox,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,30,43,122,83
4/4, Houston ,Allen,Wilcox,Wilkins,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,31,43,104,87
7/4,Portland ,Allen,Wilcox,Watson,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,32,43,121,108
9/4, Phoenix ,Allen,Wilcox,Watson,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,33,43,116,114
11/4,San Antonio ,Lewis,Collison,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,33,44,104,95
12/4,"NO/Oklahoma City
 ",Allen,Wilcox,Allen,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,33,45,104,99
14/4, LA ,Allen,Allen,Allen,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,33,46,101,97
16/4,LA ,Allen,Wilcox,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,34,46,114,98
18/4,Sacramento ,Allen,Collison,Ridnour,H,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,L,34,47,111,105
19/4, Denver ,Allen,Wilcox,Ridnour,A,Oklahoma City Thunder 2005-06 Regular Season NBA Schedule,W,35,47,109,98
