DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
19/4, Philadelphia ,Howard,Howard,Alston,A,Orlando Magic 2008-09 Postseason NBA Schedule,L,,,100,98
22/4, Philadelphia ,Lee,Howard,Lewis,A,Orlando Magic 2008-09 Postseason NBA Schedule,W,,,96,87
24/4,Philadelphia ,Howard,Howard,Lee,H,Orlando Magic 2008-09 Postseason NBA Schedule,L,,,96,94
26/4,Philadelphia ,Howard,Howard,Alston,H,Orlando Magic 2008-09 Postseason NBA Schedule,W,,,84,81
28/4, Philadelphia ,Howard,Howard,Alston,A,Orlando Magic 2008-09 Postseason NBA Schedule,W,,,91,78
30/4,Philadelphia ,Lewis,Gortat,Alston,H,Orlando Magic 2008-09 Postseason NBA Schedule,W,,,114,89
4/5,Boston ,Lewis,Howard,Alston,H,Orlando Magic 2008-09 Postseason NBA Schedule,W,,,95,90
6/5,Boston ,Lewis,Howard,Johnson,H,Orlando Magic 2008-09 Postseason NBA Schedule,L,,,112,94
8/5, Boston ,Lewis,Howard,Turkoglu,A,Orlando Magic 2008-09 Postseason NBA Schedule,W,,,117,96
10/5, Boston ,Howard,Howard,Redick,A,Orlando Magic 2008-09 Postseason NBA Schedule,L,,,95,94
12/5,Boston ,Lewis,Howard,Turkoglu,H,Orlando Magic 2008-09 Postseason NBA Schedule,L,,,92,88
14/5, Boston ,Howard,Howard,Lewis,A,Orlando Magic 2008-09 Postseason NBA Schedule,W,,,83,75
17/5,Boston ,Turkoglu,Howard,Turkoglu,H,Orlando Magic 2008-09 Postseason NBA Schedule,W,,,101,82
20/5,Cleveland ,Howard,Howard,Turkoglu,H,Orlando Magic 2008-09 Postseason NBA Schedule,W,,,107,106
22/5,Cleveland ,Lewis,Howard,Turkoglu,H,Orlando Magic 2008-09 Postseason NBA Schedule,L,,,96,95
24/5, Cleveland ,Howard,Turkoglu,Turkoglu,A,Orlando Magic 2008-09 Postseason NBA Schedule,W,,,99,89
26/5, Cleveland ,Howard,Howard,Turkoglu,A,Orlando Magic 2008-09 Postseason NBA Schedule,W,,,116,114
28/5,Cleveland ,Turkoglu,Howard,Alston,H,Orlando Magic 2008-09 Postseason NBA Schedule,L,,,112,102
30/5, Cleveland ,Howard,Howard,Turkoglu,A,Orlando Magic 2008-09 Postseason NBA Schedule,W,,,103,90
4/6,Los Angeles ,Pietrus,Howard,Nelson,H,Orlando Magic 2008-09 Postseason NBA Schedule,L,,,100,75
7/6,Los Angeles ,Lewis,Howard,Lewis,H,Orlando Magic 2008-09 Postseason NBA Schedule,L,,,101,96
9/6, Los Angeles ,Howard,Howard,Turkoglu,A,Orlando Magic 2008-09 Postseason NBA Schedule,W,,,108,104
11/6, Los Angeles ,Turkoglu,Howard,Lewis,A,Orlando Magic 2008-09 Postseason NBA Schedule,L,,,99,91
14/6, Los Angeles ,Lewis,Lewis,Lewis,A,Orlando Magic 2008-09 Postseason NBA Schedule,L,,,99,86
