DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
23/12, Miami ,Fournier,Vucevic,Anthony,A,Orlando Magic 2020-21 Regular Season NBA Schedule,W,1,0,113,107
26/12,Washington ,Ross,Vucevic,Fultz,H,Orlando Magic 2020-21 Regular Season NBA Schedule,W,2,0,130,120
27/12,Washington ,Fultz,Vucevic,Vucevic,H,Orlando Magic 2020-21 Regular Season NBA Schedule,W,3,0,120,113
29/12,Oklahoma City ,Vucevic,Vucevic,Fultz,H,Orlando Magic 2020-21 Regular Season NBA Schedule,W,4,0,118,107
31/12, Philadelphia ,Vucevic,Vucevic,Fultz,A,Orlando Magic 2020-21 Regular Season NBA Schedule,L,4,1,116,92
2/1, Oklahoma City ,Vucevic,Vucevic,Fultz,A,Orlando Magic 2020-21 Regular Season NBA Schedule,L,4,2,108,99
4/1, Cleveland ,Gordon,Birch,Fultz,A,Orlando Magic 2020-21 Regular Season NBA Schedule,W,5,2,103,83
6/1, Cleveland ,Ross,Birch,Vucevic,A,Orlando Magic 2020-21 Regular Season NBA Schedule,W,6,2,105,94
8/1,Houston ,Vucevic,Vucevic,Bone,H,Orlando Magic 2020-21 Regular Season NBA Schedule,L,6,3,132,90
9/1,Dallas ,Vucevic,Vucevic,Gordon,H,Orlando Magic 2020-21 Regular Season NBA Schedule,L,6,4,112,98
11/1, Milwaukee ,Vucevic,Vucevic,Gordon,A,Orlando Magic 2020-21 Regular Season NBA Schedule,L,6,5,121,99
15/1,Boston ,Gordon,Birch,Vucevic,H,Orlando Magic 2020-21 Regular Season NBA Schedule,L,6,6,124,97
16/1,Brooklyn ,Vucevic,Vucevic,Anthony,H,Orlando Magic 2020-21 Regular Season NBA Schedule,L,6,7,122,115
18/1,New York ,Vucevic,Gordon,Gordon,H,Orlando Magic 2020-21 Regular Season NBA Schedule,L,6,8,91,84
20/1,Minnesota ,Vucevic,Gordon,Gordon,H,Orlando Magic 2020-21 Regular Season NBA Schedule,W,7,8,97,96
22/1,Indiana ,Fournier,Vucevic,Fournier,H,Orlando Magic 2020-21 Regular Season NBA Schedule,L,7,9,120,118
24/1, Charlotte ,Vucevic,Vucevic,Fournier,A,Orlando Magic 2020-21 Regular Season NBA Schedule,L,7,10,107,104
25/1, Charlotte ,Vucevic,Vucevic,Vucevic,A,Orlando Magic 2020-21 Regular Season NBA Schedule,W,8,10,117,108
27/1, Sacramento ,Vucevic,Birch,Anthony,A,Orlando Magic 2020-21 Regular Season NBA Schedule,L,8,11,121,107
29/1, LA ,Ross,Gordon,Anthony,A,Orlando Magic 2020-21 Regular Season NBA Schedule,L,8,12,116,90
31/1,Toronto ,Anthony,Vucevic,Anthony,H,Orlando Magic 2020-21 Regular Season NBA Schedule,L,8,13,115,102
2/2, Toronto ,Vucevic,Vucevic,Vucevic,A,Orlando Magic 2020-21 Regular Season NBA Schedule,L,8,14,123,108
5/2, Chicago ,Vucevic,Vucevic,Anthony,A,Orlando Magic 2020-21 Regular Season NBA Schedule,W,9,14,123,119
6/2, Chicago ,Vucevic,Vucevic,Anthony,A,Orlando Magic 2020-21 Regular Season NBA Schedule,L,9,15,118,92
9/2,Portland ,Vucevic,Vucevic,Okeke,H,Orlando Magic 2020-21 Regular Season NBA Schedule,L,9,16,106,97
11/2,Golden State ,Vucevic,Vucevic,Vucevic,H,Orlando Magic 2020-21 Regular Season NBA Schedule,L,9,17,111,105
12/2,Sacramento ,Vucevic,Vucevic,Carter-Williams,H,Orlando Magic 2020-21 Regular Season NBA Schedule,W,10,17,123,112
14/2,Phoenix ,Ross,Bamba,Ross,H,Orlando Magic 2020-21 Regular Season NBA Schedule,L,10,18,109,90
17/2, New York ,Ross,Vucevic,Carter-Williams,A,Orlando Magic 2020-21 Regular Season NBA Schedule,W,11,18,107,89
19/2, Golden State ,Vucevic,Vucevic,Vucevic,A,Orlando Magic 2020-21 Regular Season NBA Schedule,W,12,18,124,120
21/2, Detroit ,Vucevic,Vucevic,Fournier,A,Orlando Magic 2020-21 Regular Season NBA Schedule,W,13,18,105,96
23/2, Detroit ,Vucevic,Vucevic,Carter-Williams,A,Orlando Magic 2020-21 Regular Season NBA Schedule,L,13,19,105,93
25/2,Brooklyn ,Vucevic,Vucevic,Carter-Williams,H,Orlando Magic 2020-21 Regular Season NBA Schedule,L,13,20,129,92
27/2, Utah ,Vucevic,Vucevic,Randle,A,Orlando Magic 2020-21 Regular Season NBA Schedule,L,13,21,124,109
1/3, Dallas ,Vucevic,Vucevic,Vucevic,A,Orlando Magic 2020-21 Regular Season NBA Schedule,L,13,22,130,124
