DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
20/4, New Orleans ,Iverson,Van,Snow,A,Philadelphia 76ers 2002-03 Postseason NBA Schedule,W,,,98,90
23/4, New Orleans ,Iverson,Thomas,Coleman,A,Philadelphia 76ers 2002-03 Postseason NBA Schedule,W,,,90,85
26/4,New Orleans ,Iverson,Van,Iverson,H,Philadelphia 76ers 2002-03 Postseason NBA Schedule,L,,,99,85
28/4,New Orleans ,Iverson,Thomas,Snow,H,Philadelphia 76ers 2002-03 Postseason NBA Schedule,W,,,96,87
30/4, New Orleans ,Iverson,Thomas,Iverson,A,Philadelphia 76ers 2002-03 Postseason NBA Schedule,L,,,93,91
2/5,New Orleans ,Iverson,Van,Snow,H,Philadelphia 76ers 2002-03 Postseason NBA Schedule,W,,,107,103
6/5,Detroit ,Iverson,Coleman,Iverson,H,Philadelphia 76ers 2002-03 Postseason NBA Schedule,L,,,98,87
8/5,Detroit ,Iverson,Thomas,Iverson,H,Philadelphia 76ers 2002-03 Postseason NBA Schedule,L,,,104,97
10/5, Detroit ,Iverson,Thomas,Iverson,A,Philadelphia 76ers 2002-03 Postseason NBA Schedule,W,,,93,83
11/5, Detroit ,Iverson,Coleman,Iverson,A,Philadelphia 76ers 2002-03 Postseason NBA Schedule,W,,,95,82
14/5,Detroit ,Coleman,Coleman,Iverson,H,Philadelphia 76ers 2002-03 Postseason NBA Schedule,L,,,78,77
16/5, Detroit ,Iverson,Thomas,Iverson,A,Philadelphia 76ers 2002-03 Postseason NBA Schedule,L,,,93,89
