DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
18/10,Boston ,Harden,Embiid,Harden,H,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,L,0,1,126,117
20/10, Milwaukee ,Harden,Embiid,Harden,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,L,0,2,90,88
22/10, San Antonio ,Embiid,Embiid,Harden,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,L,0,3,114,105
24/10, Indiana ,Harden,Harden,Harden,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,1,3,120,106
26/10,Toronto ,Maxey,Harris,Harden,H,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,L,1,4,119,109
28/10,Toronto ,Maxey,Maxey,Melton,H,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,2,4,112,90
29/10,Chicago ,Embiid,Embiid,Harden,H,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,3,4,114,109
31/10,Washington ,Maxey,Harden,Harden,H,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,4,4,118,111
2/11, Washington ,Maxey,Harris,Harden,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,L,4,5,121,111
4/11, New York ,Maxey,Harris,Melton,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,L,4,6,106,104
7/11, Phoenix ,Embiid,Embiid,Harris,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,5,6,100,88
10/11,Atlanta ,Embiid,Embiid,Maxey,H,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,L,5,7,104,95
12/11, Atlanta ,Embiid,Embiid,Maxey,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,6,7,121,109
13/11, Utah ,Embiid,Embiid,Embiid,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,7,7,105,98
18/11, Milwaukee ,Embiid,Embiid,Embiid,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,8,7,110,102
19/11, Minnesota ,Embiid,Embiid,Embiid,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,L,8,8,112,109
22/11, Brooklyn ,Harris,Reed,Milton,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,9,8,115,106
23/11,Charlotte ,Milton,Reed,Milton,H,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,L,9,9,107,101
25/11,Orlando ,Milton,Harris,Milton,H,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,10,9,107,99
27/11,Orlando ,Milton,Reed,Milton,H,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,11,9,133,103
28/11, Atlanta ,Embiid,Harris,Embiid,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,12,9,104,101
30/11,Cleveland ,Embiid,Embiid,Embiid,H,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,L,12,10,113,85
2/12,Memphis ,Embiid,Embiid,Embiid,H,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,L,12,11,117,109
5/12,Houston ,Embiid,Melton,Harden,H,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,L,12,12,132,123
9/12, Los Angeles ,Embiid,Embiid,Harden,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,13,12,133,122
11/12, Charlotte ,Embiid,Embiid,Harden,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,14,12,131,113
13/12, Sacramento ,Embiid,Embiid,Harden,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,15,12,123,103
16/12, Golden State ,Embiid,Embiid,Harden,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,16,12,118,106
19/12, Toronto ,Embiid,Embiid,Harden,A,Philadelphia 76ers 2022-23 Regular Season NBA Schedule,W,17,12,104,101
