DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
31/10,Los Angeles ,Barbosa,Thomas,Nash,H,Phoenix Suns 2006-07 Regular Season NBA Schedule,L,0,1,114,106
1/11, LA ,Marion,Marion,Nash,A,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,1,1,112,104
3/11, Utah ,Barbosa,Marion,Nash,A,Phoenix Suns 2006-07 Regular Season NBA Schedule,L,1,2,108,104
4/11,LA ,Nash,Marion,Nash,H,Phoenix Suns 2006-07 Regular Season NBA Schedule,L,1,3,114,108
8/11,San Antonio ,Bell,Marion,Nash,H,Phoenix Suns 2006-07 Regular Season NBA Schedule,L,1,4,111,106
9/11, Dallas ,Barbosa,Stoudemire,Nash,A,Phoenix Suns 2006-07 Regular Season NBA Schedule,L,1,5,119,112
11/11, Memphis ,Stoudemire,Stoudemire,Barbosa,A,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,2,5,96,87
17/11, Philadelphia ,Barbosa,Barbosa,Diaw,A,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,3,5,106,94
18/11,Utah ,Marion,Stoudemire,Barbosa,H,Phoenix Suns 2006-07 Regular Season NBA Schedule,L,3,6,120,117
20/11,Golden State ,Bell,Marion,Nash,H,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,4,6,113,110
22/11, NO/Oklahoma City ,Nash,Thomas,Nash,A,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,5,6,92,83
24/11, New Jersey ,Nash,Stoudemire,Nash,A,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,6,6,99,93
26/11,Portland ,Bell,Stoudemire,Nash,H,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,7,6,119,101
29/11, Houston ,Stoudemire,Stoudemire,Nash,A,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,8,6,102,91
1/12, Milwaukee ,Marion,Marion,Nash,A,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,9,6,122,116
5/12, Sacramento ,Barbosa,Stoudemire,Nash,A,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,10,6,127,102
7/12,New Jersey ,Nash,Stoudemire,Diaw,H,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,11,6,161,157
8/12,Boston ,Marion,Marion,Nash,H,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,12,6,116,111
10/12,Charlotte ,Stoudemire,Stoudemire,Nash,H,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,13,6,114,84
11/12,Orlando ,Stoudemire,Marion,Nash,H,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,14,6,103,89
13/12,Miami ,Marion,Marion,Nash,H,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,15,6,99,89
15/12, Golden State ,Stoudemire,Diaw,Diaw,A,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,16,6,105,101
16/12,Sacramento ,Stoudemire,Stoudemire,Nash,H,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,17,6,105,98
19/12, Toronto ,Stoudemire,Stoudemire,Nash,A,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,18,6,115,98
22/12, Washington ,Nash,Marion,Nash,A,Phoenix Suns 2006-07 Regular Season NBA Schedule,L,18,7,144,139
26/12, Portland ,Marion,Marion,Diaw,A,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,19,7,110,87
28/12,Dallas ,Stoudemire,Stoudemire,Nash,H,Phoenix Suns 2006-07 Regular Season NBA Schedule,L,19,8,101,99
29/12, New York ,Bell,Stoudemire,Nash,A,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,20,8,108,86
31/12,Detroit ,Nash,Stoudemire,Nash,H,Phoenix Suns 2006-07 Regular Season NBA Schedule,W,21,8,108,101
