DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
18/4, Portland ,Nash,Richardson,Nash,A,Phoenix Suns 2009-10 Postseason NBA Schedule,L,,,105,100
20/4, Portland ,Richardson,Hill,Nash,A,Phoenix Suns 2009-10 Postseason NBA Schedule,W,,,119,90
22/4,Portland ,Richardson,Richardson,Nash,H,Phoenix Suns 2009-10 Postseason NBA Schedule,W,,,108,89
24/4,Portland ,Stoudemire,Hill,Nash,H,Phoenix Suns 2009-10 Postseason NBA Schedule,L,,,96,87
26/4, Portland ,Frye,Frye,Nash,A,Phoenix Suns 2009-10 Postseason NBA Schedule,W,,,107,88
29/4,Portland ,Richardson,Hill,Nash,H,Phoenix Suns 2009-10 Postseason NBA Schedule,W,,,99,90
3/5, San Antonio ,Nash,Stoudemire,Nash,A,Phoenix Suns 2009-10 Postseason NBA Schedule,W,,,111,102
5/5, San Antonio ,Stoudemire,Stoudemire,Nash,A,Phoenix Suns 2009-10 Postseason NBA Schedule,W,,,110,102
7/5,San Antonio ,Dragic,Nash,Nash,H,Phoenix Suns 2009-10 Postseason NBA Schedule,W,,,110,96
9/5,San Antonio ,Stoudemire,Richardson,Nash,H,Phoenix Suns 2009-10 Postseason NBA Schedule,W,,,107,101
17/5,Los Angeles ,Stoudemire,Richardson,Nash,H,Phoenix Suns 2009-10 Postseason NBA Schedule,L,,,128,107
19/5,Los Angeles ,Richardson,Stoudemire,Nash,H,Phoenix Suns 2009-10 Postseason NBA Schedule,L,,,124,112
23/5, Los Angeles ,Stoudemire,Stoudemire,Nash,A,Phoenix Suns 2009-10 Postseason NBA Schedule,W,,,118,109
25/5, Los Angeles ,Stoudemire,Stoudemire,Nash,A,Phoenix Suns 2009-10 Postseason NBA Schedule,W,,,115,106
27/5,Los Angeles ,Nash,Frye,Nash,H,Phoenix Suns 2009-10 Postseason NBA Schedule,L,,,103,101
29/5, Los Angeles ,Stoudemire,Frye,Nash,A,Phoenix Suns 2009-10 Postseason NBA Schedule,L,,,111,103
