DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
26/12, Philadelphia ,Aldridge,Camby,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,1,0,107,103
27/12, Sacramento ,Wallace,Camby,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,2,0,101,79
29/12, Denver ,Matthews,Camby,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,3,0,111,102
1/1,LA ,Crawford,Aldridge,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,3,1,93,88
3/1,Oklahoma City ,Aldridge,Wallace,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,4,1,103,93
5/1, Los Angeles ,Wallace,Aldridge,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,5,1,107,96
6/1,Phoenix ,Aldridge,Camby,Crawford,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,5,2,102,77
8/1, Cleveland ,Aldridge,Camby,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,6,2,98,78
10/1, LA ,Wallace,Camby,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,7,2,105,97
11/1, Orlando ,Crawford,Aldridge,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,7,3,107,104
13/1,San Antonio ,Aldridge,Wallace,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,7,4,99,83
14/1,Houston ,Batum,Aldridge,Aldridge,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,7,5,107,105
16/1,New Orleans ,Aldridge,Aldridge,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,8,5,84,77
18/1,Atlanta ,Crawford,Aldridge,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,8,6,92,89
20/1,Toronto ,Aldridge,Aldridge,Aldridge,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,9,6,94,84
21/1,Detroit ,Aldridge,Batum,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,9,7,94,91
23/1, Sacramento ,Crawford,Aldridge,Crawford,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,10,7,101,89
24/1, Memphis ,Aldridge,Camby,Crawford,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,11,7,97,84
25/1,Golden State ,Aldridge,Camby,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,11,8,101,93
27/1, Phoenix ,Aldridge,Camby,Crawford,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,12,8,109,71
30/1,Utah ,Aldridge,Wallace,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,12,9,93,89
1/2, Charlotte ,Crawford,Camby,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,13,9,112,68
2/2,Sacramento ,Aldridge,Aldridge,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,13,10,95,92
4/2, Denver ,Batum,Camby,Crawford,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,14,10,117,97
6/2, Oklahoma City ,Aldridge,Camby,Crawford,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,14,11,111,107
8/2, Houston ,Crawford,Wallace,Crawford,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,14,12,103,96
10/2,New Orleans ,Crawford,Aldridge,Crawford,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,15,12,94,86
11/2,Dallas ,Aldridge,Aldridge,Batum,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,15,13,97,94
14/2, Washington ,Batum,Camby,Wallace,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,15,14,124,109
15/2,Golden State ,Wallace,Camby,Crawford,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,16,14,93,91
16/2, LA ,Batum,Batum,Wallace,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,16,15,74,71
18/2, Atlanta ,Batum,Aldridge,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,17,15,97,77
20/2,Los Angeles ,Aldridge,Camby,Batum,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,17,16,103,92
21/2, San Antonio ,Aldridge,Wallace,Crawford,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,18,16,137,97
29/02,Denver ,Crawford,Aldridge,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,18,17,104,95
1/3, Miami ,Aldridge,Matthews,Aldridge,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,18,18,107,93
3/3, Minnesota ,Batum,Wallace,Aldridge,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,18,19,122,110
5/3, New Orleans ,Batum,Camby,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,19,19,86,74
7/3,Minnesota ,Felton,Wallace,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,19,20,106,94
9/3,Boston ,Aldridge,Camby,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,19,21,104,86
10/3,Washington ,Aldridge,Aldridge,Crawford,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,20,21,110,99
13/3,Indiana ,Aldridge,Wallace,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,20,22,92,75
14/3,New York ,Wallace,Wallace,Wallace,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,20,23,121,79
16/3,Chicago ,Aldridge,Batum,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,21,23,100,89
18/3,Oklahoma City ,Crawford,Przybilla,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,21,24,111,95
20/3, Milwaukee ,Aldridge,Aldridge,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,21,25,116,87
22/3, Memphis ,Batum,Matthews,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,22,25,97,93
23/3,Los Angeles ,Aldridge,Aldridge,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,22,26,103,96
25/3, Golden State ,Felton,Aldridge,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,23,26,90,87
27/3, Oklahoma City ,Hickson,Aldridge,Flynn,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,23,27,109,95
29/3, New Orleans ,Aldridge,Aldridge,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,24,27,99,93
30/3,LA ,Hickson,Hickson,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,24,28,98,97
1/4, Minnesota ,Aldridge,Hickson,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,25,28,119,106
2/4, Utah ,Matthews,Batum,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,25,29,102,97
4/4, New Jersey ,Aldridge,Batum,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,26,29,101,88
6/4,Dallas ,Felton,Aldridge,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,27,29,99,97
7/4,Milwaukee ,Aldridge,Przybilla,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,27,30,116,94
9/4, Houston ,Aldridge,Hickson,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,27,31,94,89
11/4, Golden State ,Crawford,Przybilla,Felton,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,W,28,31,118,110
13/4, Dallas ,Batum,Hickson,Flynn,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,28,32,97,94
15/4,Sacramento ,Matthews,Hickson,Flynn,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,28,33,104,103
16/4,Phoenix ,Hickson,Hickson,Flynn,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,28,34,125,107
18/4, Utah ,Matthews,Hickson,Flynn,A,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,28,35,112,91
21/4,Memphis ,Hickson,Hickson,Smith,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,28,36,93,89
23/4,San Antonio ,Matthews,Hickson,Felton,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,28,37,124,89
26/4,Utah ,Hickson,Hickson,Flynn,H,Portland Trail Blazers 2011-12 Regular Season NBA Schedule,L,28,38,96,94
