DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
20/4,Houston ,Aldridge,Aldridge,Lillard,H,Portland Trail Blazers 2013-14 Postseason NBA Schedule,W,,,122,120
23/4,Houston ,Aldridge,Lopez,Lillard,H,Portland Trail Blazers 2013-14 Postseason NBA Schedule,W,,,112,105
25/4, Houston ,Lillard,Aldridge,Lillard,A,Portland Trail Blazers 2013-14 Postseason NBA Schedule,L,,,121,116
27/4, Houston ,Aldridge,Lopez,Lillard,A,Portland Trail Blazers 2013-14 Postseason NBA Schedule,W,,,123,120
30/4,Houston ,Matthews,Lillard,Lillard,H,Portland Trail Blazers 2013-14 Postseason NBA Schedule,L,,,108,98
2/5, Houston ,Aldridge,Aldridge,Batum,A,Portland Trail Blazers 2013-14 Postseason NBA Schedule,W,,,99,98
6/5,San Antonio ,Aldridge,Aldridge,Williams,H,Portland Trail Blazers 2013-14 Postseason NBA Schedule,L,,,116,92
8/5,San Antonio ,Batum,Aldridge,Lillard,H,Portland Trail Blazers 2013-14 Postseason NBA Schedule,L,,,114,97
10/5, San Antonio ,Matthews,Aldridge,Lillard,A,Portland Trail Blazers 2013-14 Postseason NBA Schedule,L,,,118,103
12/5, San Antonio ,Lillard,Batum,Batum,A,Portland Trail Blazers 2013-14 Postseason NBA Schedule,W,,,103,92
14/5,San Antonio ,Aldridge,Batum,Lillard,H,Portland Trail Blazers 2013-14 Postseason NBA Schedule,L,,,104,82
