DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
19/4, Utah ,Webber,Webber,Jackson,A,Sacramento Kings 2002-03 Postseason NBA Schedule,W,,,96,90
21/4, Utah ,Stojakovic,Divac,Jackson,A,Sacramento Kings 2002-03 Postseason NBA Schedule,W,,,108,95
26/4,Utah ,Webber,Webber,Bibby,H,Sacramento Kings 2002-03 Postseason NBA Schedule,L,,,107,104
28/4,Utah ,Stojakovic,Webber,Bibby,H,Sacramento Kings 2002-03 Postseason NBA Schedule,W,,,99,82
30/4, Utah ,Webber,Webber,Bibby,A,Sacramento Kings 2002-03 Postseason NBA Schedule,W,,,111,91
6/5,Dallas ,Stojakovic,Stojakovic,Webber,H,Sacramento Kings 2002-03 Postseason NBA Schedule,W,,,124,113
8/5,Dallas ,Webber,Jackson,Christie,H,Sacramento Kings 2002-03 Postseason NBA Schedule,L,,,132,110
10/5, Dallas ,Stojakovic,Jackson,Christie,A,Sacramento Kings 2002-03 Postseason NBA Schedule,L,,,141,137
11/5, Dallas ,Turkoglu,Stojakovic,Christie,A,Sacramento Kings 2002-03 Postseason NBA Schedule,W,,,99,83
13/5,Dallas ,Christie,Christie,Christie,H,Sacramento Kings 2002-03 Postseason NBA Schedule,L,,,112,93
15/5, Dallas ,Stojakovic,Jackson,Christie,A,Sacramento Kings 2002-03 Postseason NBA Schedule,W,,,115,109
17/5,Dallas ,Bibby,Stojakovic,Bibby,H,Sacramento Kings 2002-03 Postseason NBA Schedule,L,,,112,99
