DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
19/10, Portland ,Fox,Barnes,Fox,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,L,0,1,115,108
22/10, LA ,Fox,Sabonis,Sabonis,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,L,0,2,111,109
23/10,Golden State ,Fox,Sabonis,Fox,H,Sacramento Kings 2022-23 Regular Season NBA Schedule,L,0,3,130,125
27/10, Memphis ,Fox,Sabonis,Sabonis,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,L,0,4,125,110
29/10, Miami ,Huerter,Fox,Huerter,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,1,4,119,113
31/10,Charlotte ,Huerter,Sabonis,Sabonis,H,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,2,4,115,108
2/11,Miami ,Sabonis,Sabonis,Sabonis,H,Sacramento Kings 2022-23 Regular Season NBA Schedule,L,2,5,110,107
5/11,Orlando ,Fox,Sabonis,Sabonis,H,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,3,5,126,123
7/11,Golden State ,Fox,Sabonis,Fox,H,Sacramento Kings 2022-23 Regular Season NBA Schedule,L,3,6,116,113
9/11, Cleveland ,Sabonis,Barnes,Fox,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,4,6,127,120
11/11,Los Angeles ,Fox,Sabonis,Fox,H,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,5,6,120,114
13/11, Golden State ,Sabonis,Sabonis,Sabonis,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,6,6,122,115
15/11, Brooklyn ,Davis,Davis,Fox,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,7,6,153,121
17/11, San Antonio ,Fox,Barnes,Fox,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,8,6,130,112
20/11, Detroit ,Fox,Sabonis,Fox,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,9,6,137,129
22/11,Memphis ,Fox,Sabonis,Sabonis,H,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,10,6,113,109
23/11,Atlanta ,Monk,Sabonis,Sabonis,H,Sacramento Kings 2022-23 Regular Season NBA Schedule,L,10,7,115,106
25/11,Boston ,Fox,Sabonis,Sabonis,H,Sacramento Kings 2022-23 Regular Season NBA Schedule,L,10,8,122,104
28/11, Phoenix ,Monk,Sabonis,Sabonis,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,L,10,9,122,117
30/11, Indiana ,Barnes,Sabonis,Sabonis,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,11,9,137,114
3/12,LA ,Sabonis,Metu,Sabonis,H,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,12,9,123,96
4/12, Chicago ,Monk,Sabonis,Sabonis,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,13,9,110,101
7/12,Milwaukee ,Sabonis,Sabonis,Sabonis,H,Sacramento Kings 2022-23 Regular Season NBA Schedule,L,13,10,126,113
9/12,Cleveland ,Barnes,Sabonis,Sabonis,H,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,14,10,106,95
11/12,New York ,Sabonis,Sabonis,Huerter,H,Sacramento Kings 2022-23 Regular Season NBA Schedule,L,14,11,112,99
13/12,Philadelphia ,Sabonis,Sabonis,Sabonis,H,Sacramento Kings 2022-23 Regular Season NBA Schedule,L,14,12,123,103
14/12,Toronto ,Fox,Sabonis,Fox,H,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,15,12,124,123
16/12,Detroit ,Fox,Sabonis,Fox,H,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,16,12,122,113
19/12, Charlotte ,Fox,Sabonis,Sabonis,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,L,16,13,125,119
21/12, Los Angeles ,Huerter,Sabonis,Sabonis,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,17,13,134,120
23/12, Washington ,Fox,Sabonis,Sabonis,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,L,17,14,125,111
27/12, Denver ,Fox,Lyles,Mitchell,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,L,17,15,113,106
28/12, Denver ,Monk,Sabonis,Fox,A,Sacramento Kings 2022-23 Regular Season NBA Schedule,W,18,15,127,126
