DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
1/11, Denver ,Parker,Duncan,Duncan,A,San Antonio Spurs 2005-06 Regular Season NBA Schedule,W,1,0,102,91
4/11, Cleveland ,Duncan,Duncan,Parker,A,San Antonio Spurs 2005-06 Regular Season NBA Schedule,W,2,0,102,76
5/11,Dallas ,Parker,Duncan,Duncan,H,San Antonio Spurs 2005-06 Regular Season NBA Schedule,L,2,1,103,84
7/11,Chicago ,Duncan,Duncan,Parker,H,San Antonio Spurs 2005-06 Regular Season NBA Schedule,W,3,1,104,95
9/11,Charlotte ,Duncan,Duncan,Parker,H,San Antonio Spurs 2005-06 Regular Season NBA Schedule,W,4,1,94,86
11/11,Boston ,Duncan,Duncan,Parker,H,San Antonio Spurs 2005-06 Regular Season NBA Schedule,W,5,1,103,82
12/11,Washington ,Ginobili,Duncan,Parker,H,San Antonio Spurs 2005-06 Regular Season NBA Schedule,L,5,2,110,95
15/11, Atlanta ,Ginobili,Oberto,Parker,A,San Antonio Spurs 2005-06 Regular Season NBA Schedule,W,6,2,103,79
17/11, Houston ,Duncan,Duncan,Parker,A,San Antonio Spurs 2005-06 Regular Season NBA Schedule,W,7,2,86,80
19/11, Phoenix ,Duncan,Duncan,Bowen,A,San Antonio Spurs 2005-06 Regular Season NBA Schedule,W,8,2,97,91
21/11,Sacramento ,Parker,Duncan,Duncan,H,San Antonio Spurs 2005-06 Regular Season NBA Schedule,W,9,2,96,93
23/11,Golden State ,Parker,Duncan,Parker,H,San Antonio Spurs 2005-06 Regular Season NBA Schedule,W,10,2,113,89
25/11, Chicago ,Duncan,Duncan,Parker,A,San Antonio Spurs 2005-06 Regular Season NBA Schedule,L,10,3,106,99
29/11, Los Angeles ,Ginobili,Duncan,Duncan,A,San Antonio Spurs 2005-06 Regular Season NBA Schedule,W,11,3,90,84
1/12,Dallas ,Parker,Duncan,Parker,H,San Antonio Spurs 2005-06 Regular Season NBA Schedule,W,12,3,92,90
