DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
17/8, Brooklyn ,VanVleet,Siakam,VanVleet,A,Toronto Raptors 2019-20 Postseason NBA Schedule,W,,,134,110
19/8, Brooklyn ,Powell,Lowry,VanVleet,A,Toronto Raptors 2019-20 Postseason NBA Schedule,W,,,104,99
21/8,Brooklyn ,Siakam,Ibaka,Lowry,H,Toronto Raptors 2019-20 Postseason NBA Schedule,W,,,117,92
23/8,Brooklyn ,Powell,Ibaka,Siakam,H,Toronto Raptors 2019-20 Postseason NBA Schedule,W,,,150,122
30/8, Boston ,Lowry,Ibaka,Lowry,A,Toronto Raptors 2019-20 Postseason NBA Schedule,L,,,112,94
1/9, Boston ,Anunoby,Ibaka,VanVleet,A,Toronto Raptors 2019-20 Postseason NBA Schedule,L,,,102,99
3/9,Boston ,Lowry,Anunoby,Lowry,H,Toronto Raptors 2019-20 Postseason NBA Schedule,W,,,104,103
5/9,Boston ,Siakam,Siakam,Lowry,H,Toronto Raptors 2019-20 Postseason NBA Schedule,W,,,100,93
7/9, Boston ,VanVleet,Anunoby,VanVleet,A,Toronto Raptors 2019-20 Postseason NBA Schedule,L,,,111,89
9/9,Boston ,Lowry,Anunoby,VanVleet,H,Toronto Raptors 2019-20 Postseason NBA Schedule,W,,,125,122
11/9, Boston ,VanVleet,Siakam,VanVleet,A,Toronto Raptors 2019-20 Postseason NBA Schedule,L,,,92,87
