DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
22/10, New Orleans ,Siakam,Siakam,VanVleet,A,Toronto Raptors 2019-20 Regular Season NBA Schedule,W,1,0,130,122
25/10,Boston ,Siakam,Siakam,Lowry,H,Toronto Raptors 2019-20 Regular Season NBA Schedule,L,1,1,112,106
26/10,Chicago ,Siakam,Gasol,Lowry,H,Toronto Raptors 2019-20 Regular Season NBA Schedule,W,2,1,108,84
28/10, Orlando ,Lowry,Gasol,Lowry,A,Toronto Raptors 2019-20 Regular Season NBA Schedule,W,3,1,104,95
30/10, Detroit ,Siakam,Anunoby,VanVleet,A,Toronto Raptors 2019-20 Regular Season NBA Schedule,W,4,1,125,113
2/11,Milwaukee ,Lowry,Gasol,VanVleet,H,Toronto Raptors 2019-20 Regular Season NBA Schedule,L,4,2,115,105
6/11, Sacramento ,Lowry,Siakam,Lowry,A,Toronto Raptors 2019-20 Regular Season NBA Schedule,W,5,2,124,120
8/11,New Orleans ,Siakam,Siakam,VanVleet,H,Toronto Raptors 2019-20 Regular Season NBA Schedule,W,6,2,122,104
10/11,Los Angeles ,Siakam,Siakam,VanVleet,H,Toronto Raptors 2019-20 Regular Season NBA Schedule,W,7,2,113,104
11/11,LA ,Siakam,Siakam,VanVleet,H,Toronto Raptors 2019-20 Regular Season NBA Schedule,L,7,3,98,88
13/11,Portland ,Siakam,Hollis,VanVleet,H,Toronto Raptors 2019-20 Regular Season NBA Schedule,W,8,3,114,106
16/11,Dallas ,Powell,Gasol,VanVleet,H,Toronto Raptors 2019-20 Regular Season NBA Schedule,L,8,4,110,102
18/11, Charlotte ,Anunoby,Boucher,Gasol,A,Toronto Raptors 2019-20 Regular Season NBA Schedule,W,9,4,132,96
20/11, Orlando ,VanVleet,Siakam,VanVleet,A,Toronto Raptors 2019-20 Regular Season NBA Schedule,W,10,4,113,97
23/11,Atlanta ,Siakam,Hollis,VanVleet,H,Toronto Raptors 2019-20 Regular Season NBA Schedule,W,11,4,119,116
25/11, Philadelphia ,Siakam,Hollis,Gasol,A,Toronto Raptors 2019-20 Regular Season NBA Schedule,W,12,4,101,96
27/11, New York ,Siakam,Boucher,Davis,A,Toronto Raptors 2019-20 Regular Season NBA Schedule,W,13,4,126,98
29/11,Orlando ,Powell,Siakam,Siakam,H,Toronto Raptors 2019-20 Regular Season NBA Schedule,W,14,4,90,83
1/12, Utah ,Siakam,Hollis,VanVleet,A,Toronto Raptors 2019-20 Regular Season NBA Schedule,W,15,4,130,110
3/12, Miami ,Powell,Siakam,Lowry,A,Toronto Raptors 2019-20 Regular Season NBA Schedule,L,15,5,121,110
5/12, Houston ,Siakam,Siakam,Lowry,A,Toronto Raptors 2019-20 Regular Season NBA Schedule,L,15,6,119,109
