DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
19/4,Houston ,Kirilenko,Boozer,Williams,H,Utah Jazz 2007-08 Postseason NBA Schedule,W,,,93,82
21/4,Houston ,Williams,Okur,Williams,H,Utah Jazz 2007-08 Postseason NBA Schedule,W,,,90,84
24/4, Houston ,Williams,Boozer,Williams,A,Utah Jazz 2007-08 Postseason NBA Schedule,L,,,94,92
26/4, Houston ,Williams,Okur,Williams,A,Utah Jazz 2007-08 Postseason NBA Schedule,W,,,86,82
29/4,Houston ,Boozer,Boozer,Williams,H,Utah Jazz 2007-08 Postseason NBA Schedule,L,,,95,69
2/5, Houston ,Williams,Okur,Williams,A,Utah Jazz 2007-08 Postseason NBA Schedule,W,,,113,91
4/5,Los Angeles ,Okur,Okur,Williams,H,Utah Jazz 2007-08 Postseason NBA Schedule,L,,,109,98
7/5,Los Angeles ,Williams,Millsap,Williams,H,Utah Jazz 2007-08 Postseason NBA Schedule,L,,,120,110
9/5, Los Angeles ,Boozer,Boozer,Williams,A,Utah Jazz 2007-08 Postseason NBA Schedule,W,,,104,99
11/5, Los Angeles ,Williams,Boozer,Williams,A,Utah Jazz 2007-08 Postseason NBA Schedule,W,,,123,115
14/5,Los Angeles ,Williams,Okur,Williams,H,Utah Jazz 2007-08 Postseason NBA Schedule,L,,,111,104
16/5, Los Angeles ,Williams,Boozer,Williams,A,Utah Jazz 2007-08 Postseason NBA Schedule,L,,,108,105
