DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
19/10, Denver ,Sexton,Vanderbilt,Conley,A,Utah Jazz 2022-23 Regular Season NBA Schedule,W,1,0,123,102
21/10,Minnesota ,Clarkson,Vanderbilt,Conley,H,Utah Jazz 2022-23 Regular Season NBA Schedule,W,2,0,132,126
23/10,New Orleans ,Markkanen,Markkanen,Conley,H,Utah Jazz 2022-23 Regular Season NBA Schedule,W,3,0,122,121
24/10,Houston ,Clarkson,Vanderbilt,Conley,H,Utah Jazz 2022-23 Regular Season NBA Schedule,L,3,1,114,108
26/10, Houston ,Markkanen,Markkanen,Olynyk,A,Utah Jazz 2022-23 Regular Season NBA Schedule,W,4,1,109,101
28/10,Denver ,Markkanen,Markkanen,Conley,H,Utah Jazz 2022-23 Regular Season NBA Schedule,L,4,2,117,101
29/10, Memphis ,Markkanen,Markkanen,Vanderbilt,A,Utah Jazz 2022-23 Regular Season NBA Schedule,W,5,2,124,123
31/10, Memphis ,Markkanen,Markkanen,Clarkson,A,Utah Jazz 2022-23 Regular Season NBA Schedule,W,6,2,121,105
2/11,Dallas ,Clarkson,Beasley,Clarkson,H,Utah Jazz 2022-23 Regular Season NBA Schedule,L,6,3,103,100
4/11,Los Angeles ,Markkanen,Markkanen,Conley,H,Utah Jazz 2022-23 Regular Season NBA Schedule,W,7,3,130,116
6/11,LA ,Clarkson,Markkanen,Clarkson,H,Utah Jazz 2022-23 Regular Season NBA Schedule,W,8,3,110,102
7/11, Los Angeles ,Markkanen,Kessler,Conley,A,Utah Jazz 2022-23 Regular Season NBA Schedule,W,9,3,139,116
9/11,Atlanta ,Markkanen,Markkanen,Conley,H,Utah Jazz 2022-23 Regular Season NBA Schedule,W,10,3,125,119
12/11,Washington ,Clarkson,Vanderbilt,Horton-Tucker,H,Utah Jazz 2022-23 Regular Season NBA Schedule,L,10,4,121,112
13/11,Philadelphia ,Beasley,Markkanen,Conley,H,Utah Jazz 2022-23 Regular Season NBA Schedule,L,10,5,105,98
15/11, New York ,Olynyk,Olynyk,Conley,A,Utah Jazz 2022-23 Regular Season NBA Schedule,L,10,6,118,111
18/11, Phoenix ,Markkanen,Vanderbilt,Conley,A,Utah Jazz 2022-23 Regular Season NBA Schedule,W,11,6,134,133
19/11,Portland ,Beasley,Markkanen,Clarkson,H,Utah Jazz 2022-23 Regular Season NBA Schedule,W,12,6,118,113
21/11,LA ,Clarkson,Markkanen,Vanderbilt,H,Utah Jazz 2022-23 Regular Season NBA Schedule,L,12,7,121,114
23/11, Detroit ,Beasley,Beasley,Sexton,A,Utah Jazz 2022-23 Regular Season NBA Schedule,L,12,8,125,116
25/11,Golden State ,Markkanen,Vanderbilt,Clarkson,H,Utah Jazz 2022-23 Regular Season NBA Schedule,L,12,9,129,118
26/11,Phoenix ,Clarkson,Markkanen,Clarkson,H,Utah Jazz 2022-23 Regular Season NBA Schedule,L,12,10,113,112
28/11, Chicago ,Markkanen,Markkanen,Clarkson,A,Utah Jazz 2022-23 Regular Season NBA Schedule,L,12,11,114,107
30/11, LA ,Clarkson,Vanderbilt,Sexton,A,Utah Jazz 2022-23 Regular Season NBA Schedule,W,13,11,125,112
2/12, Indiana ,Markkanen,Markkanen,Horton-Tucker,A,Utah Jazz 2022-23 Regular Season NBA Schedule,W,14,11,139,119
3/12, Portland ,Clarkson,Olynyk,Olynyk,A,Utah Jazz 2022-23 Regular Season NBA Schedule,L,14,12,116,111
7/12, Golden State ,Clarkson,Kessler,Clarkson,A,Utah Jazz 2022-23 Regular Season NBA Schedule,W,15,12,124,123
9/12, Minnesota ,Beasley,Vanderbilt,Conley,A,Utah Jazz 2022-23 Regular Season NBA Schedule,L,15,13,118,108
10/12,Denver ,Alexander-Walker,Olynyk,Horton-Tucker,H,Utah Jazz 2022-23 Regular Season NBA Schedule,L,15,14,115,110
