DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
18/4,Toronto ,Pierce,Hilario,Wall,H,Washington Wizards 2014-15 Postseason NBA Schedule,W,,,93,86
21/4,Toronto ,Beal,Porter,Wall,H,Washington Wizards 2014-15 Postseason NBA Schedule,W,,,117,106
24/4, Toronto ,Gortat,Gortat,Wall,A,Washington Wizards 2014-15 Postseason NBA Schedule,W,,,106,99
26/4, Toronto ,Beal,Gortat,Wall,A,Washington Wizards 2014-15 Postseason NBA Schedule,W,,,125,94
3/5,Atlanta ,Beal,Gortat,Wall,H,Washington Wizards 2014-15 Postseason NBA Schedule,W,,,104,98
5/5,Atlanta ,Sessions,Gortat,Beal,H,Washington Wizards 2014-15 Postseason NBA Schedule,L,,,106,90
9/5, Atlanta ,Porter,Porter,Beal,A,Washington Wizards 2014-15 Postseason NBA Schedule,W,,,103,101
11/5, Atlanta ,Beal,Gortat,Beal,A,Washington Wizards 2014-15 Postseason NBA Schedule,L,,,106,101
13/5,Atlanta ,Beal,Porter,Wall,H,Washington Wizards 2014-15 Postseason NBA Schedule,L,,,82,81
15/5, Atlanta ,Beal,Hilario,Wall,A,Washington Wizards 2014-15 Postseason NBA Schedule,L,,,94,91
