DATE,OPPONENT,Hi Points,Hi Rebounds,Hi Assists,Home_Away,Title,WorL,WIN,LOSE,PTS,PTSO
25/10,Indiana ,Kuzma,Avdija,Jones,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,0,1,143,120
28/10, Memphis ,Poole,Kuzma,Jones,A,Washington Wizards 2023-24 Regular Season NBA Schedule,W,1,1,113,106
30/10, Boston ,Kuzma,Avdija,Jones,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,1,2,126,107
1/11,Atlanta ,Kuzma,Kuzma,Wright,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,1,3,130,121
3/11,Miami ,Kuzma,Gafford,Poole,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,1,4,121,114
6/11,Philadelphia ,Kuzma,Gafford,Poole,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,1,5,146,128
8/11,Charlotte ,Kuzma,Kuzma,Avdija,H,Washington Wizards 2023-24 Regular Season NBA Schedule,W,2,5,132,116
10/11, Charlotte ,Kuzma,Gafford,Poole,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,2,6,124,117
12/11,Brooklyn ,Coulibaly,Avdija,Kispert,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,2,7,102,94
13/11,Toronto ,Kuzma,Gafford,Jones,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,2,8,111,107
15/11, Dallas ,Kuzma,Gafford,Avdija,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,2,9,130,117
17/11, New York ,Kuzma,Gafford,Kuzma,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,2,10,120,99
20/11, Milwaukee ,Poole,Gafford,Kuzma,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,2,11,142,129
22/11,Charlotte ,Kuzma,Gafford,Kuzma,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,2,12,117,114
24/11,Milwaukee ,Poole,Gafford,Poole,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,2,13,131,128
25/11, Atlanta ,Butler,Kuzma,Kuzma,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,2,14,136,108
27/11,Detroit ,Kuzma,Kuzma,Kuzma,H,Washington Wizards 2023-24 Regular Season NBA Schedule,W,3,14,126,107
29/11,Orlando ,Kuzma,Poole,Kuzma,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,3,15,139,120
1/12,Orlando ,Kuzma,Gafford,Jones,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,3,16,130,125
6/12, Philadelphia ,Poole,Avdija,Jones,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,3,17,131,126
8/12,Brooklyn ,Kuzma,Coulibaly,Avdija,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,3,18,124,97
11/12,Philadelphia ,Kuzma,Kuzma,Coulibaly,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,3,19,146,101
13/12, New Orleans ,Kuzma,Kuzma,Avdija,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,3,20,142,122
15/12, Indiana ,Kuzma,Jones,Jones,A,Washington Wizards 2023-24 Regular Season NBA Schedule,W,4,20,137,123
17/12,Phoenix ,Gafford,Gafford,Jones,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,4,21,112,108
18/12,Sacramento ,Poole,Kuzma,Jones,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,4,22,143,131
21/12,Portland ,Kuzma,Avdija,Kuzma,H,Washington Wizards 2023-24 Regular Season NBA Schedule,W,5,22,118,117
22/12,Golden State ,Poole,Kuzma,Jones,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,5,23,129,118
26/12, Orlando ,Poole,Gafford,Jones,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,5,24,127,119
27/12, Toronto ,Kuzma,Gafford,Kuzma,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,5,25,132,102
29/12, Brooklyn ,Kuzma,Avdija,Avdija,A,Washington Wizards 2023-24 Regular Season NBA Schedule,W,6,25,110,104
31/12, Atlanta ,Kuzma,Avdija,Jones,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,6,26,130,126
3/1,Cleveland ,Kuzma,Avdija,Avdija,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,6,27,140,101
5/1,Cleveland ,Jones,Coulibaly,Jones,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,6,28,114,90
6/1, New York ,Kuzma,Gafford,Jones,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,6,29,121,105
8/1, Oklahoma City ,Poole,Kuzma,Jones,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,6,30,136,128
10/1,Indiana ,Poole,Kuzma,Poole,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,6,31,112,104
13/1,Atlanta ,Kuzma,Avdija,Avdija,H,Washington Wizards 2023-24 Regular Season NBA Schedule,W,7,31,127,99
15/1, Detroit ,Jones,Kuzma,Jones,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,7,32,129,117
18/1,New York ,Poole,Bagley,Jones,H,Washington Wizards 2023-24 Regular Season NBA Schedule,L,7,33,113,109
20/1, San Antonio ,Bagley,Bagley,Jones,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,7,34,131,127
21/1, Denver ,Kuzma,Avdija,Jones,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,7,35,113,104
24/1, Minnesota ,Avdija,Bagley,Kuzma,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,7,36,118,107
25/1, Utah ,Kuzma,Gafford,Jones,A,Washington Wizards 2023-24 Regular Season NBA Schedule,L,7,37,123,108
27/1,Detroit ,Kuzma,Gafford,Jones,H,Washington Wizards 2023-24 Regular Season NBA Schedule,W,8,37,118,104
29/1,San Antonio ,Kuzma,Gafford,Jones,H,Washington Wizards 2023-24 Regular Season NBA Schedule,W,9,37,118,113
